N	3gram	Bakhtin_Fr	TeoriaLi
1	в том что	2	10
2	по отношению к	2	10
3	в то же	13	8
4	то же время	13	8
5	в отличие от	3	7
6	с другой стороны	5	6
7	в данном случае	3	5
8	для того чтобы	5	5
9	не может быть	2	5
10	мы имеем в	2	3
11	с точки зрения	4	3
12	с одной стороны	4	3
13	в том числе	4	3
14	подобно тому как	2	3
15	той или иной	2	3
16	можно сказать что	2	3
17	тех или иных	2	3
18	в связи с	5	3
19	в свою очередь	2	3
20	имеем в виду	2	3
21	в этой системе	2	2
22	в значительной степени	2	2
23	том числе и	3	2
24	и в то	2	2
25	как и в	2	2
26	может быть и	2	2
27	но в то	7	2
