N	2gram	Medvedev_U	Vladivir
1	и в	14	116
2	то что	7	71
3	и не	8	67
4	не только	10	65
5	в этом	7	53
6	в том	2	52
7	том что	2	51
8	но и	4	47
9	в конце	2	41
10	в его	2	40
11	и с	2	39
12	что он	2	32
13	не может	7	31
14	только в	2	30
15	для него	3	29
16	в то	3	25
17	но в	3	25
18	в себе	2	25
19	и то	3	25
20	даже и	2	24
21	может быть	6	23
22	в своей	3	21
23	прежде всего	8	20
24	как раз	2	19
25	таким образом	2	19
26	не в	2	18
27	как и	3	18
28	с его	2	18
29	что и	2	17
30	в этой	4	17
31	у нас	3	17
32	а не	10	17
33	все же	3	16
34	было бы	3	16
35	не есть	2	16
36	но это	2	15
37	это было	2	15
38	то же	5	15
39	и у	2	12
40	ничего не	2	12
41	если не	2	12
42	по себе	2	12
43	все это	5	11
44	хотя бы	5	11
45	конце концов	2	11
46	что все	2	10
47	в россии	4	10
48	но не	2	10
49	в самом	2	10
50	это не	3	9
51	о чем	2	9
52	по существу	2	9
53	с другой	4	9
54	этом смысле	2	9
55	что мы	2	9
56	же время	3	9
57	не столько	2	8
58	тем что	2	8
59	и для	2	8
60	конечно не	4	8
61	но даже	2	7
62	бы и	2	7
63	если бы	2	7
64	на первый	2	7
65	мы и	2	7
66	нам представляется	2	7
67	другой стороны	3	6
68	что она	2	6
69	мы не	2	6
70	на эту	2	5
71	в их	4	5
72	в частности	3	5
73	то ни	3	5
74	в области	3	5
75	сводится к	2	5
76	бы то	3	5
77	только к	3	5
78	и только	5	5
79	не о	3	4
80	всех этих	2	4
81	не могут	2	4
82	крайней мере	2	4
83	не все	2	4
84	этом отношении	2	4
85	по крайней	2	4
86	нас в	2	4
87	же самое	2	4
88	сколько угодно	2	4
89	и через	2	3
90	не как	3	3
91	интереса к	2	3
92	самом деле	2	3
93	одним из	2	3
94	что такое	4	3
95	в сторону	2	3
96	этой области	3	3
97	ни было	3	2
98	не приходится	2	2
99	для всех	2	2
100	же не	2	2
101	должна быть	2	2
102	литературы и	2	2
103	а о	2	2
104	все они	2	2
105	его и	2	2
106	думается что	2	2
107	сих пор	2	2
108	и является	2	2
109	является в	2	2
110	в некоторых	2	2
111	до сих	2	2
