N	3gram	Bakhtin_Fr	Problema
1	о том что	3	39
2	в том что	2	37
3	в настоящее время	2	30
4	в связи с	5	29
5	в данном случае	3	28
6	той или иной	2	26
7	во всяком случае	2	25
8	с точки зрения	4	25
9	с другой стороны	5	25
10	в конце концов	3	23
11	для того чтобы	5	17
12	в то же	13	17
13	до сих пор	6	14
14	на самом деле	5	13
15	можно было бы	2	13
16	не может быть	2	12
17	можно сказать что	2	12
18	но даже и	2	12
19	дело в том	2	11
20	с одной стороны	4	11
21	тех или иных	2	11
22	только то что	2	10
23	не только в	3	10
24	в той или	2	10
25	может быть и	2	9
26	это вовсе не	2	8
27	но и в	4	7
28	это и есть	2	7
29	даже и в	2	6
30	и в других	3	6
31	в этом отношении	4	6
32	имеем в виду	2	5
33	и прежде всего	3	5
34	а также и	4	5
35	в том числе	4	5
36	как мы видели	4	4
37	но все же	2	4
38	подобно тому как	2	4
39	и не было	2	4
40	том числе и	3	4
41	как мы уже	8	4
42	но в то	7	3
43	и в то	2	3
44	как и в	2	3
45	за то что	2	3
46	вовсе не в	2	3
47	дело вовсе не	2	3
48	в отличие от	3	3
49	одной стороны и	2	3
50	по сравнению с	2	3
51	мы имеем в	2	2
52	по отношению к	2	2
53	одной и той	2	2
54	и в литературе	2	2
55	в том же	3	2
56	как раз в	3	2
57	в свою очередь	2	2
58	и тот же	3	2
59	узком смысле слова	2	2
60	он видит в	2	2
61	и той же	2	2
62	но как раз	2	2
63	мы уже сказали	2	2
64	один и тот	3	2
