N	2gram	Berdyaev_V	FransuaR
1	и в	16	367
2	в этом	4	112
3	и не	20	101
4	в его	4	98
5	прежде всего	2	92
6	не только	2	87
7	но и	5	84
8	как бы	5	82
9	все эти	3	79
10	как и	4	76
11	в нем	4	75
12	но в	3	75
13	в том	3	71
14	и все	4	66
15	так и	4	65
16	в них	3	65
17	все это	5	62
18	во всех	3	62
19	что в	3	52
20	только в	2	48
21	так как	9	46
22	том что	2	45
23	то что	9	41
24	жизни и	3	40
25	в ней	4	37
26	с его	3	36
27	в конце	3	32
28	для него	2	32
29	в своей	3	31
30	никогда не	3	30
31	и потому	7	30
32	один из	2	30
33	потому что	4	30
34	в духе	2	29
35	в этих	3	29
36	еще не	8	29
37	не в	3	29
38	что он	4	29
39	но это	3	25
40	того чтобы	2	24
41	но не	2	24
42	и для	3	23
43	это не	2	23
44	с ним	2	23
45	и во	2	22
46	а в	2	22
47	что и	3	22
48	тем что	2	22
49	не было	3	22
50	в себя	2	21
51	ни в	3	21
52	в образе	4	20
53	и это	2	20
54	в форме	2	19
55	их в	3	19
56	хотя и	5	19
57	превращается в	3	18
58	одна из	2	18
59	того что	5	17
60	можно было	2	17
61	конечно не	2	17
62	а не	7	17
63	между тем	2	16
64	тот же	3	16
65	в истории	8	15
66	мы не	2	14
67	все что	4	14
68	в чем	3	14
69	в котором	4	14
70	земли и	2	14
71	что все	4	13
72	в жизни	3	13
73	в мире	5	13
74	и есть	4	13
75	и сам	2	13
76	мира в	2	13
77	его к	2	13
78	они и	2	13
79	мир и	2	13
80	лишь в	3	12
81	не могут	2	12
82	мы слышим	2	12
83	уже не	2	11
84	и что	3	11
85	что они	7	11
86	и они	3	10
87	на земле	7	10
88	человека и	6	10
89	к тому	3	10
90	да и	2	10
91	что не	4	9
92	и то	2	9
93	для нас	2	9
94	не имеет	3	9
95	от него	2	8
96	людей и	2	8
97	с тем	2	8
98	от этого	3	8
99	всего в	2	8
100	превращаются в	2	8
101	они в	3	8
102	и за	2	7
103	его не	2	7
104	на том	2	7
105	по этому	3	7
106	во всяком	2	7
107	нет ничего	3	7
108	и вечно	2	7
109	так много	2	7
110	нет и	2	7
111	людей в	3	6
112	ее в	2	6
113	могут быть	2	6
114	для них	2	6
115	его и	2	6
116	до того	2	6
117	не могли	2	6
118	хотя бы	3	6
119	за то	3	6
120	говорить о	4	6
121	но мы	2	5
122	должна быть	3	5
123	значения и	2	5
124	что мы	4	5
125	вместо того	2	5
126	должно быть	3	5
127	бы и	3	5
128	что было	2	5
129	и над	2	5
130	и новые	2	5
131	не к	2	5
132	в земной	2	4
133	этого мира	3	4
134	свободной и	2	4
135	было еще	2	4
136	и любви	2	4
137	мира сего	4	4
138	что во	3	4
139	не так	2	4
140	оно не	3	4
141	что я	3	4
142	мы и	2	4
143	когда в	2	4
144	мир от	2	4
145	в вопросе	3	3
146	и люди	2	3
147	к людям	6	3
148	духа и	2	3
149	те которые	2	3
150	свободы и	12	3
151	тому что	3	3
152	в первый	3	3
153	в прошлом	2	3
154	вопросе о	2	3
155	что их	2	3
156	для людей	2	3
157	а с	2	3
158	не имел	2	3
159	не будет	2	3
160	вот почему	2	3
161	на этих	2	3
162	за ним	3	3
163	в последнем	2	3
164	и мы	3	3
165	истории и	2	3
166	то это	3	3
167	и тогда	2	3
168	их от	3	3
169	которые не	2	3
170	не есть	6	3
171	легенда о	2	3
172	от своей	2	2
173	первый раз	3	2
174	нем нет	2	2
175	и я	4	2
176	если не	3	2
177	вслед за	2	2
178	полного и	2	2
179	понимает и	2	2
180	никогда еще	2	2
181	нет у	4	2
182	что есть	5	2
183	во главе	2	2
184	в силах	4	2
185	ее и	2	2
186	для человека	2	2
187	людей не	2	2
188	всех людей	3	2
189	тот кто	2	2
190	что от	2	2
191	любовь к	3	2
192	что теперь	2	2
193	на тебя	2	2
194	и вечной	3	2
195	людей так	2	2
196	нас и	3	2
197	мира от	4	2
198	это все	2	2
199	вечности и	2	2
200	и свободы	2	2
201	свободы от	3	2
202	не с	2	2
203	превратились в	2	2
