N	2gram	Voloshinov	Otkroven
1	у него	2	22
2	и в	16	19
3	но и	4	13
4	и не	4	13
5	в этом	9	12
6	не только	7	11
7	может быть	17	11
8	и все	4	10
9	в нем	4	10
10	никогда не	2	9
11	прежде всего	9	9
12	в его	4	7
13	он не	2	7
14	как и	2	6
15	все это	4	6
16	для него	6	5
17	а в	3	5
18	в том	3	5
19	в самом	2	5
20	то что	3	5
21	в этой	4	5
22	отношение к	5	5
23	и его	8	4
24	что в	3	4
25	только и	2	4
26	все эти	5	4
27	не может	8	4
28	что не	2	4
29	с его	7	4
30	о том	2	3
31	не могут	2	3
32	что он	2	3
33	и вот	3	3
34	было бы	2	3
35	еще не	5	3
36	и есть	3	3
37	все что	4	3
38	в этих	3	3
39	и ее	4	3
40	как бы	5	3
41	хотя бы	4	3
42	нем нет	2	3
43	могут быть	3	3
44	с ним	2	3
45	быть может	2	3
46	мысли и	4	3
47	влечет к	2	3
48	сказать что	7	2
49	и на	4	2
50	в глубину	2	2
51	и для	2	2
52	совсем не	2	2
53	и с	8	2
54	что и	2	2
55	ее в	2	2
56	и потому	3	2
57	и этим	2	2
58	но в	4	2
59	том что	3	2
60	в своей	2	2
61	так как	4	2
62	своей жизни	2	2
63	и о	2	2
64	не есть	2	2
65	в душе	2	2
66	к этому	2	2
67	и к	6	2
68	так и	4	2
69	момент в	2	2
70	учение о	3	2
71	в этот	2	2
72	его в	4	2
