N	2gram	Bakhtin_Fr	EvropaiE
1	и в	73	37
2	в отношении	6	32
3	точки зрения	6	23
4	что в	14	21
5	не только	11	18
6	с точки	4	17
7	в то	14	16
8	то же	16	15
9	в своем	13	14
10	но в	12	14
11	но и	15	14
12	и не	13	14
13	же время	12	14
14	в качестве	11	14
15	в этом	21	12
16	в том	13	11
17	в их	5	11
18	в области	3	11
19	так и	13	10
20	так же	11	9
21	не может	4	9
22	в себе	16	9
23	прежде всего	18	9
24	только в	7	9
25	одной стороны	3	8
26	между тем	2	8
27	в ее	6	8
28	было бы	5	8
29	в своей	4	8
30	с одной	3	8
31	к тому	2	8
32	по своему	3	7
33	также и	6	7
34	с другой	3	7
35	а также	8	7
36	как и	19	7
37	так как	9	7
38	между прочим	2	7
39	того что	5	7
40	том что	8	6
41	во всех	13	6
42	то есть	36	6
43	и даже	4	6
44	может быть	5	6
45	и на	12	6
46	с этой	4	6
47	того чтобы	2	6
48	то что	12	6
49	как бы	15	6
50	вовсе не	11	6
51	от этого	3	5
52	тем самым	3	5
53	и по	4	5
54	и потому	6	5
55	в той	8	5
56	как мы	19	5
57	не в	12	5
58	в виде	2	5
59	в частности	2	5
60	в течение	2	5
61	одной из	5	5
62	даже в	4	4
63	сказать что	4	4
64	не имеет	4	4
65	во многих	2	4
66	именно в	4	4
67	в процессе	3	4
68	в самом	9	4
69	мы не	2	4
70	в ней	10	4
71	для нас	2	4
72	по себе	2	4
73	несмотря на	3	4
74	мира в	6	4
75	ни было	2	4
76	не на	5	4
77	как это	2	4
78	никогда не	6	3
79	с тем	2	3
80	и от	10	3
81	и для	8	3
82	из всех	2	3
83	о том	13	3
84	в данном	3	3
85	того же	7	3
86	время в	3	3
87	в которых	3	3
88	можно было	4	3
89	мира и	6	3
90	в свою	3	3
91	и к	6	3
92	в результате	7	3
93	от них	2	3
94	из них	6	3
95	и прежде	2	3
96	во все	3	3
97	в них	14	3
98	с более	2	3
99	моря и	3	3
100	место в	4	3
101	мы видели	7	3
102	что и	6	3
103	во второй	3	3
104	отметить что	2	3
105	и тем	3	3
106	по своим	2	3
107	тем что	8	3
108	говорит о	2	3
109	этом отношении	3	3
110	потому что	9	3
111	и со	2	3
112	себе в	3	3
113	как в	9	3
114	связано с	3	3
115	большинстве случаев	9	3
116	во всяком	2	3
117	дело в	2	3
118	есть в	9	2
119	представление о	3	2
120	в мире	3	2
121	в его	18	2
122	не есть	2	2
123	начиная с	3	2
124	что это	9	2
125	человеческой культуры	3	2
126	в эту	2	2
127	и то	3	2
128	что если	2	2
129	меньшей степени	2	2
130	к нему	7	2
131	не могут	3	2
132	а в	10	2
133	с этим	4	2
134	в котором	4	2
135	и человеческой	2	2
136	далеко не	2	2
137	и еще	2	2
138	в большинстве	9	2
139	и с	17	2
140	бы в	3	2
141	в другой	2	2
142	в развитии	2	2
143	другой стороны	2	2
144	море и	2	2
145	что все	3	2
146	между ними	2	2
147	в значительной	5	2
148	в одном	5	2
149	на них	3	2
150	и как	5	2
151	целый ряд	4	2
152	есть не	2	2
153	в этих	6	2
154	жизни и	6	2
155	еще более	4	2
156	человеческого рода	2	2
157	в других	2	2
158	а не	2	2
159	и других	3	2
160	мы видим	13	2
161	и что	5	2
162	и во	4	2
163	и наконец	6	2
164	свою очередь	3	2
165	же в	2	2
166	точка зрения	2	2
167	но именно	3	2
168	одном из	5	2
169	и все	19	2
170	влияние на	5	2
171	или в	5	2
172	таким образом	34	2
173	а именно	2	2
174	в истории	3	2
175	он не	4	2
176	такой же	3	2
177	во всей	2	2
178	и эта	4	2
179	но по	3	2
180	ведь и	3	2
181	в этой	18	2
182	но с	3	2
183	между собой	2	2
184	в будущее	2	2
185	всего в	5	2
186	хотя и	5	2
187	должна быть	3	2
188	вместе с	9	2
189	он сам	4	2
