N	2gram	Trubetskoy	Literetu
1	а не	2	50
2	и не	19	47
3	не только	9	46
4	и в	14	44
5	может быть	9	43
6	при этом	5	41
7	но и	10	41
8	тогда как	2	40
9	в том	17	39
10	в этом	17	38
11	том что	9	32
12	в частности	2	30
13	то что	13	29
14	в мире	4	28
15	в качестве	3	27
16	состоит в	2	26
17	то же	11	26
18	как и	4	23
19	в то	10	23
20	не в	4	22
21	того что	3	22
22	себя в	4	22
23	не может	22	22
24	же время	10	21
25	в себе	9	20
26	прежде всего	8	19
27	как бы	4	18
28	точки зрения	11	17
29	в его	4	17
30	в этой	4	16
31	тем самым	2	15
32	со стороны	4	15
33	только в	5	15
34	по отношению	2	14
35	что он	6	14
36	и даже	2	14
37	в своем	6	13
38	но не	4	13
39	уже не	2	13
40	к себе	2	12
41	в данном	7	12
42	в своей	5	12
43	еще не	3	12
44	о том	7	12
45	никогда не	5	11
46	данном случае	3	11
47	в другом	3	11
48	а в	5	11
49	вместе с	4	11
50	для себя	2	10
51	в области	2	10
52	что в	4	10
53	отнюдь не	7	10
54	жизни в	5	10
55	из них	3	10
56	и на	5	10
57	потому что	5	10
58	жизни и	4	10
59	к тому	7	9
60	связи с	3	9
61	в начале	2	9
62	лишь в	3	9
63	и т.д	4	9
64	одна из	3	8
65	в конце	3	8
66	все же	4	8
67	по существу	5	8
68	но в	2	8
69	на себя	2	8
70	в глазах	2	8
71	для него	6	8
72	и как	3	8
73	тем что	3	8
74	в своих	6	8
75	с точки	9	8
76	для всех	6	7
77	в их	4	7
78	друг друга	3	7
79	и тем	2	7
80	для этого	3	7
81	и для	6	7
82	именно в	3	7
83	в самом	3	7
84	и с	7	7
85	в нем	5	7
86	он не	5	7
87	его в	4	6
88	самом деле	7	6
89	самим собой	12	6
90	культуры в	3	6
91	было бы	5	6
92	не было	3	6
93	и то	4	6
94	то в	3	6
95	во всех	5	6
96	и наконец	2	6
97	в ней	2	6
98	и только	5	6
99	у него	2	6
100	как на	8	6
101	как будто	2	6
102	или иной	5	5
103	так как	4	5
104	так что	2	5
105	он сам	3	5
106	к этой	4	5
107	между тем	5	5
108	несмотря на	3	5
109	что и	3	5
110	себя и	5	5
111	место в	2	5
112	самого себя	7	5
113	хотя бы	5	5
114	в россии	6	5
115	должно быть	3	5
116	во имя	5	5
117	в силу	2	5
118	том чтобы	3	5
119	свое собственное	2	5
120	и если	7	5
121	и к	6	5
122	не к	2	5
123	русской культуры	2	4
124	себе и	4	4
125	для нас	2	4
126	только для	2	4
127	только на	2	4
128	с тем	6	4
129	на том	3	4
130	а потому	5	4
131	во всяком	9	4
132	бы то	4	4
133	одной из	3	4
134	то это	3	4
135	но это	2	4
136	сводится к	3	4
137	зависимость от	2	4
138	и вот	2	4
139	для того	6	4
140	совершенно не	2	4
141	ни к	7	4
142	не должен	2	4
143	все они	3	4
144	на то	5	4
145	приводит к	4	4
146	из этого	3	4
147	и что	2	4
148	то ни	4	4
149	таким образом	11	4
150	и есть	2	4
151	отношения к	2	4
152	при котором	3	4
153	на самом	6	3
154	вопрос о	5	3
155	и потому	3	3
156	так же	2	3
157	по себе	2	3
158	том же	2	3
159	этого не	2	3
160	а с	2	3
161	и о	2	3
162	в сознании	3	3
163	во главе	2	3
164	той или	3	3
165	что же	4	3
166	речь идет	2	3
167	того чтобы	8	3
168	все эти	2	3
169	и тогда	2	3
170	во время	2	3
171	должна быть	2	3
172	и т	3	3
173	ее в	2	3
174	да и	3	3
175	если в	6	3
176	и от	2	3
177	во многих	2	3
178	можно было	4	3
179	не так	2	3
180	в зависимость	2	3
181	если бы	6	3
182	в этих	2	3
183	и состоит	2	3
184	отношении к	2	3
185	что для	3	3
186	и является	2	3
187	что такое	2	3
188	не есть	3	3
189	путь к	4	3
190	если не	2	3
191	из которых	5	3
192	всяком случае	6	3
193	все что	4	3
194	говорить о	3	3
195	не просто	2	3
196	с ним	2	3
197	в будущем	3	2
198	от него	2	2
199	для нее	2	2
200	приходит к	3	2
201	есть и	2	2
202	а лишь	4	2
203	и вместе	2	2
204	всю свою	2	2
205	остается в	2	2
206	и однако	2	2
207	общественной жизни	2	2
208	и при	6	2
209	чтобы в	2	2
210	что может	3	2
211	тому что	2	2
212	к нему	2	2
213	за то	2	2
214	она не	2	2
215	которой она	2	2
216	но мы	3	2
217	даже и	2	2
218	тогда когда	4	2
219	по воле	2	2
220	себя как	2	2
221	по этому	2	2
222	для них	3	2
223	лишь при	5	2
224	и по	3	2
225	что они	3	2
226	и более	2	2
227	этом случае	3	2
228	культуре и	2	2
229	к которой	6	2
230	в результате	2	2
231	время в	2	2
232	из этих	3	2
233	на это	2	2
234	в значительной	3	2
235	этом и	2	2
236	самих себя	3	2
237	ибо в	3	2
238	но даже	2	2
239	к той	2	2
240	культуры и	2	2
241	их не	2	2
242	в котором	2	2
243	в большинстве	3	2
244	на почве	2	2
245	не можем	2	2
246	так чтобы	3	2
247	в борьбе	2	2
248	в таком	2	2
249	друг другу	2	2
250	на эту	2	2
251	во всем	4	2
252	что такой	4	2
253	в совершенно	4	2
254	существование в	2	2
