N	2gram	Bakhtin_Fr	DiskursI
1	в качестве	2	72
2	а не	6	60
3	может быть	10	56
4	не только	21	49
5	и в	68	49
6	как и	17	47
7	при этом	5	46
8	в том	12	44
9	и не	25	44
10	то есть	31	41
11	том что	6	40
12	в этом	28	38
13	в себе	5	37
14	в частности	4	36
15	но и	17	35
16	своего рода	5	32
17	и т.п	17	32
18	но не	4	31
19	со стороны	2	28
20	так и	8	28
21	отличие от	3	28
22	но в	20	28
23	не может	5	27
24	в отличие	3	27
25	по своей	4	26
26	как в	4	25
27	такого рода	5	24
28	еще не	3	23
29	а также	6	20
30	все же	6	19
31	прежде всего	23	19
32	в нем	12	19
33	в своей	11	19
34	в основе	7	18
35	далеко не	3	18
36	по отношению	3	17
37	в данном	5	17
38	то же	14	17
39	с другой	8	17
40	отношению к	2	17
41	в мире	6	17
42	точки зрения	8	16
43	только в	9	16
44	роль в	7	15
45	в его	21	15
46	то что	11	15
47	о том	5	15
48	это не	5	14
49	или иной	2	14
50	не в	2	14
51	не менее	2	14
52	одной стороны	4	14
53	можно сказать	2	14
54	с одной	5	14
55	в целом	3	13
56	для него	7	13
57	как бы	7	13
58	данном случае	3	12
59	в своем	11	12
60	и все	16	12
61	того же	4	12
62	в своих	7	12
63	и на	16	12
64	что в	14	11
65	с его	6	11
66	и как	5	11
67	не было	7	11
68	а в	3	10
69	той или	2	10
70	вследствие этого	2	10
71	также и	6	10
72	же время	13	10
73	в то	14	9
74	между тем	3	9
75	в них	19	9
76	уже не	2	9
77	еще в	4	9
78	себя в	2	9
79	этом отношении	4	8
80	и о	5	8
81	потому что	3	8
82	не на	2	8
83	хотя и	2	8
84	в противоположность	2	8
85	и даже	7	8
86	в этих	8	8
87	в себя	2	8
88	в котором	3	8
89	в творчестве	5	8
90	в одном	7	8
91	из них	8	8
92	он не	11	8
93	перед нами	4	7
94	его в	7	7
95	о чем	3	7
96	и ее	3	7
97	одной из	3	7
98	и для	6	7
99	но это	5	7
100	что и	3	7
101	например в	2	7
102	в этой	15	7
103	другой стороны	5	7
104	к этому	6	7
105	мира в	2	7
106	лишь в	3	7
107	ни для	4	7
108	ни в	6	7
109	той же	9	7
110	и его	26	7
111	таким образом	22	7
112	нового времени	2	7
113	основе своей	2	7
114	никогда не	2	6
115	в одной	3	6
116	отношение к	11	6
117	что он	7	6
118	одно из	3	6
119	одновременно и	3	6
120	именно в	5	6
121	тому как	2	6
122	одного из	3	6
123	здесь не	5	6
124	в сущности	15	6
125	в истории	5	6
126	в ее	5	6
127	и то	2	6
128	одна из	3	6
129	в эпоху	18	6
130	то в	2	6
131	дело в	4	6
132	во всех	8	6
133	и одновременно	3	6
134	в особенности	6	6
135	времени и	5	6
136	с точки	4	6
137	ничего не	4	5
138	хвала и	5	5
139	в другом	3	5
140	по словам	2	5
141	в виду	8	5
142	в их	6	5
143	свою очередь	2	5
144	и потому	6	5
145	того что	3	5
146	о нем	3	5
147	в прошлом	2	5
148	стороны и	2	5
149	мира и	4	5
150	один из	9	5
151	здесь в	6	5
152	было в	2	5
153	принадлежит к	2	5
154	как будто	2	5
155	сказать что	3	5
156	значительной степени	2	5
157	из этих	2	5
158	так сказать	7	5
159	переход от	2	5
160	во второй	2	5
161	в значительной	3	5
162	но они	4	5
163	на протяжении	7	5
164	в свою	3	5
165	в литературе	10	5
166	подобно тому	2	5
167	на этом	3	5
168	в той	7	5
169	как раз	8	5
170	не к	2	5
171	в ней	6	5
172	тем что	6	5
173	до конца	10	4
174	вследствие чего	2	4
175	и прежде	4	4
176	одном из	2	4
177	и др	9	4
178	по своему	3	4
179	в произведении	3	4
180	и это	5	4
181	только на	4	4
182	его на	2	4
183	на его	4	4
184	в году	11	4
185	к жизни	2	4
186	и до	14	4
187	и во	6	4
188	что они	3	4
189	должны быть	2	4
190	во всяком	2	4
191	мы имеем	2	4
192	это в	4	4
193	хотя в	2	4
194	по преимуществу	3	4
195	связи с	8	4
196	в культуре	4	4
197	одним из	2	4
198	в самом	6	4
199	будто бы	2	4
200	и к	4	4
201	говорит о	2	4
202	или в	3	4
203	и есть	5	4
204	с ним	3	4
205	еще и	6	3
206	не подлежит	4	3
207	вплоть до	5	3
208	он мог	2	3
209	в форме	3	3
210	там же	2	3
211	к которому	2	3
212	это и	4	3
213	в области	5	3
214	но оно	2	3
215	как на	3	3
216	своего времени	5	3
217	характер и	3	3
218	они и	4	3
219	но как	5	3
220	о котором	2	3
221	на том	2	3
222	они не	4	3
223	он говорит	6	3
224	об этом	3	3
225	в романе	24	3
226	что на	2	3
227	но здесь	3	3
228	и он	2	3
229	них в	2	3
230	для этого	3	3
231	о его	2	3
232	числе и	3	3
233	все эти	16	3
234	было бы	4	3
235	мы не	3	3
236	начало в	2	3
237	дело не	3	3
238	на языке	2	3
239	том числе	4	3
240	как мы	18	3
241	да и	2	3
242	и от	4	3
243	тут же	3	3
244	с этим	2	3
245	в начале	5	3
246	особенно в	6	3
247	с их	5	3
248	из важнейших	2	3
249	хотя бы	2	3
250	в которой	6	3
251	и по	4	3
252	принадлежат к	2	3
253	и наконец	5	3
254	перед лицом	2	3
255	дело с	2	3
256	и более	2	3
257	но все	5	3
258	отношения к	2	3
259	их в	7	3
260	входит в	2	3
261	уже в	4	3
262	всяком случае	2	3
263	жизни и	6	3
264	слова в	3	3
265	и сам	5	3
266	момент в	2	3
267	в большинстве	3	3
268	слова и	3	3
269	и что	2	3
270	тем же	2	3
271	вместе с	4	3
272	в книге	5	2
273	ему не	2	2
274	в отношении	3	2
275	к одному	2	2
276	его к	3	2
277	остается в	2	2
278	за этим	4	2
279	они были	4	2
280	каждый из	2	2
281	между жизнью	3	2
282	включает в	2	2
283	все то	2	2
284	друг друга	2	2
285	за счет	3	2
286	быть и	2	2
287	же к	2	2
288	начала и	8	2
289	и при	2	2
290	в основном	7	2
291	самом деле	5	2
292	с таким	3	2
293	одной и	2	2
294	в чем	3	2
295	мы видели	6	2
296	так например	2	2
297	для понимания	5	2
298	смысл в	2	2
299	к нему	4	2
300	о мире	3	2
301	жизнь в	3	2
302	те же	6	2
303	свидетельствует о	2	2
304	в различных	2	2
305	говорит об	2	2
306	так в	4	2
307	лежит на	2	2
308	вообще в	2	2
309	большинстве случаев	3	2
310	или меньшей	3	2
311	перехода от	2	2
312	в историческом	2	2
313	как нечто	3	2
314	все это	6	2
315	жизнью и	4	2
316	который в	2	2
