N	3gram	Potebnia_M	Dialekti
1	и т д	6	75
2	с точки зрения	3	46
3	по крайней мере	6	26
4	сама по себе	4	26
5	в том что	18	25
6	не может быть	11	18
7	не что иное	2	18
8	что иное как	2	18
9	само по себе	6	16
10	тем не менее	10	16
11	сам по себе	5	16
12	то же время	3	15
13	в то же	3	14
14	в таком случае	4	14
15	только тогда когда	5	13
16	с другой стороны	7	12
17	субъекта и объекта	4	11
18	на то что	3	11
19	по себе не	3	9
20	подобно тому как	7	9
21	и в этом	7	9
22	или по крайней	2	8
23	не только не	2	8
24	в то время	3	8
25	в этом смысле	4	8
26	сами по себе	8	7
27	не в том	6	7
28	в связи с	2	7
29	более или менее	6	6
30	для того чтобы	4	6
31	то что мы	2	6
32	во всяком случае	7	6
33	в нем есть	2	6
34	не нуждается в	2	6
35	с одной стороны	6	6
36	только потому что	3	6
37	в сравнении с	4	6
38	то и другое	6	5
39	на самом деле	2	5
40	свободы и необходимости	3	5
41	это было бы	2	5
42	от того что	5	5
43	до сих пор	5	5
44	одной и той	3	5
45	и той же	3	5
46	к тому что	2	5
47	в том смысле	7	5
48	по себе и	2	5
49	и то и	2	4
50	из того что	2	4
51	для того кто	2	4
52	но это не	2	4
53	как бы ни	4	4
54	может быть только	2	4
55	и т п	4	4
56	с этой точки	2	4
57	и может быть	4	4
58	одной стороны и	2	4
59	не есть нечто	2	4
60	том смысле что	2	4
61	не могут быть	5	4
62	бы то ни	2	3
63	и как бы	4	3
64	и с этой	2	3
65	так что в	2	3
66	с самого начала	5	3
67	как и в	3	3
68	не только в	3	3
69	не было бы	3	3
70	а потому что	2	3
71	но все же	2	3
72	мы не можем	2	2
73	не менее в	2	2
74	не более как	3	2
75	во внимание что	2	2
76	мы не имеем	2	2
77	и при этом	2	2
78	друг от друга	3	2
79	а так как	3	2
80	то тем самым	2	2
81	в собственном смысле	2	2
82	не в состоянии	2	2
83	что и в	4	2
84	потому что мы	3	2
85	дело в том	3	2
86	которые могут быть	2	2
87	и в том	3	2
88	в одно время	3	2
89	возможно только тогда	2	2
90	в свою очередь	8	2
91	так что если	3	2
92	в таком виде	2	2
