N	2gram	Berdyaev_O	TeoriaLi
1	не только	11	24
2	и в	19	24
3	может быть	11	22
4	в том	5	20
5	и не	13	17
6	а в	5	15
7	но и	13	14
8	так и	2	14
9	а не	11	14
10	в себе	3	14
11	в этом	12	12
12	но в	2	12
13	в его	7	12
14	том что	2	11
15	и его	4	11
16	лишь в	7	10
17	что в	4	10
18	не в	11	9
19	в душе	2	9
20	не может	4	8
21	как бы	3	8
22	в своей	2	8
23	в своем	2	7
24	отношение к	5	7
25	в самом	5	7
26	в нем	10	7
27	еще не	3	6
28	то что	5	6
29	как и	6	6
30	в русской	3	6
31	в ее	2	6
32	с его	4	6
33	как к	2	5
34	для того	3	5
35	и о	2	5
36	для него	5	5
37	могут быть	3	5
38	того чтобы	4	5
39	того что	3	5
40	он не	7	5
41	никогда не	9	4
42	сказать что	2	4
43	его в	2	4
44	это не	3	4
45	и ее	3	4
46	в другом	2	4
47	в этих	3	4
48	что он	3	4
49	личности и	2	4
50	хотя и	2	4
51	но он	7	4
52	и то	2	3
53	и потому	2	3
54	в которой	2	3
55	не все	2	3
56	и для	2	3
57	и вот	3	3
58	никто не	3	3
59	потому что	9	3
60	прежде всего	9	3
61	и к	2	3
62	все эти	4	3
63	человека к	2	3
64	в этой	5	3
65	только и	4	2
66	не могли	2	2
67	не могут	3	2
68	с чем	2	2
69	человека и	10	2
70	это было	3	2
71	жизни в	2	2
72	своей жизни	2	2
73	у него	22	2
74	этом мире	2	2
75	к нему	3	2
76	ее в	2	2
77	о том	3	2
78	в самой	9	2
79	и на	2	2
80	по себе	2	2
81	что и	2	2
82	о его	5	2
83	все это	6	2
84	что они	2	2
85	человеческих отношений	4	2
86	при чтении	2	2
