N	2gram	Potebnia_M	Morfolog
1	и т	12	62
2	может быть	46	61
3	т д	5	60
4	таким образом	24	26
5	могут быть	6	21
6	так как	20	20
7	не может	18	19
8	в этом	19	18
9	в этих	2	17
10	и в	48	17
11	и не	28	16
12	мы видим	3	15
13	перед нами	3	14
14	с этим	12	14
15	прежде всего	6	14
16	при помощи	2	12
17	связи с	6	12
18	а не	22	11
19	заметить что	7	11
20	вопрос о	2	10
21	но если	2	10
22	то же	35	10
23	в том	47	10
24	не всегда	5	10
25	то что	37	10
26	так и	17	10
27	что в	30	10
28	что и	16	10
29	этом случае	2	10
30	все же	3	9
31	но и	30	9
32	с другой	8	9
33	не только	32	8
34	но не	8	8
35	а в	14	8
36	мы не	17	8
37	как мы	8	8
38	не могут	7	7
39	том что	28	7
40	если в	2	7
41	по отношению	12	7
42	тем не	7	7
43	или же	8	7
44	не менее	9	7
45	отношению к	10	7
46	и здесь	3	7
47	точки зрения	4	7
48	один из	7	7
49	потому что	82	7
50	это не	2	6
51	но это	9	6
52	не все	5	6
53	и как	8	6
54	или в	4	6
55	во время	4	6
56	подобно тому	3	6
57	о том	7	6
58	если мы	2	6
59	в образе	4	6
60	с точки	3	6
61	в форме	2	6
62	как бы	10	6
63	вовсе не	13	6
64	вслед за	6	5
65	хотя бы	3	5
66	мы можем	13	5
67	было бы	16	5
68	об этом	4	5
69	со стороны	4	5
70	что он	8	5
71	как в	17	5
72	то это	9	5
73	далеко не	5	5
74	тому что	6	5
75	прежде чем	2	5
76	к тому	9	5
77	между тем	19	5
78	в целом	5	5
79	видно что	4	5
80	другой стороны	4	5
81	на его	4	5
82	тому как	6	5
83	там где	6	5
84	в других	3	5
85	и затем	3	5
86	что они	2	5
87	он не	4	5
88	в первом	5	5
89	хотя и	3	5
90	сказать что	8	4
91	на самом	4	4
92	его в	6	4
93	независимо от	10	4
94	так же	6	4
95	в то	16	4
96	значит что	2	4
97	к этому	3	4
98	на него	3	4
99	есть и	3	4
100	тем что	13	4
101	еще не	9	4
102	могла бы	2	4
103	самом деле	5	4
104	из них	11	4
105	но в	8	4
106	на котором	4	4
107	но все	2	4
108	что его	3	4
109	как и	22	4
110	входит в	3	4
111	уже не	11	4
112	и к	5	4
113	несмотря на	2	4
114	того чтобы	5	4
115	на пути	2	4
116	говорить о	6	4
117	и наоборот	5	4
118	никто не	5	4
119	от того	10	4
120	мы уже	5	4
121	быть названо	2	4
122	вне связи	2	3
123	в таких	4	3
124	или не	3	3
125	первом случае	2	3
126	время как	3	3
127	мы должны	6	3
128	а и	5	3
129	но как	2	3
130	в которой	9	3
131	в собственном	3	3
132	том случае	2	3
133	это было	3	3
134	даже не	2	3
135	что это	6	3
136	от другого	3	3
137	в отдельных	2	3
138	требует чтобы	2	3
139	и их	4	3
140	целый ряд	2	3
141	но есть	3	3
142	друг друга	6	3
143	только что	12	3
144	если бы	20	3
145	в последнем	4	3
146	в виде	3	3
147	это и	2	3
148	есть нечто	6	3
149	и тем	8	3
150	та же	3	3
151	он должен	2	3
152	из двух	4	3
153	не в	24	3
154	для того	8	3
155	и при	5	3
156	с этой	2	3
157	у нас	2	3
158	форма в	5	3
159	собственном смысле	2	3
160	в один	4	3
161	к ней	7	3
162	или с	2	3
163	в какой	3	3
164	того что	24	3
165	так например	3	3
166	ее в	2	3
167	к нему	7	3
168	на то	6	3
169	а то	2	3
170	ни в	2	3
171	что такое	2	3
172	но мы	3	3
173	что при	3	3
174	в большинстве	2	3
175	не существует	5	3
176	к чему	2	3
177	большинстве случаев	2	3
178	совсем не	2	3
179	в начале	3	3
180	можно назвать	2	3
181	и что	13	3
182	то время	7	3
183	и тогда	4	3
184	и по	5	3
185	же в	3	3
186	и его	4	3
187	или на	2	3
188	только в	29	3
189	в сущности	3	3
190	и есть	4	3
191	и только	5	3
192	что эти	3	3
193	в этой	3	3
194	и другим	2	3
195	бы то	2	3
196	данном случае	3	2
197	в нее	5	2
198	самого себя	3	2
199	в каком	8	2
200	не от	3	2
201	что действительно	2	2
202	как например	2	2
203	в данном	3	2
204	из этих	10	2
205	том как	3	2
206	от него	2	2
207	одной стороны	4	2
208	таких случаях	2	2
209	к другой	4	2
210	бы в	3	2
211	ответ на	3	2
212	а потом	2	2
213	в глаза	2	2
214	и даже	3	2
215	и тот	5	2
216	или менее	6	2
217	случае если	2	2
218	что она	4	2
219	можно сравнить	2	2
220	можно бы	4	2
221	что именно	5	2
222	за другим	4	2
223	превращается в	3	2
224	этом отношении	2	2
225	только для	3	2
226	ни было	2	2
227	одним из	3	2
228	этого не	3	2
229	между собою	13	2
230	относятся к	2	2
231	на вопрос	2	2
232	что ни	3	2
233	в чем	6	2
234	не знает	4	2
235	с одной	8	2
236	а потому	8	2
237	должна быть	2	2
238	в свое	2	2
239	а с	4	2
240	и более	4	2
241	не с	4	2
242	увидим что	2	2
243	отсюда видно	2	2
244	одной из	3	2
245	с тем	9	2
246	вытекает из	2	2
247	сказать о	2	2
248	не имеет	10	2
249	но так	3	2
250	она не	4	2
251	он может	2	2
252	или наоборот	2	2
253	или по	2	2
254	более или	6	2
255	их в	3	2
256	могли бы	3	2
257	что одна	2	2
258	в своих	2	2
259	здесь только	4	2
260	в различных	2	2
261	оно не	7	2
262	на той	2	2
263	в которых	5	2
264	это так	2	2
265	а а	2	2
266	что до	3	2
267	с другими	9	2
268	для нас	40	2
269	что мы	16	2
270	это можно	4	2
271	что же	3	2
272	точно так	15	2
273	что этот	2	2
274	всяком случае	3	2
275	должны будем	3	2
276	если например	2	2
277	других случаях	2	2
278	должны быть	3	2
279	к другому	3	2
280	вряд ли	4	2
281	когда в	2	2
282	тогда как	8	2
283	что эта	3	2
284	на другие	7	2
285	себя и	4	2
286	все это	4	2
287	у него	3	2
288	так называемых	3	2
289	например в	9	2
290	можно сказать	4	2
291	но оно	6	2
292	который в	2	2
293	для него	14	2
294	в одном	4	2
295	во всяком	4	2
296	без всякого	2	2
297	по своему	2	2
298	тем же	6	2
299	тем и	5	2
300	многих других	2	2
301	того как	10	2
302	чем в	2	2
