N	2gram	Vygotskiy_	Analitik
1	не только	28	71
2	тогда как	3	67
3	и в	33	66
4	в качестве	13	61
5	но и	14	57
6	в том	44	52
7	может быть	15	52
8	в частности	9	51
9	в этом	43	51
10	как и	13	50
11	и не	18	48
12	а не	14	42
13	том что	41	40
14	при этом	9	40
15	так и	8	35
16	состоит в	11	30
17	представляет собой	11	30
18	не может	31	29
19	как бы	11	29
20	отнюдь не	2	29
21	а в	5	28
22	в его	15	27
23	и его	6	27
24	не в	10	26
25	но не	13	26
26	в себе	4	24
27	иначе говоря	2	23
28	к тому	14	22
29	и даже	3	22
30	в этой	8	22
31	что в	33	22
32	и т.п	2	20
33	о том	13	20
34	по отношению	19	19
35	но в	9	19
36	в своей	5	19
37	то же	12	19
38	в самом	10	19
39	с его	3	19
40	в то	5	18
41	в данном	4	18
42	отношению к	19	18
43	тем самым	13	17
44	с другой	11	17
45	со стороны	3	17
46	в целом	8	17
47	только в	21	17
48	могут быть	7	16
49	то что	48	16
50	в пределах	6	16
51	что и	11	16
52	не есть	4	15
53	в их	4	15
54	прежде всего	5	15
55	в сущности	17	15
56	и на	11	15
57	между тем	5	15
58	данном случае	3	14
59	отличие от	3	14
60	не менее	4	14
61	того же	13	14
62	мы имеем	4	14
63	себя в	4	14
64	в отличие	3	14
65	столь же	5	14
66	в себя	4	14
67	по себе	8	13
68	ничего не	6	13
69	точки зрения	27	13
70	в начале	2	13
71	как раз	5	13
72	этого слова	3	13
73	для него	9	13
74	в случае	2	13
75	он не	13	13
76	тому же	3	13
77	никогда не	10	12
78	и к	7	12
79	есть не	3	12
80	как это	11	12
81	в первой	2	12
82	еще не	11	12
83	как в	7	12
84	внутренней речи	7	12
85	в свою	5	11
86	это не	8	11
87	во второй	4	11
88	нуждается в	3	11
89	по своей	7	11
90	и как	7	11
91	не с	2	11
92	можно сказать	7	11
93	той же	7	11
94	в той	8	11
95	имеем дело	2	11
96	в конце	3	10
97	едва ли	2	10
98	все же	5	10
99	один из	4	10
100	было бы	18	10
101	подобно тому	6	10
102	с одной	10	10
103	именно в	8	10
104	совпадает с	4	10
105	отношения к	2	10
106	в своем	11	9
107	того что	34	9
108	не столько	3	9
109	как уже	5	9
110	одной стороны	10	9
111	свою очередь	4	9
112	имеет место	4	9
113	по поводу	3	9
114	другой стороны	9	9
115	за пределы	4	9
116	во всех	3	9
117	в результате	9	9
118	только не	7	9
119	том чтобы	3	9
120	тому как	6	9
121	и того	8	9
122	говорит о	4	9
123	говорить о	3	9
124	таким образом	30	9
125	вместе с	9	9
126	о чем	3	8
127	в ходе	17	8
128	что он	40	8
129	дело с	2	8
130	одной из	5	8
131	и все	2	8
132	этом отношении	7	8
133	в основе	12	8
134	между двумя	4	8
135	дело не	2	8
136	если бы	13	8
137	не является	7	8
138	как известно	7	8
139	с точки	12	8
140	с ним	6	8
141	свое время	2	7
142	иное как	2	7
143	в другом	7	7
144	как говорит	2	7
145	и тем	5	7
146	в свое	2	7
147	место в	2	7
148	на его	4	7
149	все это	2	7
150	который в	2	7
151	во всяком	4	7
152	себя и	2	7
153	несмотря на	3	7
154	как будто	2	7
155	что иное	2	7
156	и для	3	7
157	у него	8	7
158	и является	6	7
159	и т.д	6	7
160	приводит к	10	7
161	в одном	3	7
162	всяком случае	2	7
163	как мы	20	7
164	в нашем	5	7
165	его в	6	6
166	из того	12	6
167	для всех	2	6
168	если в	4	6
169	вопроса о	5	6
170	что не	2	6
171	не что	2	6
172	в силу	14	6
173	ли не	2	6
174	роли в	2	6
175	казалось бы	5	6
176	не знает	6	6
177	мере в	5	6
178	те же	6	6
179	в нем	10	6
180	что на	2	6
181	ответ на	3	6
182	тем более	5	6
183	и то	9	6
184	хотя бы	5	6
185	то в	7	6
186	в сознании	5	6
187	из этих	2	6
188	в равной	4	6
189	же в	2	6
190	во всем	2	6
191	одного и	9	6
192	и более	8	6
193	есть в	2	6
194	на этом	8	6
195	из которых	3	6
196	из них	6	6
197	уже в	4	6
198	вовсе не	2	6
199	и потому	3	5
200	не могут	7	5
201	не как	3	5
202	но как	6	5
203	совершенно не	5	5
204	так что	8	5
205	самом деле	9	5
206	на вопрос	7	5
207	а с	3	5
208	он в	3	5
209	которая в	3	5
210	во втором	2	5
211	в них	3	5
212	исходя из	2	5
213	и по	5	5
214	все эти	9	5
215	мы не	6	5
216	на примере	5	5
217	в первом	4	5
218	принадлежит к	2	5
219	этом случае	5	5
220	тот же	7	5
221	я не	6	5
222	и здесь	2	5
223	к его	4	5
224	с их	4	5
225	к этому	7	5
226	и он	3	5
227	для того	20	5
228	и их	4	5
229	в этих	7	5
230	такой же	4	5
231	ведет к	2	5
232	это всегда	2	5
233	тем что	12	5
234	еще и	3	5
235	в котором	2	5
236	все что	2	5
237	с таким	4	5
238	еще в	3	5
239	что мы	11	5
240	к жизни	7	5
241	таким же	3	5
242	в отношении	18	4
243	его к	2	4
244	и ее	2	4
245	в области	19	4
246	вслед за	3	4
247	отношение к	12	4
248	одним из	4	4
249	оказывается в	2	4
250	нас к	6	4
