N	4gram	Vygotskiy_	Psycholo
1	заключается в том что	6	23
2	в то время как	4	13
3	одной и той же	2	12
4	указывает на то что	3	11
5	заключается в том чтобы	3	9
6	одно и то же	2	7
7	так же как и	4	5
8	в собственном смысле слова	4	4
9	а с другой стороны	3	4
10	все более и более	3	4
11	состоит в том что	3	4
12	для того чтобы показать	3	3
13	в полном согласии с	2	3
14	мы могли бы сказать	2	3
15	дело в том что	2	3
16	ответ на этот вопрос	3	3
17	убедиться в том что	2	2
18	что с точки зрения	2	2
19	только для того чтобы	2	2
20	приходит к выводу что	4	2
21	мы видим таким образом	4	2
22	не остается ничего другого	2	2
23	остается ничего другого как	2	2
24	в такой же мере	3	2
25	могли бы сказать что	2	2
26	с точки зрения социальной	2	2
27	с одной стороны и	3	2
28	но вместе с тем	4	2
29	видим таким образом что	3	2
30	или во всяком случае	2	2
31	с таким образом и	2	2
