N	2gram	Losev_Prob	Russkaja
1	не может	18	22
2	и не	63	19
3	в том	19	17
4	в этом	30	17
5	и в	64	14
6	то что	72	13
7	точки зрения	5	11
8	то же	10	11
9	таким образом	9	11
10	в то	7	10
11	но и	23	10
12	не только	37	9
13	том что	26	9
14	может быть	29	9
15	в себе	16	9
16	с точки	3	9
17	во всяком	18	9
18	того чтобы	10	8
19	как на	3	8
20	прежде всего	17	8
21	самого себя	2	7
22	и с	12	7
23	к тому	5	7
24	о том	25	7
25	в данном	16	7
26	мы должны	5	7
27	и если	9	7
28	не будет	11	7
29	отнюдь не	15	7
30	самом деле	10	7
31	с тем	6	6
32	если в	2	6
33	на самом	9	6
34	и для	10	6
35	для всех	3	6
36	в своих	3	6
37	и к	2	6
38	если бы	8	6
39	всяком случае	11	6
40	все это	11	6
41	для того	10	6
42	и при	4	6
43	что он	11	6
44	в своем	7	6
45	для него	2	6
46	вопрос о	4	5
47	или иной	8	5
48	а в	7	5
49	на то	12	5
50	в последние	3	5
51	было бы	16	5
52	хотя бы	15	5
53	из которых	2	5
54	между собой	5	5
55	и на	11	5
56	потому что	24	5
57	при этом	8	5
58	в нем	14	5
59	он должен	2	5
60	в своей	8	5
61	конечно не	3	5
62	только в	19	5
63	никогда не	8	5
64	и только	7	5
65	он не	5	5
66	сих пор	6	5
67	между тем	3	5
68	во всех	9	5
69	по существу	2	5
70	до сих	6	5
71	а потому	2	5
72	и то	15	4
73	что в	21	4
74	но не	13	4
75	его в	9	4
76	все же	7	4
77	не могут	6	4
78	к этой	2	4
79	не в	6	4
80	как и	7	4
81	более или	7	4
82	ли это	2	4
83	тому чтобы	2	4
84	как бы	18	4
85	все что	2	4
86	можно было	8	4
87	идет речь	2	4
88	так как	16	4
89	тогда когда	4	4
90	он будет	2	4
91	что же	18	4
92	которой он	4	4
93	в его	12	4
94	том случае	2	4
95	со стороны	2	4
96	в их	7	4
97	то ни	3	4
98	отказаться от	2	4
99	в этой	14	4
100	себе и	2	4
101	вместе с	4	4
102	от того	2	4
103	в другое	2	4
104	бы то	2	4
105	в корне	2	4
106	или менее	7	4
107	данном случае	10	3
108	да и	11	3
109	все они	2	3
110	одна из	4	3
111	то это	3	3
112	для этого	5	3
113	о котором	4	3
114	и этот	4	3
115	что все	9	3
116	что это	4	3
117	ни стало	2	3
118	с нею	2	3
119	о которых	6	3
120	но мы	3	3
121	этом случае	6	3
122	что для	4	3
123	на том	5	3
124	в сознании	5	3
125	именно в	5	3
126	из этих	5	3
127	во что	2	3
128	что бы	2	3
129	ни одна	2	3
130	должно быть	3	3
131	не есть	49	3
132	всех этих	11	3
133	и потому	3	3
134	что оно	4	3
135	при условии	5	3
136	в другом	2	3
137	в значительной	2	3
138	в конце	13	3
139	из них	3	3
140	но если	6	3
141	в самом	10	3
142	случае если	2	3
143	и как	10	3
144	можно ли	9	3
145	несмотря на	6	3
146	знаем что	2	3
147	для них	5	3
148	что и	2	3
149	конце концов	11	3
150	или в	5	3
151	сводится к	3	3
152	лишь в	4	3
153	он сам	2	3
154	из этого	2	3
155	и во	4	3
156	говорить о	14	3
157	той или	10	3
