N	3gram	Berdyaev_M	Dialekti
1	это значит что	3	47
2	в том что	3	25
3	не может быть	22	18
4	не что иное	4	18
5	что иное как	4	18
6	о том что	3	12
7	есть не что	3	11
8	подобно тому как	2	9
9	это и есть	7	9
10	одна и та	2	8
11	и та же	2	8
12	в то время	2	8
13	то время как	2	8
14	для того чтобы	4	6
15	может быть и	2	6
16	в нем есть	5	6
17	в конце концов	3	5
18	есть прежде всего	4	5
19	от того что	4	5
20	до сих пор	5	5
21	одной и той	2	5
22	и той же	2	5
23	потому что она	2	5
24	в том смысле	2	5
25	потому что он	3	5
26	по сравнению с	2	5
27	а не только	3	4
28	но это не	3	4
29	что это не	2	4
30	ни в чем	2	4
31	не могут быть	2	4
32	это не значит	2	4
33	не может не	2	4
34	он не может	2	3
35	есть не только	4	3
36	как и в	2	3
37	я никогда не	2	3
38	и в нем	3	3
39	не только в	2	3
40	не было бы	5	3
41	в себе и	2	3
42	и не может	2	3
43	как будто бы	2	3
44	что он не	3	2
45	но для этого	2	2
46	есть и в	2	2
47	друг к другу	6	2
48	в них нет	2	2
49	никогда не может	2	2
50	в чем не	2	2
51	в отношении к	3	2
52	– один из	3	2
53	в нем не	2	2
54	хотя бы и	2	2
55	что и в	3	2
56	все что было	2	2
57	но также и	2	2
58	и вместе с	4	2
