N	2gram	Medvedev_U	RusskieA
1	и в	14	79
2	в том	2	64
3	том что	2	59
4	не только	10	41
5	в этом	7	33
6	но и	4	31
7	как и	3	28
8	может быть	6	28
9	это не	3	20
10	все это	5	18
11	то что	7	17
12	таким образом	2	17
13	мы не	2	16
14	у нас	3	14
15	и не	8	14
16	и с	2	14
17	не может	7	13
18	в некоторых	2	13
19	тем что	2	12
20	но это	2	11
21	по существу	2	10
22	между тем	2	10
23	все же	3	10
24	что и	2	10
25	о чем	2	9
26	но в	3	9
27	то же	5	9
28	но не	2	9
29	в россии	4	8
30	не все	2	8
31	ничего не	2	7
32	не в	2	7
33	должна была	2	7
34	было бы	3	7
35	для этого	3	7
36	только в	2	7
37	а не	10	7
38	в этой	4	6
39	и у	2	6
40	в их	4	6
41	что она	2	6
42	что он	2	5
43	прежде всего	8	5
44	в то	3	5
45	в его	2	5
46	и для	2	5
47	с другой	4	5
48	его и	2	4
49	не столько	2	4
50	могут быть	2	4
51	вряд ли	3	4
52	всех этих	2	3
53	очевидно что	3	3
54	и через	2	3
55	что все	2	3
56	же не	2	3
57	в области	3	3
58	в своей	3	3
59	и то	3	3
60	на каждом	2	3
61	если бы	2	3
62	на первый	2	3
63	сих пор	2	3
64	их и	2	3
65	сводится к	2	3
66	до сих	2	3
67	в себе	2	2
68	на эту	2	2
69	но даже	2	2
70	не как	3	2
71	в конце	2	2
72	одним из	2	2
73	а как	2	2
74	в частности	3	2
75	самом деле	2	2
76	вот почему	7	2
77	для него	3	2
78	с его	2	2
79	другой стороны	3	2
80	этом отношении	2	2
81	нас в	2	2
82	и является	2	2
83	не случайно	2	2
84	что такое	4	2
85	по себе	2	2
86	в противном	2	2
