N	2gram	Tiupa_Lite	Vvedenie
1	и т	2	45
2	в том	22	38
3	в этом	19	35
4	и в	26	35
5	том что	19	30
6	может быть	24	30
7	не только	29	26
8	для того	2	23
9	таким образом	4	21
10	также и	3	20
11	не может	10	19
12	то что	14	19
13	потому что	5	18
14	со стороны	6	16
15	о том	3	16
16	только в	8	16
17	так как	2	15
18	представляет собой	5	14
19	и не	19	13
20	что в	7	13
21	в самом	4	13
22	в нем	4	13
23	в их	3	12
24	того что	7	12
25	что такое	2	12
26	точки зрения	8	12
27	в его	9	12
28	как на	3	12
29	в данном	7	11
30	то же	13	11
31	как мы	2	11
32	не в	11	10
33	прежде всего	14	10
34	но в	5	10
35	между тем	2	10
36	из этих	2	9
37	этого рода	2	9
38	тем не	4	9
39	и как	2	9
40	все же	6	9
41	но не	8	9
42	не менее	11	9
43	это не	4	8
44	можно было	3	8
45	с другой	11	8
46	а только	2	8
47	в качестве	21	8
48	и то	3	7
49	самом деле	2	7
50	как и	13	7
51	как бы	8	7
52	но и	25	7
53	было бы	4	7
54	его в	4	6
55	хотя бы	3	6
56	и даже	9	6
57	тем что	6	6
58	как он	2	6
59	в какой	2	6
60	с тем	2	6
61	а в	5	6
62	уже не	9	6
63	могут быть	4	6
64	в то	12	6
65	один из	7	6
66	и что	2	6
67	и его	7	6
68	же время	12	6
69	этом случае	2	6
70	вовсе не	3	6
71	вместе с	5	6
72	данном случае	6	5
73	дело в	3	5
74	с их	3	5
75	дело не	2	5
76	и т.д	8	5
77	в виду	4	5
78	и тем	4	5
79	а как	2	5
80	одним из	8	5
81	с этой	6	5
82	что он	8	5
83	так что	4	5
84	т п	2	5
85	что не	3	5
86	одно из	3	5
87	как уже	3	5
88	как это	9	5
89	культуры в	5	5
90	на почве	2	5
91	а потому	4	5
92	есть не	2	5
93	не есть	2	5
94	другой стороны	5	5
95	уже в	7	5
96	в целом	10	5
97	всяком случае	2	5
98	что и	3	5
99	не просто	2	5
100	а не	28	5
101	но с	3	5
102	во всяком	3	5
103	да и	3	4
104	еще и	3	4
105	все более	3	4
106	особого рода	3	4
107	в результате	2	4
108	мы имеем	2	4
109	одной стороны	8	4
110	в области	5	4
111	по отношению	6	4
112	в каждом	2	4
113	должен быть	2	4
114	в особенности	2	4
