N	3gram	Tiupa_Vved	VeschiIm
1	не может быть	6	24
2	тем не менее	3	11
3	в том что	10	9
4	в самом деле	2	7
5	на то что	2	7
6	в то же	5	5
7	подобно тому как	3	5
8	не только в	3	5
9	в свою очередь	5	5
10	более или менее	2	4
11	о том что	6	4
12	то же время	4	4
13	можно было бы	2	3
14	с одной стороны	9	3
15	с другой стороны	2	3
16	во всяком случае	3	2
17	в основе своей	2	2
18	что же касается	2	2
19	в этом отношении	7	2
20	в данном случае	15	2
21	по природе своей	2	2
22	мы имеем дело	5	2
23	в том чтобы	2	2
