N	3gram	Bakhtin_fo	Problema
1	о том что	2	39
2	в том что	4	37
3	и т д	3	33
4	в связи с	12	29
5	в данном случае	2	28
6	той или иной	3	26
7	с точки зрения	9	25
8	как раз и	2	18
9	для того чтобы	11	17
10	то есть в	2	17
11	в то же	10	17
12	до сих пор	4	14
13	сами по себе	2	13
14	это значит что	2	13
15	не может быть	4	12
16	в то время	3	12
17	и в этом	2	12
18	то время как	2	12
19	и в частности	2	12
20	дело в том	2	11
21	с одной стороны	3	11
22	вместе с тем	3	10
23	вовсе не является	2	10
24	не только в	6	10
25	в той или	2	10
26	может быть и	4	9
27	может быть только	3	8
28	с самого начала	3	7
29	к тому же	2	7
30	но и в	5	7
31	в значительной мере	2	7
32	о том как	2	7
33	и то же	4	6
34	то есть не	3	6
35	в буквальном смысле	2	6
36	и как бы	2	6
37	на первый план	2	6
38	и в других	4	6
39	в этом отношении	5	6
40	имеем в виду	3	5
41	и прежде всего	4	5
42	же как и	2	5
43	а также и	3	5
44	в чем не	3	5
45	одно и то	4	5
46	так же как	2	5
47	ни в чем	3	5
48	в том числе	7	5
49	во всех этих	2	4
50	друг от друга	2	4
51	также и в	3	4
52	но все же	3	4
53	друг к другу	2	4
54	связи с этим	4	4
55	само собой разумеется	2	4
56	том числе и	4	4
57	как мы уже	11	4
58	равно как и	4	4
59	но в то	2	3
60	и в то	7	3
61	жизни и в	2	3
62	как и в	3	3
63	одного и того	6	3
64	как мы увидим	2	3
65	в отличие от	3	3
66	одной стороны и	2	3
67	и того же	6	3
68	с тем что	2	3
69	по сравнению с	3	3
70	мы имеем в	2	2
71	все более и	2	2
72	по отношению к	3	2
73	до нас в	3	2
74	она ни была	2	2
75	ни с чем	2	2
76	и все другие	2	2
77	человеческой жизни в	3	2
78	в этих условиях	2	2
79	а следовательно и	3	2
80	в том же	3	2
81	и не только	2	2
82	так как он	2	2
83	как раз в	4	2
84	более и более	2	2
85	друг на друга	4	2
86	искусстве и литературе	3	2
87	бы она ни	2	2
88	с самим собою	4	2
89	по самому своему	2	2
90	не было и	2	2
91	пространстве и времени	2	2
92	и т п	18	2
93	жизни в ее	2	2
94	как и для	2	2
95	мы уже сказали	4	2
96	в нем не	3	2
