N	3gram	Medvedev_F	EvropaiC
1	в том что	3	16
2	до сих пор	7	15
3	по отношению к	4	11
4	более или менее	7	8
5	с точки зрения	17	8
6	на самом деле	7	7
7	для того чтобы	3	7
8	друг от друга	2	6
9	в самом деле	5	5
10	в том случае	2	4
11	тем не менее	2	4
12	с другой стороны	4	4
13	в конце концов	2	4
14	может быть и	4	4
15	не может быть	11	4
16	вместе с тем	5	3
17	бы то ни	4	3
18	в настоящее время	11	3
19	в данном случае	2	3
20	в целом ряде	2	3
21	в связи с	9	3
22	ничего общего с	2	2
23	с одной стороны	5	2
24	между этими двумя	2	2
25	во всяком случае	6	2
26	но все же	2	2
27	то же время	13	2
28	в высшей степени	4	2
29	в то же	13	2
30	в своем целом	2	2
31	как и все	2	2
32	в свою очередь	6	2
