N	3gram	Vygotskiy_	Problemy
1	то же время	2	26
2	в то же	2	26
3	с точки зрения	12	25
4	и т п	23	18
5	в этом смысле	3	16
6	на самом деле	6	15
7	не может быть	14	14
8	в конце концов	6	11
9	до сих пор	8	10
10	в отношении к	3	10
11	в самом деле	13	9
12	во всяком случае	7	9
13	с другой стороны	7	9
14	и не может	2	8
15	в том что	21	8
16	бы то ни	2	7
17	сама по себе	2	7
18	и т д	10	7
19	том что он	2	6
20	в отличие от	4	6
21	сам по себе	4	5
22	подобно тому как	7	5
23	в зависимости от	6	5
24	можно было бы	2	5
25	тем не менее	6	4
26	более или менее	3	4
27	он не может	3	4
28	о том что	9	4
29	так и в	2	4
30	само по себе	8	4
31	как и в	5	4
32	сами по себе	4	4
33	в этом отношении	7	4
34	именно потому что	2	4
35	хотя и не	2	4
36	смысле этого слова	2	4
37	к тому чтобы	3	4
38	все то что	3	3
39	в то время	6	3
40	того и другого	3	3
41	то что я	2	3
42	на то что	12	3
43	не только не	4	3
44	и в самом	3	3
45	в настоящее время	2	3
46	то время как	6	3
47	потому что она	2	3
48	другой стороны и	2	3
49	никак не может	3	3
50	выходит за пределы	2	3
51	то же что	2	3
52	мы увидим что	2	3
53	в том и	4	3
54	можно сказать что	2	3
55	что и в	5	2
56	то же самое	8	2
57	же как и	2	2
58	этой точки зрения	7	2
59	никогда не может	3	2
60	и в том	2	2
61	те же явления	2	2
62	начала и до	2	2
63	только то что	2	2
64	он не только	3	2
65	что все это	2	2
66	т п все	2	2
67	таким образом и	3	2
68	к тому что	2	2
69	таким образом все	2	2
70	вместе с тем	3	2
71	для того чтобы	11	2
72	в одном из	2	2
73	как будто бы	2	2
74	и в этих	2	2
75	в целом ряде	2	2
76	в свою очередь	3	2
