N	2gram	Losev_Dial	Otkroven
1	у него	2	22
2	и в	34	19
3	но и	14	13
4	и не	50	13
5	в этом	14	12
6	не только	35	11
7	не в	11	11
8	а не	39	11
9	может быть	30	11
10	и все	17	10
11	человека и	2	10
12	в нем	7	10
13	вопрос о	9	10
14	никогда не	9	9
15	потому что	21	9
16	не было	6	9
17	прежде всего	20	9
18	и он	3	8
19	ни с	4	7
20	в его	6	7
21	нет ничего	14	7
22	от него	2	7
23	он не	8	7
24	он всегда	3	7
25	в глубине	3	7
26	но он	3	7
27	как и	14	6
28	все это	13	6
29	для него	4	5
30	а в	3	5
31	в том	17	5
32	в самом	9	5
33	то что	25	5
34	в этой	3	5
35	и его	8	4
36	что в	12	4
37	только и	3	4
38	всегда есть	5	4
39	все эти	4	4
40	т е	72	4
41	не может	29	4
42	все в	3	4
43	что не	8	4
44	с его	7	4
45	в себе	8	3
46	и от	4	3
47	о том	11	3
48	это не	13	3
49	к нему	4	3
50	не могут	6	3
51	что он	18	3
52	и вот	13	3
53	было бы	13	3
54	для того	4	3
55	еще не	7	3
56	и есть	24	3
57	все что	3	3
58	в этих	3	3
59	в своих	3	3
60	когда он	3	3
61	и ее	8	3
62	только одно	4	3
63	никто не	4	3
64	как бы	19	3
65	хотя бы	9	3
66	нем нет	3	3
67	могут быть	5	3
68	это было	5	3
69	с ним	3	3
70	быть может	3	3
71	того что	22	3
72	как к	2	2
73	одно из	8	2
74	и то	7	2
75	сказать что	7	2
76	можно ли	6	2
77	и на	6	2
78	с тем	4	2
79	всего и	3	2
80	в глубину	2	2
81	что же	12	2
82	ничего и	2	2
83	и для	5	2
84	что все	16	2
85	не имеет	18	2
86	ничего не	29	2
87	и с	10	2
88	что и	8	2
89	ее в	3	2
90	и потому	6	2
91	и ни	3	2
92	в ее	5	2
93	в своем	7	2
94	и этим	3	2
95	тем что	5	2
96	но в	3	2
97	том что	18	2
98	к этой	2	2
99	что для	5	2
100	же можно	2	2
101	природы и	4	2
102	все же	4	2
103	в своей	4	2
104	ведь это	2	2
105	так как	12	2
106	по себе	31	2
107	что у	2	2
108	же это	4	2
109	что они	2	2
110	в истории	7	2
111	так что	11	2
112	даже и	9	2
113	должно быть	7	2
114	и о	9	2
115	не есть	95	2
116	природы в	2	2
117	с которой	2	2
118	и нет	9	2
119	свободы и	4	2
120	к этому	3	2
121	все еще	2	2
122	и к	5	2
123	так и	11	2
124	от самого	3	2
125	личности и	15	2
126	хотя и	9	2
127	его не	3	2
128	и из	2	2
129	всего в	2	2
130	учение о	11	2
131	что есть	6	2
132	в этот	3	2
133	тогда уже	2	2
134	их не	3	2
135	сразу же	2	2
136	чем в	2	2
137	ничто не	2	2
138	его в	2	2
