N	2gram	Bakhtin_Pr	Analitik
1	не только	9	71
2	и в	38	66
3	но и	9	57
4	в том	8	52
5	может быть	26	52
6	в частности	2	51
7	в этом	15	51
8	как и	7	50
9	и не	42	48
10	а не	5	42
11	том что	3	40
12	при этом	5	40
13	так и	5	35
14	то есть	46	35
15	художественного впечатления	2	34
16	в мире	3	31
17	не может	27	29
18	как бы	22	29
19	отнюдь не	19	29
20	а в	6	28
21	в его	43	27
22	и его	16	27
23	не в	7	26
24	но не	12	26
25	в себе	4	24
26	и даже	3	22
27	что в	7	22
28	лишь в	2	21
29	о том	4	20
30	по отношению	21	19
31	но в	4	19
32	в своей	7	19
33	то же	5	19
34	в самом	7	19
35	с его	2	19
36	в то	4	18
37	произведения в	5	18
38	в данном	4	18
39	отношению к	19	18
40	тем самым	4	17
41	или иной	2	17
42	с другой	7	17
43	эстетического объекта	37	17
44	в целом	3	17
45	только в	13	17
46	могут быть	5	16
47	то что	8	16
48	в пределах	6	16
49	что и	2	16
50	не есть	6	15
51	в их	10	15
52	прежде всего	13	15
53	и на	3	15
54	между тем	7	15
55	данном случае	4	14
56	отличие от	5	14
57	не менее	4	14
58	той или	2	14
59	мы имеем	2	14
60	себя в	2	14
61	в отличие	5	14
62	далеко не	5	14
63	столь же	2	14
64	же время	3	14
65	в себя	2	14
66	ничего не	6	13
67	точки зрения	8	13
68	в начале	2	13
69	он не	3	13
70	никогда не	5	12
71	и к	3	12
72	есть не	2	12
73	как это	2	12
74	произведения как	8	12
75	еще не	7	12
76	как в	4	12
77	в конечном	4	12
78	в свою	2	11
79	это не	5	11
80	нуждается в	2	11
81	конечном счете	4	11
82	и как	8	11
83	не с	4	11
84	можно сказать	2	11
85	имеем дело	3	11
86	не следует	2	11
87	едва ли	3	10
88	все же	6	10
89	в произведении	4	10
90	было бы	8	10
91	того или	2	10
92	особенно в	2	10
93	с одной	3	10
94	совпадает с	2	10
95	здесь не	4	10
96	отношения к	6	10
97	в своем	5	9
98	того что	2	9
99	одной стороны	3	9
100	имеет место	5	9
101	по поводу	2	9
102	или иного	2	9
103	другой стороны	4	9
104	за пределы	12	9
105	во всех	11	9
106	художественного восприятия	2	9
107	на фоне	3	9
108	говорить о	3	9
109	таким образом	10	9
110	не всегда	6	8
111	что он	2	8
112	эстетический объект	37	8
113	дело с	6	8
114	одной из	3	8
115	и все	3	8
116	этом отношении	2	8
117	хотя и	3	8
118	в основе	5	8
119	если бы	3	8
120	не является	3	8
121	с точки	6	8
122	с ним	5	8
123	в другом	2	7
124	и тем	3	7
125	место в	8	7
126	в ее	4	7
127	все это	3	7
128	одна из	2	7
129	себя и	3	7
130	художественного произведения	11	7
131	несмотря на	3	7
132	и для	11	7
133	приводит к	3	7
134	как мы	7	7
135	в таком	3	7
136	в нашем	4	7
137	его в	9	6
138	вопроса о	3	6
139	что не	4	6
140	должен быть	2	6
141	объекта и	7	6
142	не знает	3	6
143	в нем	15	6
144	или в	2	6
145	хотя бы	4	6
146	в равной	2	6
147	его как	3	6
148	с самим	2	6
149	во всем	2	6
150	художественное произведение	8	6
151	эстетической деятельности	2	6
152	тем не	3	6
153	вследствие этого	3	6
154	и более	2	6
155	на этом	2	6
156	из которых	2	6
157	не более	2	6
158	вовсе не	2	6
159	и потому	4	5
160	не могут	2	5
161	входит в	8	5
162	но как	2	5
163	совершенно не	7	5
164	самом деле	6	5
165	в романе	4	5
166	в искусстве	12	5
167	в художественном	20	5
168	в них	5	5
169	все эти	5	5
170	я не	2	5
171	и здесь	2	5
172	да и	3	5
173	к его	2	5
174	к этому	2	5
175	с другими	3	5
176	и он	2	5
177	эстетическим объектом	5	5
178	в особенности	2	5
179	в культуре	2	5
180	для того	2	5
181	в этих	2	5
182	тем что	2	5
183	самим собою	2	5
184	ни с	2	5
185	ни в	11	5
186	в котором	2	5
187	в слове	3	5
188	все что	3	5
189	все они	5	4
190	или точнее	2	4
191	и ее	2	4
192	в области	11	4
193	в каждом	2	4
194	отношение к	10	4
195	как к	2	4
196	а как	3	4
197	была бы	2	4
198	и о	5	4
199	более того	4	4
200	к нему	10	4
201	и что	2	4
202	связь с	3	4
203	в чем	2	4
204	эстетический анализ	7	4
205	его не	2	4
206	здесь в	2	4
207	с ними	4	4
208	того чтобы	2	4
209	и во	2	4
210	то ни	3	4
211	известной степени	4	4
212	и т	14	4
213	сказать что	4	4
214	и от	3	4
215	но это	3	4
216	не все	2	4
217	в двух	2	4
218	композиционная форма	4	4
219	отличается от	2	4
220	на него	3	4
221	человека в	2	4
222	в значительной	2	4
223	ни было	3	4
224	между ними	4	4
225	искусства в	2	4
226	в своих	2	4
227	этом смысле	3	4
228	подхода к	2	4
229	не было	2	4
230	бы не	2	4
231	и есть	2	4
232	основе своей	3	4
233	на основе	6	4
234	на самом	4	3
235	в таких	2	3
236	произведение не	3	3
237	мы должны	2	3
238	от него	3	3
239	она может	3	3
240	для нее	8	3
241	автор как	2	3
242	может иметь	5	3
243	в лирике	2	3
244	в виду	4	3
245	имеют место	2	3
246	к своему	2	3
247	т п	13	3
248	тем как	5	3
249	может и	4	3
250	она не	2	3
251	в ней	4	3
252	и те	2	3
253	что все	2	3
254	в тех	3	3
255	связи с	2	3
256	в связи	2	3
257	случае не	2	3
258	с действительностью	3	3
259	бы то	3	3
260	к миру	3	3
261	иметь дело	2	3
262	принципиально не	4	3
263	и внешнего	2	3
264	например в	3	3
265	независимо от	13	3
266	можно было	4	3
267	дело в	2	3
268	должно быть	5	3
269	о котором	2	3
270	произведения но	2	3
271	себя самого	4	3
272	опираются на	2	3
273	и наконец	6	3
274	себе не	2	3
275	ни к	2	3
276	в какой	2	3
277	они не	3	3
278	есть лишь	3	3
279	также и	3	3
280	поэтому в	2	3
281	на то	2	3
282	оно может	2	3
283	человек в	2	3
284	представляется нам	2	3
285	оно не	3	3
286	и с	17	3
287	противном случае	3	3
288	к содержанию	17	3
289	на почве	3	3
290	момент его	2	3
291	раз и	2	3
292	для науки	2	3
293	в противном	3	3
294	слова в	7	3
295	же самое	2	3
296	не к	6	3
297	но с	3	3
298	в большинстве	5	2
299	о которых	2	2
300	к художественному	4	2
301	слова не	3	2
302	не имеют	2	2
303	искусства как	2	2
304	к себе	2	2
305	и должно	3	2
306	произведения и	2	2
307	не путем	2	2
308	к которому	4	2
309	и прежде	5	2
310	а лишь	2	2
311	только по	4	2
312	случае мы	2	2
313	к чему	2	2
314	объект и	4	2
315	том же	2	2
316	не остается	2	2
317	внешнее материальное	2	2
318	и при	2	2
319	объекта в	5	2
320	не должна	4	2
321	от них	2	2
322	объект как	4	2
323	следует что	2	2
324	а только	2	2
325	не его	2	2
326	произведение в	6	2
327	в поэзии	9	2
328	художественное творчество	7	2
329	в психике	6	2
330	и др	8	2
331	там где	6	2
332	как нечто	3	2
333	и другими	3	2
334	войти в	2	2
335	здесь мы	2	2
336	всех своих	2	2
337	в применении	3	2
338	получает от	2	2
339	композиционных форм	3	2
340	начало и	3	2
341	по существу	2	2
342	эстетического анализа	13	2
343	но зато	2	2
344	что это	2	2
345	но отнюдь	7	2
346	не будем	3	2
347	дело и	5	2
348	место и	2	2
349	материальное произведение	3	2
350	всех сторон	2	2
351	мы можем	6	2
352	но лишь	2	2
353	и эстетического	3	2
354	на первый	2	2
355	творчества и	5	2
356	в коем	2	2
357	человека как	2	2
358	у нас	2	2
359	применении к	3	2
360	со всеми	3	2
361	и иной	3	2
362	от всех	4	2
363	но они	4	2
364	только его	3	2
365	культуры и	3	2
366	со всех	2	2
367	нет и	3	2
368	не имеет	9	2
369	связаны с	2	2
370	в дальнейшем	3	2
371	вообще не	7	2
372	в самой	2	2
