N	3gram	Tiupa_Anal	Freidism
1	с точки зрения	2	15
2	не может быть	2	14
3	по отношению к	9	11
4	в том что	12	9
5	во всяком случае	6	8
6	и прежде всего	2	7
7	в то же	7	6
8	то же время	7	6
9	можно сказать что	2	5
10	в таком случае	2	4
11	тем не менее	3	4
12	в этом отношении	3	4
13	сам по себе	2	4
14	в данном случае	11	4
15	в свою очередь	7	4
16	внутренней и внешней	2	3
17	и той же	2	3
18	о том что	7	3
19	в конечном счете	5	3
20	одной и той	2	3
21	том что он	2	2
22	в отличие от	5	2
23	с одной стороны	3	2
