N	3gram	Voloshinov	StatiiOP
1	в том что	9	47
2	о том что	3	29
3	в этом отношении	4	24
4	для того чтобы	3	19
5	до сих пор	3	19
6	с точки зрения	15	14
7	во всяком случае	8	13
8	то обстоятельство что	2	11
9	не может быть	14	11
10	в то же	6	9
11	в самом деле	10	9
12	то же время	6	9
13	на самом деле	4	8
14	тем не менее	4	8
15	к тому что	2	8
16	том что он	2	7
17	в данном случае	4	7
18	в конце концов	2	7
19	заключается в том	2	7
20	по отношению к	11	6
21	так и в	3	6
22	в этом смысле	2	6
23	что же касается	3	5
24	с самого начала	5	5
25	в применении к	2	4
26	жизни и творчества	2	4
27	в другом месте	2	4
28	с одной стороны	2	4
29	что и в	2	4
30	бы то ни	3	3
31	по меньшей мере	2	3
32	можно сказать что	5	3
33	таким образом в	2	3
34	может быть это	2	3
35	а вовсе не	3	3
36	а с другой	2	3
37	и тем не	2	3
38	то или иное	2	3
39	но вместе с	2	2
40	то же самое	2	2
41	как мы видели	8	2
42	это прежде всего	2	2
43	вовсе не в	2	2
44	не укладывается в	2	2
45	сам по себе	4	2
46	ни в каком	2	2
47	но в то	3	2
48	может быть и	6	2
49	ни о каком	2	2
50	он не только	2	2
51	в какой степени	2	2
52	а также и	2	2
53	в чем же	2	2
54	но вовсе не	3	2
55	в отличие от	2	2
56	то ни было	2	2
57	что в его	2	2
58	на этот вопрос	3	2
59	в зависимости от	4	2
60	хотя бы и	2	2
61	на протяжении всей	6	2
62	том что она	2	2
63	в таком виде	2	2
64	в свою очередь	4	2
