N	2gram	Ircho_Kome	KulturaY
1	и т	11	143
2	т е	14	102
3	т п	7	93
4	и в	40	84
5	в том	19	74
6	потому что	8	68
7	не только	12	60
8	точки зрения	7	59
9	в этом	9	57
10	было бы	8	53
11	и не	19	52
12	может быть	16	47
13	том что	19	44
14	того чтобы	4	44
15	что в	12	44
16	т д	4	42
17	для того	3	41
18	в самом	5	41
19	у нас	3	38
20	хотя бы	2	37
21	так как	6	36
22	в области	3	34
23	таким образом	13	33
24	можно было	5	32
25	если бы	4	32
26	не в	8	30
27	прежде всего	8	30
28	в его	8	30
29	все же	7	29
30	не менее	6	28
31	в силу	4	26
32	не может	3	25
33	то что	8	25
34	вовсе не	3	25
35	вопрос о	5	24
36	еще не	7	24
37	с другой	7	24
38	так и	17	23
39	то же	7	23
40	только в	6	23
41	тем не	3	21
42	во всяком	4	20
43	но и	14	20
44	по себе	2	20
45	и что	2	20
46	что он	11	19
47	но в	6	19
48	тем что	5	19
49	о том	12	19
50	всяком случае	4	19
51	что же	2	19
52	между тем	9	18
53	связи с	3	18
54	все это	7	18
55	в качестве	8	18
56	к тому	15	18
57	с тем	5	18
58	в сущности	3	18
59	как бы	3	18
60	и с	8	18
61	вместе с	8	18
62	это не	2	17
63	как раз	4	17
64	как это	7	17
65	что это	5	17
66	другой стороны	6	17
67	в той	2	17
68	в виду	2	16
69	ничего не	4	16
70	что и	10	16
71	тот же	5	16
72	но не	3	16
73	по отношению	5	15
74	и тем	2	15
75	один из	9	15
76	только потому	2	15
77	а в	9	15
78	при этом	5	15
79	того как	3	15
80	целый ряд	2	15
81	именно в	5	15
82	как на	2	15
83	в нашем	2	15
84	в них	7	14
85	в связи	3	14
86	хотя и	6	14
87	как мы	5	14
88	отношению к	5	14
89	сих пор	3	14
90	и на	9	14
91	в ней	2	14
92	до сих	3	14
93	между прочим	2	13
94	что она	3	13
95	в этой	9	13
96	и его	17	13
97	той же	3	13
98	для этого	2	12
99	с этой	3	12
100	как в	8	12
101	того же	4	12
102	могут быть	3	12
103	в рамках	3	12
104	в результате	5	12
105	речь в	2	12
106	говорить о	3	12
107	однако не	2	12
108	ясно что	9	12
109	еще и	2	11
110	в их	6	11
111	в своем	6	11
112	из этих	5	11
113	в нем	8	11
114	этом отношении	3	11
115	и здесь	6	11
116	в какой	2	11
117	и если	2	11
118	уже в	9	11
119	он не	5	11
120	так же	4	10
121	в то	14	10
122	к этому	8	10
123	со стороны	3	10
124	в общем	2	10
125	как и	12	10
126	ту же	2	10
127	речь идет	6	10
128	тех же	4	10
129	с этим	5	10
130	бы в	3	10
131	несмотря на	5	10
132	от того	3	10
133	в первом	2	10
134	после того	3	10
135	этом смысле	2	10
136	этого рода	2	9
137	ли не	8	9
138	в целом	6	9
139	и для	4	9
140	в своей	3	9
141	а также	5	9
142	но это	2	9
143	в которой	9	9
144	и вот	4	9
145	на то	3	9
146	ни в	9	9
147	в первую	5	8
148	в частности	7	8
149	мы видели	2	8
150	в своих	2	8
151	тех пор	2	8
152	что на	4	8
153	в чем	3	8
154	не говоря	4	8
155	с одной	5	8
156	и о	3	8
157	в тех	5	8
158	что они	4	8
159	с его	4	8
160	это слово	4	8
161	да и	5	8
162	то и	3	8
163	независимо от	5	8
164	и как	3	8
165	об этом	2	8
166	в этих	5	8
167	тому что	4	8
168	но все	4	8
169	может служить	2	8
170	отнюдь не	2	8
171	тому же	14	8
172	же в	7	8
173	до конца	3	7
174	в свою	2	7
175	идет о	5	7
176	казалось бы	3	7
177	как он	2	7
178	одной стороны	5	7
179	с ними	2	7
180	не все	2	7
181	в истории	10	7
182	не следует	2	7
183	что касается	5	7
184	и более	2	7
185	в г	28	7
186	чуть ли	2	7
187	в самой	2	7
188	на этот	5	7
189	столь же	9	7
190	в котором	6	7
191	в одном	10	7
192	и вовсе	3	7
193	даже в	3	6
194	в себе	3	6
195	нуждается в	2	6
196	роль в	2	6
197	на этом	3	6
198	е в	2	6
199	говоря уже	4	6
200	не всегда	2	6
201	отличие от	4	6
202	мы знаем	5	6
203	которые в	3	6
204	от этого	2	6
205	гораздо более	2	6
206	уже о	4	6
207	на себя	5	6
208	в отличие	3	6
209	в соответствии	2	6
210	в ее	2	6
211	когда в	3	6
212	первую очередь	6	6
213	указывает что	2	6
214	как будто	3	6
215	по поводу	7	6
216	то это	3	6
217	за пределы	2	6
218	мы не	4	6
219	или в	5	6
220	же время	5	6
221	ср также	4	6
222	только что	2	6
223	соответствии с	2	6
224	главным образом	4	6
225	что именно	3	6
226	тем же	2	6
227	в отношении	6	5
228	к его	3	5
229	и к	2	5
230	относится к	2	5
231	что наши	2	5
232	а на	2	5
233	сплошь да	2	5
234	в духе	3	5
235	в форме	2	5
236	в другом	5	5
237	в конце	7	5
238	но если	4	5
239	и у	3	5
240	или менее	2	5
241	так что	6	5
242	по своему	5	5
243	материал для	2	5
244	думаю что	2	5
245	так в	6	5
246	также что	2	5
247	ни одного	2	5
248	да рядом	2	5
249	в двух	6	5
250	интерес к	2	5
251	и от	2	5
252	из того	2	5
253	и еще	5	5
254	и даже	5	5
255	у него	6	5
256	нас в	3	5
257	на протяжении	14	5
258	отношение к	3	5
259	еще более	2	5
260	или иначе	4	5
261	и их	3	5
262	мы находим	2	5
263	его в	6	4
264	о которых	6	4
265	о чем	2	4
266	в каждом	2	4
267	которых мы	2	4
268	сразу же	5	4
269	к которому	4	4
270	в виде	3	4
271	всего в	5	4
272	и все	4	4
273	к нему	5	4
274	это уже	2	4
275	мог бы	3	4
276	и без	3	4
277	одного из	7	4
278	однако в	4	4
279	в известном	2	4
280	аналогии с	2	4
281	же как	3	4
282	почти всегда	2	4
283	на все	3	4
284	здесь мы	3	4
285	как известно	4	4
286	так называемых	3	4
287	представление о	3	4
288	всего этого	2	4
289	могла бы	2	4
290	в году	3	4
291	ли это	2	4
292	на это	3	4
293	и по	6	4
294	из области	2	4
295	мы можем	6	4
296	на те	2	4
297	такой же	2	4
298	наше время	2	4
299	не к	2	4
300	а то	3	4
301	будто бы	2	4
302	связанные с	2	4
303	и это	3	4
304	зрения на	2	4
305	из которых	5	4
306	из них	16	4
307	не более	2	4
308	так или	4	4
309	этой области	2	4
310	нельзя не	2	4
311	именно на	2	4
312	но он	2	4
313	не мог	4	4
314	и следовательно	2	3
315	чаще всего	3	3
316	каждый из	3	3
317	в это	3	3
318	не раз	3	3
319	с той	2	3
320	наряду с	7	3
321	который в	2	3
322	конце концов	4	3
323	и другие	3	3
324	тем как	2	3
325	образом в	2	3
326	все время	2	3
327	и дает	2	3
328	от них	3	3
329	этом что	2	3
330	для этой	3	3
331	на него	4	3
332	в более	4	3
333	i стр	4	3
334	большинстве случаев	2	3
335	представить себе	3	3
336	на его	5	3
337	а из	2	3
338	в начале	7	3
339	содержания и	2	3
340	о его	5	3
341	о содержании	2	3
342	и я	2	3
343	во время	11	3
344	из самых	2	3
345	даже не	4	3
346	если в	3	3
347	это еще	2	3
348	которую можно	2	3
349	этой же	3	3
350	нет и	2	3
351	то время	8	3
352	также в	3	3
353	чтобы с	2	3
354	так называемой	3	3
355	в других	3	3
356	одним из	3	3
357	более чем	4	3
358	не по	5	3
359	указания на	2	3
360	именно потому	2	3
361	из всего	2	3
362	этой цели	3	3
363	что у	6	3
364	если это	2	3
365	на нем	2	3
366	за собой	3	3
367	все что	3	3
368	в большинстве	2	3
369	меньше всего	3	3
370	себя внимание	4	3
371	в следующем	4	3
372	больше всего	2	3
373	по адресу	18	3
374	со своей	3	3
375	с их	4	3
376	и уже	2	3
377	то ни	4	3
378	бы то	4	3
379	все более	4	2
380	нас только	2	2
381	в действительности	4	2
382	возможно что	4	2
383	из всех	2	2
384	в греческой	2	2
385	путь к	2	2
386	с целью	2	2
387	в состоянии	3	2
388	связанных с	2	2
389	нападки на	5	2
390	даже для	2	2
391	одному из	2	2
392	г и	8	2
393	в принципе	3	2
394	обращает на	4	2
395	об отношении	2	2
396	доказывает что	2	2
397	одном из	4	2
398	друг от	2	2
399	своего времени	2	2
400	одной из	6	2
401	отрицать что	2	2
402	можно привести	2	2
403	указывает на	2	2
404	к г	3	2
405	том числе	4	2
406	ответ на	2	2
407	не могла	2	2
408	к сожалению	2	2
409	в эти	2	2
410	же не	2	2
411	за счет	3	2
412	для них	2	2
413	здесь в	4	2
414	жизни и	4	2
415	с такой	2	2
416	находится в	2	2
417	у других	4	2
418	никто не	3	2
419	ее в	2	2
420	вслед за	4	2
421	не столь	2	2
422	одна из	4	2
423	на которые	3	2
424	имеет в	2	2
425	меньше чем	2	2
426	х годов	5	2
427	у нее	2	2
428	силу этого	3	2
429	это было	5	2
430	мы найдем	4	2
431	дело с	3	2
432	как правило	5	2
433	и богатство	4	2
434	известно что	4	2
435	по его	2	2
436	не является	2	2
437	ни было	4	2
438	где он	2	2
439	отказаться от	2	2
