N	2gram	Medvedev_V	Poddanst
1	не только	26	17
2	и в	26	14
3	и не	20	12
4	в области	2	11
5	в этом	29	10
6	но в	2	9
7	то же	10	9
8	в том	15	9
9	в качестве	12	9
10	хотя бы	20	8
11	в пределах	5	8
12	в то	6	7
13	только в	8	7
14	же время	5	7
15	но и	10	6
16	было бы	8	6
17	в ней	2	6
18	а н	3	5
19	с другой	11	5
20	не в	6	5
21	в которых	3	5
22	может быть	23	5
23	по себе	2	4
24	что в	11	4
25	если бы	3	4
26	и потому	2	4
27	в своем	8	4
28	том что	8	4
29	в котором	3	4
30	и к	3	4
31	как бы	5	4
32	то что	7	4
33	не может	17	4
34	а в	3	4
35	же в	7	4
36	что мы	2	3
37	и как	3	3
38	с тем	4	3
39	в порядке	6	3
40	но не	2	3
41	это не	7	3
42	т е	18	3
43	сводится к	3	3
44	н н	2	3
45	для того	3	3
46	в себе	6	3
47	точки зрения	3	3
48	одной стороны	2	3
49	в нем	7	3
50	между тем	6	3
51	вслед за	3	3
52	могут быть	8	3
53	прежде всего	13	3
54	и т	25	3
55	хотя и	2	3
56	с одной	2	3
57	с ними	4	3
58	заключается в	2	3
59	должно быть	2	2
60	не о	2	2
61	да и	2	2
62	в них	5	2
63	в жизни	2	2
64	было в	2	2
65	если в	2	2
66	одна из	4	2
67	для них	2	2
68	никак не	3	2
69	стороны и	2	2
70	творчества и	3	2
71	в статье	4	2
72	в его	15	2
73	с этим	3	2
74	в общем	2	2
75	не менее	2	2
76	говорить о	2	2
77	именно в	3	2
78	все это	13	2
79	но к	2	2
80	в частности	12	2
81	значительной мере	3	2
82	том числе	2	2
83	как на	3	2
84	а не	7	2
85	во всей	2	2
86	не было	7	2
87	мысль о	2	2
88	и есть	5	2
89	например в	3	2
90	во всех	7	2
91	в ее	4	2
92	между прочим	2	2
93	как раз	4	2
94	в сфере	2	2
95	в значительной	3	2
96	того что	3	2
97	в силу	14	2
98	главным образом	7	2
99	так называемые	3	2
100	из них	11	2
101	не столько	2	2
102	отнюдь не	4	2
