N	2gram	Bakhtin_Fr	EvropaiE
1	и в	68	37
2	в отношении	3	32
3	точки зрения	8	23
4	что в	14	21
5	не только	21	18
6	с точки	4	17
7	в то	14	16
8	хотя бы	2	15
9	то же	14	15
10	в своем	11	14
11	но в	20	14
12	но и	17	14
13	и не	25	14
14	же время	13	14
15	в качестве	2	14
16	в этом	28	12
17	в том	12	11
18	в их	6	11
19	в области	5	11
20	так и	8	10
21	так же	3	9
22	не может	5	9
23	в себе	5	9
24	прежде всего	23	9
25	только в	9	9
26	одной стороны	4	8
27	между тем	3	8
28	в ее	5	8
29	думать что	2	8
30	было бы	4	8
31	в своей	11	8
32	с одной	5	8
33	по своему	3	7
34	также и	6	7
35	с другой	8	7
36	а также	6	7
37	как и	17	7
38	так как	7	7
39	того что	3	7
40	том что	6	6
41	во всех	8	6
42	то есть	31	6
43	и даже	7	6
44	может быть	10	6
45	и на	16	6
46	стороны и	2	6
47	того чтобы	6	6
48	для того	5	6
49	то что	11	6
50	как бы	7	6
51	вовсе не	18	6
52	но не	4	5
53	от этого	2	5
54	и по	4	5
55	и потому	6	5
56	в той	7	5
57	как мы	18	5
58	со стороны	2	5
59	не в	2	5
60	в виде	2	5
61	в частности	4	5
62	в течение	3	5
63	одной из	3	5
64	даже в	4	4
65	сказать что	3	4
66	или иной	2	4
67	можно сказать	2	4
68	то в	2	4
69	культуры в	3	4
70	именно в	5	4
71	в самом	6	4
72	культурной жизни	2	4
73	но даже	2	4
74	мы не	3	4
75	в ней	6	4
76	мира в	2	4
77	той или	2	4
78	не на	2	4
79	чем в	2	4
80	никогда не	2	3
81	и от	4	3
82	и для	6	3
83	из всех	4	3
84	о том	5	3
85	в данном	5	3
86	в общем	2	3
87	того же	4	3
88	можно было	3	3
89	мира и	4	3
90	в свою	3	3
91	и к	4	3
92	уже и	2	3
93	от них	2	3
94	из них	8	3
95	и прежде	4	3
96	во все	3	3
97	в них	19	3
98	всяком случае	2	3
99	мы видели	6	3
100	что и	3	3
101	во второй	2	3
102	отметить что	2	3
103	там где	6	3
104	и мы	2	3
105	не дает	4	3
106	тем что	6	3
107	говорит о	2	3
108	этом отношении	4	3
109	в культуре	4	3
110	потому что	3	3
111	в таком	2	3
112	и со	2	3
113	как в	4	3
114	как на	3	3
115	в прошлом	2	3
116	большинстве случаев	3	3
117	во всяком	2	3
118	дело в	4	3
119	данном случае	3	2
120	для понимания	5	2
121	и если	2	2
122	представление о	2	2
123	в мире	6	2
124	в его	21	2
125	и этот	2	2
126	начиная с	3	2
127	что это	4	2
128	в эту	7	2
129	и то	2	2
130	меньшей степени	2	2
131	к нему	4	2
132	а в	3	2
133	с этим	2	2
134	в котором	3	2
135	какой бы	2	2
136	его на	2	2
137	но как	5	2
138	далеко не	3	2
139	в своих	7	2
140	с в	2	2
141	и еще	3	2
142	же к	2	2
143	в большинстве	3	2
144	и с	15	2
145	в другой	2	2
146	что на	2	2
147	по преимуществу	3	2
148	в развитии	2	2
149	другой стороны	5	2
150	что все	2	2
151	также в	2	2
152	между ними	4	2
153	в значительной	3	2
154	по своей	4	2
155	в одном	7	2
156	на них	3	2
157	и как	5	2
158	ко всему	2	2
159	если бы	3	2
160	в этих	8	2
161	жизни и	6	2
162	еще более	5	2
163	в других	4	2
164	а не	6	2
165	и тут	2	2
166	и других	7	2
167	мы видим	9	2
168	и что	2	2
169	и во	6	2
170	или точнее	2	2
171	и наконец	5	2
172	имеет в	2	2
173	свою очередь	2	2
174	же в	2	2
175	но именно	3	2
176	одном из	2	2
177	начало в	2	2
178	этот процесс	4	2
179	и все	16	2
180	влияние на	2	2
181	или в	3	2
182	по сравнению	2	2
183	таким образом	22	2
184	в истории	5	2
185	он не	11	2
186	как будто	2	2
187	такой же	3	2
188	во всей	3	2
189	главным образом	3	2
190	на уровне	2	2
191	сравнению с	2	2
192	не к	2	2
193	в этой	15	2
194	меньше чем	3	2
195	хотя и	2	2
196	вместе с	4	2
197	на основе	3	2
198	и более	2	2
199	культуры и	7	2
