N	3gram	Bakhtin_Pr	Freidism
1	с точки зрения	6	15
2	не может быть	11	14
3	по отношению к	19	11
4	в самом деле	3	10
5	в том что	3	9
6	и прежде всего	5	7
7	в то же	3	6
8	в высшей степени	5	6
9	то же время	3	6
10	в большинстве случаев	5	5
11	можно сказать что	2	5
12	мы можем сказать	2	5
13	тем не менее	3	4
14	на первый план	2	4
15	ни в чем	2	4
16	в чем не	2	4
17	в этом отношении	2	4
18	не могут быть	2	4
19	в данном случае	4	4
20	на самом деле	3	4
21	все то что	3	3
22	бы то ни	3	3
23	далеко не всегда	3	3
24	во всех своих	2	3
25	так и в	2	3
26	для того чтобы	2	3
27	в конечном счете	4	3
28	и не может	2	3
29	то ни было	2	2
30	то же самое	2	2
31	в применении к	3	2
32	то или иное	2	2
33	в отличие от	5	2
34	с одной стороны	3	2
35	в этом смысле	3	2
36	сказать и о	2	2
37	в его целом	5	2
