N	2gram	Bakhtin_Fr	DiskursI
1	в качестве	5	72
2	а не	6	60
3	может быть	4	56
4	не только	23	49
5	и в	67	49
6	как и	19	47
7	при этом	5	46
8	в том	16	44
9	и не	23	44
10	то есть	49	41
11	том что	13	40
12	в этом	27	38
13	в себе	3	37
14	в частности	4	36
15	но и	23	35
16	своего рода	7	32
17	и т.п	31	32
18	но не	6	31
19	так и	14	28
20	отличие от	3	28
21	но в	20	28
22	не может	9	27
23	в отличие	3	27
24	как в	4	25
25	еще не	5	23
26	а также	4	20
27	все же	7	19
28	прежде всего	19	19
29	в нем	20	19
30	в своей	6	19
31	в основе	6	18
32	далеко не	6	18
33	в данном	4	17
34	то же	18	17
35	с другой	3	17
36	точки зрения	7	16
37	только в	6	16
38	роль в	5	15
39	в его	17	15
40	то что	9	15
41	о том	8	15
42	это не	5	14
43	не в	8	14
44	не менее	4	14
45	одной стороны	2	14
46	можно сказать	4	14
47	с одной	2	14
48	в целом	2	13
49	для него	4	13
50	как бы	18	13
51	данном случае	4	12
52	в своем	13	12
53	и все	18	12
54	того же	6	12
55	и на	12	12
56	что в	14	11
57	с его	11	11
58	и как	7	11
59	не было	3	11
60	а в	4	10
61	не столько	5	10
62	также и	11	10
63	и т.д	2	10
64	же время	14	10
65	в то	17	9
66	между тем	3	9
67	в них	12	9
68	еще в	3	9
69	этом отношении	7	8
70	и о	8	8
71	к тому	4	8
72	потому что	8	8
73	хотя и	6	8
74	если в	3	8
75	и даже	6	8
76	жизни в	3	8
77	в себя	6	8
78	в котором	3	8
79	соответствии с	2	8
80	в одном	7	8
81	из них	5	8
82	он не	9	8
83	перед нами	6	7
84	его в	10	7
85	о чем	5	7
86	и ее	2	7
87	одной из	6	7
88	и для	4	7
89	но это	10	7
90	что и	8	7
91	например в	6	7
92	в этой	13	7
93	другой стороны	2	7
94	к этому	4	7
95	лишь в	3	7
96	в пределах	2	7
97	ни в	5	7
98	той же	6	7
99	и его	19	7
100	таким образом	20	7
101	нового времени	6	7
102	тому же	5	7
103	никогда не	6	6
104	в одной	3	6
105	не как	3	6
106	что он	7	6
107	одно из	2	6
108	одновременно и	4	6
109	именно в	5	6
110	тому как	2	6
111	времени в	2	6
112	здесь не	7	6
113	в сущности	13	6
114	в истории	2	6
115	в ее	2	6
116	и то	2	6
117	в эпоху	17	6
118	то в	3	6
119	в строгом	2	6
120	дело в	5	6
121	во всех	20	6
122	и одновременно	5	6
123	в особенности	7	6
124	времени и	4	6
125	в которых	3	6
126	с точки	5	6
127	в период	2	6
128	ничего не	5	5
129	в другом	4	5
130	в виду	2	5
131	в их	4	5
132	того что	4	5
133	стихотворение в	2	5
134	о нем	2	5
135	к ним	2	5
136	мира и	10	5
137	во втором	3	5
138	несмотря на	3	5
139	один из	6	5
140	здесь в	9	5
141	было в	2	5
142	как будто	2	5
