N	3gram	Propp_Isto	Mirosoze
1	не может быть	6	28
2	в том что	4	9
3	для того чтобы	3	7
4	о том что	5	6
5	вместе с тем	7	6
6	но и в	2	5
7	после того как	4	5
8	и вместе с	3	5
9	до сих пор	7	5
10	что и в	3	5
11	по отношению к	2	4
12	на то что	3	4
13	в свою противоположность	2	4
14	то время как	3	4
15	потому что он	5	4
16	в то время	3	4
17	это значит что	2	3
18	но это не	2	3
19	он живет в	2	3
20	как и в	4	3
21	же как и	4	3
22	так же как	10	3
23	так как он	2	3
24	в ином мире	2	2
25	он не может	2	2
26	т е в	6	2
27	подобно тому как	2	2
28	не только в	2	2
29	тем что он	3	2
30	в том смысле	2	2
31	в иной мир	11	2
