N	3gram	Bakhtin_Pr	Tvorches
1	в романах достоевского	11	29
2	в то же	10	25
3	то же время	10	24
4	в преступлении и	2	17
5	преступлении и наказании	2	16
6	в творчестве достоевского	5	11
7	в том что	10	11
8	преступление и наказание	2	10
9	по нашему мнению	3	10
10	в братьях карамазовых	3	9
11	преступления и наказания	2	9
12	о том что	5	8
13	и в то	3	7
14	в романе достоевского	6	7
15	в бедных людях	2	6
16	в мире достоевского	6	6
17	но в то	5	6
18	не может быть	8	6
19	записок из подполья	4	5
20	в русской литературе	2	5
21	по отношению к	17	5
22	в его романах	5	5
23	у достоевского не	3	5
24	в самом деле	5	5
25	по крайней мере	3	4
26	в произведениях достоевского	5	4
27	с точки зрения	21	4
28	с самого начала	3	4
29	до сих пор	3	4
30	у достоевского как	2	3
31	с другой стороны	3	3
32	и не может	3	3
33	является одним из	2	3
34	сами по себе	4	3
35	во всяком случае	3	3
36	в отличие от	3	3
37	что он сам	2	2
38	бы он ни	2	2
39	пространстве а не	2	2
40	а не во	2	2
41	достоевский никогда не	5	2
42	на самом деле	4	2
43	ивана карамазова и	5	2
44	потому что он	2	2
45	не только в	2	2
46	на протяжении всего	2	2
47	для того чтобы	3	2
48	то есть не	3	2
49	можно сказать что	3	2
50	человека и его	2	2
51	мы уже говорили	2	2
52	в его произведениях	3	2
53	заключается в том	2	2
54	это не значит	3	2
55	в его творчестве	3	2
56	в конце концов	7	2
57	так же как	4	2
58	не во времени	2	2
59	но это не	3	2
60	в данном случае	3	2
61	только то что	2	2
62	в одном из	3	2
63	в высшей степени	2	2
64	в пространстве а	2	2
65	и сам автор	2	2
66	а может быть	2	2
67	не потому что	3	2
68	в й главе	2	2
