N	2gram	Tiupa_Narr	RusskieA
1	и в	22	79
2	в том	20	64
3	том что	15	59
4	что в	6	57
5	не только	50	41
6	во время	2	38
7	в этом	23	33
8	состоит в	19	32
9	как бы	11	31
10	но и	39	31
11	в других	2	30
12	как и	15	28
13	может быть	24	28
14	и на	5	28
15	на святках	2	27
16	одна из	5	24
17	и т	3	23
18	о том	5	23
19	при этом	31	22
20	в поле	3	22
21	это не	6	20
22	как мы	3	20
23	а в	19	20
24	из них	4	19
25	xix в	2	18
26	представляют собой	5	18
27	потому что	7	17
28	то что	14	17
29	об этом	8	17
30	таким образом	5	17
31	вместе с	3	17
32	мы не	5	16
33	один из	8	15
34	будто бы	2	15
35	у нас	4	14
36	для нас	2	14
37	не менее	6	14
38	как это	7	14
39	тем не	7	14
40	и не	34	14
41	и с	3	14
42	и по	3	13
43	к этому	2	13
44	не может	16	13
45	еще не	6	13
46	как в	9	13
47	уже не	11	13
48	в виде	2	12
49	между собой	3	12
50	мы имеем	6	12
51	что на	4	11
52	а на	2	11
53	но это	2	11
54	не имеет	3	11
55	далеко не	6	11
56	так и	12	10
57	между тем	5	10
58	все же	10	10
59	что и	3	10
60	а также	11	10
61	представляет собой	21	10
62	или в	7	10
63	данном случае	12	9
64	о чем	6	9
65	но в	10	9
66	к жизни	3	9
67	и все	7	9
68	то же	12	9
69	но не	7	9
70	видно что	2	9
71	так же	2	8
72	того что	7	8
73	одно из	2	8
74	в данном	17	8
75	на себя	5	8
76	того чтобы	7	8
77	их в	4	8
78	же в	6	8
79	связи с	3	8
80	не объясняет	2	8
81	что это	4	8
82	не все	2	8
83	во всех	2	8
84	подобно тому	4	8
85	для того	4	8
86	в этих	3	8
87	тому как	4	8
88	в своем	7	7
89	ничего не	8	7
90	начиная с	3	7
91	не в	12	7
92	а с	2	7
93	к нему	5	7
94	было бы	2	7
95	до конца	2	7
96	из этих	6	7
97	и как	4	7
98	еще в	4	7
99	не можем	2	7
100	только в	23	7
101	как будто	4	7
102	а не	27	7
103	с собой	2	6
104	в этой	8	6
105	и у	4	6
106	друг друга	2	6
107	не всегда	4	6
108	только на	4	6
109	тому что	4	6
110	она не	2	6
111	к тому	13	6
112	в нем	9	6
113	так в	4	6
114	в году	2	6
115	же как	2	6
116	с ними	5	6
117	все эти	3	6
118	в качестве	27	6
119	в одном	5	6
120	что она	3	6
121	и о	4	6
122	также в	2	6
123	но они	4	6
124	и более	2	6
125	на нее	2	6
126	приводит к	2	6
127	в таком	4	6
128	и потому	2	5
129	вплоть до	5	5
130	к себе	11	5
131	что он	7	5
132	в москве	2	5
133	прежде всего	7	5
134	к ним	2	5
135	в свою	4	5
136	в то	9	5
137	в целом	5	5
138	для них	2	5
139	тогда как	23	5
140	в связи	3	5
141	не было	3	5
142	например в	2	5
143	в его	12	5
144	по поводу	3	5
145	то и	3	5
146	можно было	2	5
147	как правило	8	5
148	в особенности	2	5
149	и для	4	5
150	с другой	6	5
151	входит в	2	5
152	и к	7	5
153	отнюдь не	6	5
154	или даже	3	5
155	с ним	6	5
156	как можно	2	4
157	если в	2	4
158	и ее	3	4
159	на две	2	4
160	связано с	2	4
161	его и	2	4
162	они и	2	4
163	своего рода	17	4
164	отличие от	6	4
165	не столько	2	4
166	и тогда	2	4
167	по полю	2	4
168	во всяком	2	4
169	и от	3	4
170	по своему	3	4
171	а к	3	4
172	дело не	3	4
173	к ней	3	4
174	и здесь	3	4
175	не просто	2	4
176	та же	2	4
177	она в	3	4
178	в отличие	6	4
179	переход от	2	4
180	а за	2	4
181	что у	6	4
182	именно в	5	4
183	в котором	3	4
184	в своих	2	4
185	себя внимание	3	4
186	в ней	5	4
187	всяком случае	2	4
188	и после	3	4
189	но он	2	4
190	никогда не	8	3
191	том как	3	3
192	каждый из	3	3
193	и через	2	3
194	в форме	7	3
195	них как	2	3
196	то есть	15	3
197	с той	2	3
198	обращает на	3	3
199	это и	2	3
200	в виду	2	3
201	как он	3	3
202	или менее	2	3
203	более или	2	3
204	на другой	6	3
205	точки зрения	8	3
206	где они	2	3
207	церкви и	2	3
208	в области	4	3
209	ней в	2	3
210	в какой	2	3
211	в ее	4	3
212	что с	2	3
213	в своей	8	3
214	свою очередь	2	3
215	место в	3	3
216	хотя и	8	3
217	имеет место	4	3
218	и то	3	3
219	или не	5	3
220	о воскресении	3	3
221	говорилось выше	3	3
222	по отношению	5	3
223	и еще	2	3
224	другой день	4	3
225	в которой	2	3
226	из наиболее	6	3
227	на него	4	3
228	если бы	9	3
229	жизни в	7	3
230	а именно	2	3
