N	3gram	Vygotskiy_	KulturaY
1	и т п	5	93
2	и т д	6	42
3	для того чтобы	41	38
4	с точки зрения	5	36
5	в том что	30	33
6	в самом деле	8	29
7	можно было бы	4	25
8	то обстоятельство что	2	19
9	с другой стороны	8	17
10	в зависимости от	7	16
11	до сих пор	9	14
12	в том чтобы	6	14
13	по отношению к	2	13
14	в этом отношении	3	11
15	и в самом	3	11
16	не может быть	4	11
17	о том что	15	10
18	в этом смысле	3	10
19	вместе с тем	4	9
20	на самом деле	8	8
21	не только в	5	8
22	в этом случае	2	8
23	само по себе	3	8
24	а с другой	5	7
25	тех пор пока	2	7
26	с одной стороны	15	7
27	до тех пор	2	7
28	той или иной	2	6
29	этой точки зрения	3	6
30	в отличие от	3	6
31	на этот вопрос	5	5
32	потому что он	3	5
33	в данном случае	3	5
34	и в этом	2	5
35	с этой точки	3	5
36	в конечном счете	2	4
37	сам по себе	4	4
38	одного и того	2	4
39	том что он	4	4
40	бы сказать что	2	4
41	заключается в том	9	4
42	так же как	3	4
43	к тому что	8	4
44	на то что	25	4
45	состоит в том	2	4
46	в том и	3	4
47	зависимости от того	4	4
48	и того же	2	4
49	именно в том	3	4
50	ясно что в	3	3
51	в лучшем случае	3	3
52	в то время	4	3
53	с тем что	3	3
54	и если мы	6	3
55	не то что	3	3
56	в конце концов	6	3
57	мы увидим что	7	3
58	совершенно ясно что	7	3
59	обратить внимание на	2	3
60	принять во внимание	2	3
61	сама по себе	3	3
62	что он не	3	2
63	и то же	4	2
64	не что иное	2	2
65	и той же	4	2
66	вовсе не в	2	2
67	но он не	2	2
68	потому что в	4	2
69	и тем же	3	2
70	друг от друга	2	2
71	мы знаем что	3	2
72	потому что они	3	2
73	из того что	3	2
74	ни в каком	2	2
75	таким образом в	2	2
76	может быть и	2	2
77	и тот же	2	2
78	сводится к тому	3	2
79	когда говорит что	6	2
80	в собственном смысле	2	2
81	это действительно так	2	2
82	то что мы	2	2
83	собственном смысле слова	2	2
84	иметь в виду	3	2
85	мы могли бы	4	2
86	одной и той	4	2
87	что иное как	2	2
88	это на примере	2	2
89	должен был бы	3	2
90	и в том	2	2
91	одним и тем	3	2
92	том что на	2	2
93	можно сказать что	3	2
94	сами по себе	2	2
95	по себе не	2	2
96	по сравнению с	4	2
