N	3gram	Voloshinov	RusskieA
1	в том что	9	49
2	тем не менее	3	14
3	в этом случае	3	12
4	о том что	2	10
5	для того чтобы	7	8
6	в настоящее время	6	7
7	как мы увидим	2	7
8	как мы видели	4	6
9	не может быть	23	6
10	так же как	2	6
11	в связи с	12	5
12	к тому что	4	5
13	а иногда и	2	4
14	во всяком случае	4	4
15	можно было бы	2	4
16	как мы уже	3	4
17	мы не будем	3	4
18	в отличие от	7	4
19	же как и	2	3
20	более или менее	3	3
21	на самом же	5	3
22	по отношению к	9	3
23	может быть и	8	3
24	с точки зрения	31	3
25	в какой степени	2	3
26	самом же деле	5	3
27	до сих пор	10	3
28	до тех пор	2	3
29	на то что	2	3
30	в свою очередь	5	3
31	тех пор пока	2	3
32	мы уже знаем	2	2
33	на самом деле	5	2
34	можно сказать что	4	2
35	в этом отношении	4	2
36	в большинстве случаев	7	2
37	не только в	2	2
38	ничего общего с	2	2
39	вопрос о том	2	2
40	друг с другом	2	2
41	с одной стороны	2	2
42	с другой стороны	6	2
43	но все же	4	2
