N	3gram	Trubetskoy	Myshleni
1	в том что	7	133
2	с точки зрения	9	89
3	для того чтобы	6	78
4	друг с другом	14	35
5	можно было бы	3	28
6	в этом случае	3	27
7	вместе с тем	3	26
8	о том что	2	25
9	на то что	4	25
10	не может быть	4	23
11	к тому что	2	22
12	и тем самым	2	19
13	во всяком случае	6	18
14	до сих пор	5	17
15	в данном случае	3	15
16	и то что	3	15
17	друг от друга	2	14
18	точно так же	2	13
19	тот факт что	2	10
20	на самом деле	6	9
21	сама по себе	2	9
22	более или менее	4	9
23	той или иной	3	8
24	что он не	2	8
25	только в том	2	8
26	и вместе с	2	7
27	к тому чтобы	4	7
28	в лучшем случае	3	6
29	и не может	3	6
30	в том и	2	6
31	не может не	3	5
32	в конце концов	3	5
33	в то же	10	5
34	таким же образом	2	4
35	к вопросу о	3	4
36	и во всяком	2	4
37	не могут не	2	4
38	в себе и	2	4
39	бы то ни	4	3
40	в значительной мере	2	3
41	по самому своему	2	3
42	из которых каждый	2	3
43	она не может	2	3
44	в настоящее время	2	3
45	а следовательно и	2	3
46	того или иного	2	3
47	то же время	10	3
48	и в другом	2	3
49	том случае если	3	2
50	точки зрения этой	2	2
51	в этом направлении	2	2
52	в том случае	4	2
53	в противоречие с	2	2
54	в большинстве случаев	2	2
55	тогда когда они	2	2
56	не только к	2	2
57	в другом случае	2	2
