N	2gram	Medvedev_F	Myshleni
1	в том	17	195
2	в этом	39	167
3	то что	14	166
4	и в	54	162
5	том что	3	161
6	в развитии	2	151
7	таким образом	28	147
8	точки зрения	21	143
9	с помощью	13	131
10	что в	10	119
11	мышления и	2	117
12	не только	14	116
13	того что	7	109
14	в процессе	17	101
15	так же	5	100
16	речи и	2	99
17	и речи	2	96
18	потому что	2	95
19	того чтобы	4	91
20	может быть	30	89
21	с точки	17	89
22	что он	8	86
23	не может	26	81
24	как и	18	79
25	так как	4	78
26	для того	3	78
27	и не	34	78
28	только в	6	75
29	в целом	7	74
30	как мы	10	72
31	но и	18	70
32	в его	30	67
33	сказать что	3	65
34	как бы	10	64
35	вместе с	8	62
36	в качестве	2	60
37	и что	2	60
38	было бы	10	60
39	то же	16	58
40	в основе	7	58
41	в отношении	3	55
42	в самом	17	52
43	в сущности	3	51
44	к тому	6	49
45	что они	4	48
46	тем что	6	48
47	мы не	6	47
48	на основе	6	47
49	понятий и	4	47
50	если бы	8	46
51	но не	5	45
52	с другой	8	45
53	по отношению	4	45
54	тем самым	5	43
55	с тем	11	43
56	же как	3	43
57	как это	8	42
58	тому что	3	42
59	отношению к	4	42
60	не является	3	41
61	одной стороны	5	40
62	так и	24	39
63	говорит он	7	39
64	никогда не	6	39
65	с одной	5	39
66	в области	6	38
67	мы видели	5	38
68	вопрос о	3	37
69	не в	16	37
70	если мы	5	37
71	в этой	10	37
72	и к	7	37
73	в своем	12	36
74	с самого	2	36
75	все эти	12	36
76	и его	27	36
77	самого начала	2	36
78	как в	12	36
79	а не	11	36
80	он не	8	35
81	в которой	5	35
82	в себе	4	35
83	и как	6	34
84	связи с	12	34
85	приводит к	4	34
86	при этом	14	33
87	прежде всего	34	33
88	по себе	10	33
89	что и	10	32
90	именно в	12	32
91	но в	9	32
92	слова и	5	32
93	той же	2	32
94	и тем	3	32
95	что оно	4	32
96	и на	10	32
97	все же	8	31
98	этом отношении	7	30
99	на то	2	30
100	между тем	4	29
101	могут быть	7	29
102	и развития	2	29
103	этого слова	4	29
104	от того	2	29
105	с этим	6	28
106	самом деле	12	28
107	в своей	16	27
108	с этой	4	27
109	в результате	8	27
110	в то	14	27
111	перед нами	3	27
112	другой стороны	5	27
113	и с	17	27
114	мысли в	2	26
115	в их	16	26
116	в частности	4	26
117	для него	9	26
118	понятия в	2	26
119	все это	11	25
120	еще не	6	25
121	это не	4	25
122	только не	2	25
123	в чем	2	25
124	можно сказать	2	25
125	своего развития	2	25
126	так что	2	24
127	мы знаем	3	24
128	целый ряд	4	24
129	в какой	3	24
130	что эта	2	24
131	в нем	25	24
132	зависимости от	5	24
133	в слове	4	24
134	в высшей	4	24
135	в смысле	2	24
136	как он	2	23
137	состоит в	3	23
138	друг друга	4	23
139	бы в	6	23
140	слова в	2	23
141	ни в	3	23
142	этот вопрос	2	23
143	смысле этого	4	22
144	высшей степени	4	22
145	в школе	2	22
146	во всяком	6	22
147	в зависимости	4	22
148	и развитие	2	22
149	не могут	8	22
150	столь же	2	22
151	отношение к	4	21
152	в истории	10	21
153	все время	7	21
154	и более	4	21
155	в нашем	2	21
156	его в	5	21
157	представление о	2	21
158	там где	3	21
159	к этому	3	21
160	и все	9	21
161	ее в	3	21
162	между ними	3	21
163	и ее	15	21
164	не имеет	2	21
165	в такой	3	20
166	в котором	2	20
167	в виду	2	20
168	и других	4	20
169	по существу	8	20
