N	2gram	Bakhtin_KF	UchenyiS
1	и в	28	14
2	не только	5	10
3	а не	17	10
4	и не	28	8
5	прежде всего	4	8
6	то что	7	7
7	не может	29	7
8	в этом	15	7
9	может быть	45	6
10	и только	7	5
11	то же	5	5
12	хотя бы	5	5
13	все это	10	5
14	но и	9	4
15	в этой	2	4
16	в их	9	4
17	конечно не	7	4
18	не о	2	3
19	для этого	2	3
20	и т.д	4	3
21	не следует	2	3
22	это не	10	3
23	и то	2	3
24	в своей	11	3
25	все же	5	3
26	не как	4	3
27	как и	5	3
28	в то	3	3
29	но в	5	3
30	же время	2	3
31	ни было	4	3
32	было бы	8	3
33	в области	2	3
34	бы то	2	3
35	то ни	2	3
36	для него	13	3
37	в себе	21	2
38	что он	2	2
39	но не	12	2
40	и для	10	2
41	если бы	8	2
42	между тем	4	2
43	самом деле	3	2
44	только в	18	2
45	этом смысле	3	2
46	не есть	22	2
47	ничего не	3	2
48	всех этих	3	2
49	но конечно	3	2
50	что и	7	2
51	могут быть	3	2
52	это было	2	2
53	по себе	2	2
54	тем что	3	2
55	том что	4	2
56	а как	2	2
57	в его	42	2
58	это уже	2	2
59	сводится к	2	2
60	все они	2	2
61	в том	6	2
62	если не	2	2
63	с его	2	2
64	должна быть	4	2
65	его и	2	2
66	но это	6	2
67	не в	13	2
68	бы и	3	2
69	мы не	3	2
