N	2gram	Tiupa_Hudo	Komedia
1	и в	34	77
2	и не	15	47
3	в том	24	44
4	том что	31	42
5	т е	6	33
6	в г	3	33
7	о том	21	33
8	едва ли	6	32
9	но и	13	32
10	может быть	12	30
11	из них	5	29
12	в то	12	28
13	и его	8	28
14	в этом	22	27
15	потому что	7	27
16	что он	14	26
17	к тому	11	26
18	не только	22	25
19	вместе с	2	25
20	так как	2	24
21	как и	16	23
22	ни в	5	23
23	что в	8	23
24	что и	3	22
25	если бы	7	22
26	в самом	7	22
27	в конце	5	21
28	так и	19	21
29	а в	11	21
30	то же	14	21
31	ясно что	2	21
32	в его	17	20
33	по адресу	2	19
34	со стороны	6	19
35	в этой	11	18
36	и т	15	17
37	тем что	6	17
38	еще не	10	17
39	в нем	5	17
40	же время	11	17
41	все же	5	16
42	у него	13	16
43	не менее	9	16
44	при этом	21	16
45	и сам	3	16
46	сих пор	3	16
47	действующих лиц	3	16
48	он не	8	16
49	до сих	3	16
50	его в	5	15
51	в своем	9	15
52	не в	16	15
53	точки зрения	7	15
54	между тем	14	15
55	прежде всего	12	15
56	один из	6	15
57	на себя	3	15
58	было бы	8	15
59	в которой	2	15
60	и на	6	15
61	к нему	2	14
62	все это	2	14
63	об этом	8	14
64	и с	10	14
65	столь же	6	14
66	о чем	9	13
67	то что	13	13
68	так что	3	13
69	самом деле	6	13
70	но в	6	13
71	в них	3	13
72	того чтобы	6	13
73	в двух	2	13
74	что она	10	13
75	только что	4	13
76	в одном	3	13
77	как раз	7	13
78	так же	3	12
79	с другой	4	12
80	для того	3	12
81	т п	10	12
82	как это	8	12
83	уже в	2	12
84	несмотря на	7	12
85	не по	2	12
86	в качестве	13	12
87	хотя и	3	12
88	в начале	3	12
89	не может	10	12
90	как в	11	12
91	но не	7	12
92	в котором	5	12
93	по отношению	15	11
94	наряду с	4	11
95	в их	2	11
96	в частности	10	11
97	речь идет	3	11
98	как мы	5	11
99	к ней	2	11
100	и даже	4	11
101	и для	5	11
102	с ним	6	11
103	в целом	2	10
104	к себе	8	10
105	отношение к	3	10
106	ничего не	11	10
107	одной из	5	10
108	и все	10	10
109	на его	2	10
110	в глазах	11	10
111	мы не	2	10
112	же в	3	10
113	с его	9	10
114	с этим	3	10
115	на него	3	10
116	с одной	4	10
117	сразу же	2	10
118	как бы	11	10
119	еще в	4	10
120	более чем	2	10
121	и что	3	10
122	тому что	8	9
123	одной стороны	4	9
124	однако в	4	9
125	о его	2	9
126	и по	3	9
127	в своей	15	9
128	а также	4	9
129	отношению к	15	9
130	но все	2	9
131	все что	4	9
132	друг друга	5	9
133	вовсе не	2	9
134	говорить о	4	9
135	только в	8	9
136	в ней	6	9
137	первую очередь	2	8
138	идет о	3	8
139	и ее	3	8
140	как он	4	8
141	то ни	2	8
142	такого рода	4	8
143	по своему	3	8
144	место в	3	8
145	не знает	2	8
146	связи с	4	8
147	да и	5	8
148	по поводу	3	8
149	можно было	6	8
150	бы в	2	8
151	с этой	3	8
152	что у	4	8
153	не было	8	8
154	во всех	2	8
155	вопрос о	2	7
156	в первую	2	7
157	до конца	3	7
158	в себе	19	7
159	и поэтому	2	7
160	в другом	3	7
161	и у	3	7
162	это время	2	7
163	со своим	5	7
164	и к	6	7
165	мы знаем	4	7
166	себе в	2	7
167	и о	8	7
168	в других	4	7
169	так или	3	7
170	и это	7	7
171	в связи	3	7
172	что они	4	7
173	если в	4	7
174	тех же	2	7
175	из этих	3	7
176	хотя бы	2	7
177	в результате	2	7
178	дело с	2	7
179	в этих	7	7
180	и тот	2	7
181	не имеет	2	7
182	или иначе	3	7
183	отнюдь не	4	7
184	для нас	4	7
185	даже в	4	6
186	когда же	3	6
187	в силу	2	6
188	и тем	2	6
189	на вопрос	2	6
190	с женой	3	6
191	так в	2	6
192	о которых	2	6
193	на ее	3	6
194	что не	4	6
195	в сущности	2	6
196	нет и	2	6
197	в дальнейшем	2	6
198	в т	5	6
199	не зная	2	6
200	и он	6	6
201	на это	2	6
202	это было	2	6
203	к концу	2	6
204	тем не	7	6
205	как правило	6	6
206	во второй	7	6
207	человека в	10	6
208	как будто	7	6
209	с и	2	6
210	на то	4	6
211	в своих	4	6
212	с собой	2	6
213	когда он	2	6
214	в другой	2	6
215	а по	2	6
216	там же	2	6
217	на этом	5	6
218	с точки	5	6
219	или в	3	6
220	а не	23	6
221	никогда не	8	5
222	ему не	3	5
223	этом отношении	4	5
224	это не	12	5
225	том как	5	5
226	вслед за	3	5
227	в изображении	2	5
228	в следующем	3	5
229	в ответ	3	5
230	роль в	2	5
231	все время	2	5
232	любви к	2	5
233	участие в	3	5
234	что на	4	5
235	не могла	4	5
236	же не	3	5
237	в ее	16	5
238	в первом	2	5
239	в действительности	5	5
240	признать что	2	5
241	который в	2	5
242	сказать что	3	5
243	и от	6	5
244	что это	2	5
245	себя в	11	5
246	в мире	10	5
247	в первой	6	5
248	также в	2	5
249	за ним	3	5
250	т д	5	5
251	каждого из	3	5
252	к своему	2	5
253	раз в	5	5
254	отношениях с	2	5
255	именно в	9	5
256	что я	4	5
257	приводит к	5	5
258	он и	2	5
259	в это	4	5
260	со своей	3	5
261	жизни и	10	5
262	от нее	2	5
263	же самое	4	5
264	той же	3	5
265	но он	3	5
266	не о	3	4
267	чтобы не	3	4
268	нуждается в	2	4
269	в духе	6	4
270	по мнению	6	4
271	не столько	4	4
272	наконец в	2	4
273	по своей	5	4
274	художественного мышления	8	4
275	ничем не	3	4
276	тем как	2	4
277	все его	3	4
278	между ними	2	4
279	что же	4	4
280	же как	4	4
281	когда в	4	4
282	на кого	2	4
283	к числу	3	4
284	например в	3	4
285	в основе	3	4
286	в состоянии	3	4
287	одна из	4	4
288	первой половине	3	4
289	одно из	4	4
290	то и	5	4
291	нет ничего	4	4
292	в свои	2	4
293	у нее	10	4
294	я не	8	4
295	второй половине	2	4
296	бы не	3	4
297	него в	2	4
298	времени и	2	4
299	и другие	5	4
300	такой же	3	4
301	в пределах	4	4
302	нас в	2	4
303	том чтобы	2	4
304	не случайно	14	4
305	а то	2	4
306	прежде чем	2	4
307	их в	2	4
308	в городе	7	4
309	ближе к	2	4
310	перед ним	2	4
311	по его	4	4
312	все равно	2	4
313	не следует	2	4
314	как его	3	4
315	в себя	3	4
316	впрочем и	4	4
317	чем же	2	4
318	и потому	3	3
319	в каждой	2	3
320	больше не	3	3
321	путь к	2	3
322	всего лишь	7	3
323	от него	3	3
324	в одной	3	3
325	противоречие между	3	3
326	приходит к	3	3
327	при всей	3	3
328	действующего лица	2	3
329	сам не	2	3
330	не раз	2	3
331	с той	2	3
332	как к	4	3
333	для себя	9	3
334	а как	2	3
335	казалось бы	12	3
336	от своего	2	3
337	друг от	2	3
338	только на	6	3
339	из жизни	2	3
340	теперь же	4	3
341	своего времени	3	3
342	а его	3	3
343	а с	5	3
344	видно что	3	3
345	бы на	2	3
346	на месте	2	3
347	от этого	2	3
348	она не	6	3
349	к этой	4	3
350	ли в	2	3
351	они не	2	3
352	он в	2	3
353	его и	2	3
354	состоит в	8	3
355	на себе	3	3
356	в голову	3	3
357	этой связи	5	3
358	к своим	2	3
359	на них	2	3
360	в виде	2	3
361	в театре	4	3
362	с ними	3	3
363	и когда	4	3
364	представляют собой	2	3
365	принадлежит к	2	3
366	сам он	3	3
367	все еще	3	3
368	интерес к	5	3
369	см т	2	3
370	в рамках	2	3
371	они были	2	3
372	могла бы	2	3
373	но при	3	3
374	человека не	3	3
375	в город	2	3
376	ее на	3	3
377	в финале	5	3
378	это в	4	3
379	и эта	3	3
380	в лице	3	3
381	конечном счете	4	3
382	и уже	3	3
383	для своего	2	3
384	только для	4	3
385	как о	3	3
386	чем не	2	3
387	и внутренней	3	3
388	жизнь и	2	3
389	за ней	2	3
390	и более	2	3
391	не с	2	3
392	к людям	2	3
393	в самой	2	3
394	будто бы	6	3
395	соответствии с	2	3
396	по себе	3	3
397	по ее	2	3
398	высшей степени	2	3
399	не более	3	3
400	ему в	3	3
401	в таком	3	3
402	как на	2	3
403	в нашем	2	3
404	один и	2	3
405	о которой	3	3
406	этих двух	2	3
407	от друга	2	3
408	еще и	2	2
409	перед нами	13	2
410	отношения между	2	2
411	тем самым	2	2
412	не стал	2	2
413	эти люди	2	2
