N	2gram	Voloshinov	Problemy
1	и в	16	106
2	и не	4	90
3	как бы	5	70
4	может быть	17	66
5	в его	4	56
6	в этом	9	52
7	в нем	4	51
8	не может	8	49
9	что он	2	44
10	как и	2	44
11	но и	4	40
12	точки зрения	8	40
13	для него	6	39
14	и его	8	39
15	не только	7	36
16	то же	2	36
17	в пределах	2	35
18	то что	3	33
19	но в	4	33
20	прежде всего	9	32
21	все это	4	29
22	он не	2	29
23	и все	4	28
24	в одном	3	27
25	к себе	3	26
26	с точки	6	25
27	в самом	2	25
28	и с	8	25
29	самом деле	6	24
30	и на	4	23
31	таким образом	9	22
32	как мы	4	21
33	никогда не	2	20
34	только в	4	20
35	что в	3	19
36	с его	7	19
37	на самом	4	18
38	все эти	5	18
39	еще не	5	18
40	в том	3	17
41	так и	4	17
42	а в	3	17
43	и к	6	17
44	с ним	2	17
45	так же	2	16
46	в своей	2	16
47	этом смысле	3	16
48	и наконец	4	15
49	и для	2	15
50	у него	2	15
51	так как	4	14
52	его в	4	13
53	и это	6	13
54	большинстве случаев	3	13
55	себя и	2	13
56	с другими	3	13
57	в большинстве	3	13
58	том что	3	12
59	не знает	2	12
60	что и	2	12
61	при этом	6	12
62	было бы	2	12
63	во всяком	3	12
64	но это	2	12
65	за пределы	2	12
66	и даже	4	12
67	и как	3	12
68	не могут	2	11
69	сознания и	2	11
70	их в	3	11
71	мы уже	2	11
72	отношение к	5	10
73	в него	5	10
74	что не	2	10
75	самого начала	4	10
76	как не	2	10
77	до сих	3	10
78	сих пор	3	10
79	и потому	3	9
80	с самого	4	9
81	могут быть	3	9
82	в них	2	9
83	хотя бы	4	9
84	ни в	5	9
85	всяком случае	3	9
86	но как	2	8
87	его целом	2	8
88	и о	2	8
89	сознание и	5	8
90	нам кажется	2	8
91	с ними	4	8
92	не на	2	8
93	что это	2	8
94	с их	3	8
95	ни было	2	8
96	о том	2	8
97	и так	2	8
98	в этих	3	7
99	и др	3	7
100	только на	3	7
101	мира и	3	7
102	между ними	3	7
103	и ее	4	7
104	сказать что	7	7
105	кажется что	2	7
106	в жизни	2	7
107	мысли и	4	7
108	и их	4	7
109	во всех	3	7
110	не менее	2	6
111	и этим	2	6
112	во время	3	6
113	на них	2	6
114	но зато	2	6
115	для этого	2	6
116	с этим	2	6
117	в начале	2	6
118	и вот	3	6
119	но ведь	2	6
120	и пр	12	6
121	и только	9	6
122	в этой	4	6
123	на этом	3	6
124	жизни и	3	6
125	конечно не	6	6
126	в основе	3	6
127	отношения к	3	6
128	если б	3	5
129	крайней мере	3	5
130	есть и	2	5
131	ту сторону	5	5
132	со всеми	2	5
133	по своему	2	5
134	они не	2	5
135	в общем	3	5
136	того же	2	5
137	в чем	5	5
138	один из	2	5
139	мы не	2	5
140	те же	3	5
141	в мир	2	5
142	все то	2	5
143	совершенно не	8	5
144	между собою	2	5
145	по крайней	3	5
146	на протяжении	2	5
147	нет и	2	5
148	по ту	4	5
149	поэтому и	2	5
150	я и	6	5
151	художественного творчества	4	5
152	вместе с	3	5
153	и лишь	2	4
154	при всей	2	4
155	все и	2	4
156	в одно	2	4
157	что оно	2	4
158	этих трех	2	4
159	находится в	2	4
160	войти в	2	4
161	во всей	2	4
162	на два	2	4
163	с ее	4	4
164	с этой	2	4
165	друг на	2	4
166	вообще не	2	4
167	что такое	5	4
168	все что	4	4
169	оно не	2	4
170	не есть	2	4
171	и действительно	2	4
172	на друга	2	4
173	к другим	2	3
174	в основном	3	3
175	мы знаем	3	3
176	ненависть к	2	3
177	это последнее	2	3
178	что на	2	3
179	здесь же	2	3
180	почти не	2	3
181	между собой	2	3
182	нуждается в	5	3
183	совсем не	2	3
184	и по	2	3
185	можно сказать	4	3
186	ее в	2	3
187	мы видим	2	3
188	и вообще	2	3
189	и мы	2	3
190	только то	2	3
191	из этих	2	3
192	говорить о	2	3
193	а может	2	3
194	да еще	2	3
195	и есть	3	3
196	по всему	2	3
197	мы можем	9	3
198	из тех	2	3
199	есть в	2	3
200	если мы	2	3
201	сводится к	2	3
202	в один	4	3
203	ту же	2	3
204	можем сказать	2	2
205	к этому	2	2
206	оно и	2	2
207	и других	2	2
208	быть это	3	2
209	своей жизни	2	2
210	чем не	3	2
211	в душе	2	2
212	по сравнению	3	2
213	отнюдь не	4	2
214	с нею	2	2
215	и говорить	2	2
216	и художественного	3	2
217	же как	2	2
218	мир по	2	2
219	всю жизнь	2	2
220	и этот	2	2
221	в этот	2	2
222	все позволено	4	2
223	он ищет	2	2
224	для нас	2	2
225	всех его	2	2
226	только и	2	2
227	как с	2	2
228	и она	3	2
229	только как	3	2
230	но оно	3	2
231	с помощью	2	2
232	а потому	4	2
