N	4gram	Losev_Dial	VeschiIm
1	не что иное как	4	12
2	и т д и	3	11
3	д и т д	3	10
4	т д и т	3	10
5	есть не что иное	3	8
6	одно и то же	8	5
7	в то время как	2	4
8	в то же время	7	4
9	значит ли это что	2	4
10	ни в каком случае	5	4
11	то это значит что	2	3
12	и в то же	3	3
13	что это значит? это	2	2
14	это значит? это значит	2	2
15	значит? это значит что	2	2
16	по крайней мере в	3	2
17	в той или другой	3	2
18	никогда не есть только	2	2
19	с какой стороны не	4	2
20	или по крайней мере	2	2
21	в каком случае не	3	2
22	ни с какой стороны	5	2
