N	2gram	Tiupa_Anal	Psycholo
1	то что	11	193
2	и в	30	190
3	в том	36	163
4	что в	7	123
5	потому что	3	114
6	том что	21	113
7	и что	2	108
8	может быть	33	107
9	таким образом	5	102
10	в этом	31	100
11	то есть	19	97
12	в самом	12	82
13	как бы	15	80
14	для того	4	78
15	того чтобы	3	78
16	что он	3	76
17	не только	30	75
18	на то	2	73
19	и не	33	73
20	самом деле	3	70
21	и т	3	69
22	точки зрения	10	69
23	не может	26	68
24	так как	3	63
25	было бы	4	56
26	если бы	6	55
27	то же	12	54
28	о том	11	54
29	при этом	20	52
30	как и	23	51
31	что и	5	50
32	а не	25	50
33	заключается в	2	46
34	только в	8	46
35	в сущности	10	46
36	сказать что	2	46
37	по себе	6	46
38	в искусстве	2	45
39	к тому	12	45
40	не в	17	45
41	в этой	12	43
42	никогда не	4	42
43	и все	5	42
44	вместе с	6	41
45	как это	5	40
46	но и	29	40
47	при помощи	2	39
48	как раз	5	39
49	того что	5	39
50	т п	3	38
51	же самое	3	38
52	и как	6	36
53	вовсе не	4	34
54	и если	2	34
55	и его	9	34
56	что все	2	33
57	все же	4	33
58	тому что	2	33
59	все это	2	32
60	художественного произведения	6	32
61	в себе	17	32
62	же точно	2	32
63	в его	15	31
64	он не	4	31
65	никак не	2	30
66	как будто	6	30
67	как в	3	30
68	с одной	7	29
69	и для	3	29
70	искусства в	4	29
71	с точки	6	29
72	одной стороны	6	29
73	в нем	3	29
74	что мы	3	28
75	и то	4	28
76	в основе	6	27
77	с другой	7	27
78	а в	11	27
79	и на	10	27
80	так что	3	26
81	совершенно не	2	26
82	произведение искусства	9	26
83	в целом	9	24
84	художественное произведение	5	24
85	тем что	2	24
86	в своем	2	23
87	для этого	2	23
88	из этого	2	23
89	могут быть	12	23
90	один из	4	23
91	и даже	10	22
92	казалось бы	2	22
93	между тем	7	22
94	из них	2	22
95	всякий раз	3	22
96	в своей	7	21
97	как мы	3	21
98	в конце	4	21
99	том чтобы	7	21
100	ни в	5	21
101	в котором	5	21
102	той же	4	21
103	в двух	4	21
104	все эти	3	20
105	в то	10	20
106	тот же	2	20
107	это не	7	20
108	дело с	5	20
109	несмотря на	5	20
110	мы имеем	9	20
111	другой стороны	2	20
112	на этом	4	20
113	мы должны	2	19
114	в ее	2	19
115	в какой	3	19
116	у него	5	19
117	в одном	3	19
118	мы уже	2	19
119	на самом	2	18
120	но в	11	18
121	но не	13	18
122	в которой	3	18
123	с этой	2	18
124	вслед за	3	18
125	есть не	9	18
126	и есть	3	18
127	в виду	2	17
128	иначе говоря	17	17
129	только не	6	17
130	из этих	2	17
131	и о	3	17
132	так и	16	16
133	тому как	5	16
134	сводится к	6	16
135	говорит о	5	16
136	и к	5	16
137	и тем	4	16
138	из которых	4	16
139	обратиться к	4	16
140	к этому	2	16
141	в таком	5	16
142	и потому	2	15
143	могли бы	2	15
144	как говорит	3	15
145	еще не	5	15
146	не могут	3	15
147	далеко не	6	15
148	на примере	3	15
149	что именно	2	15
150	только на	3	15
151	в частности	32	15
152	во всех	5	15
153	в результате	3	15
154	для него	5	15
155	не просто	2	15
156	что на	3	14
157	с той	2	14
158	это только	2	14
159	в художественном	4	14
160	хотя бы	4	14
161	столь же	7	14
162	с ним	6	14
163	прежде всего	8	14
164	в области	4	14
165	при таком	2	14
166	бы в	3	14
167	этом отношении	5	14
168	такой же	3	14
169	те же	3	14
170	или в	2	14
171	как он	4	13
172	а с	3	13
173	речь идет	2	13
174	именно в	6	13
175	отнюдь не	22	13
176	едва ли	4	13
177	со стороны	5	13
178	могла бы	3	13
179	в той	8	13
180	состоит в	16	12
181	того же	7	12
182	в этих	3	12
183	в рассказе	2	12
184	может служить	3	12
185	ничего не	10	12
186	не менее	5	12
187	этой точки	2	12
188	тогда когда	3	12
189	в поэзии	2	12
190	что не	3	12
191	и до	3	12
192	я не	2	12
193	в конечном	6	12
194	и с	2	12
195	как к	2	11
196	отличие от	8	11
197	так например	2	11
198	подобно тому	5	11
199	и заключается	2	11
200	исходя из	5	11
201	не будет	3	11
202	этого слова	10	11
203	думать что	2	11
204	искусство и	2	11
205	его в	2	11
206	по поводу	4	11
207	на все	2	11
208	была бы	4	11
209	но мы	2	11
210	с его	3	11
211	на это	2	11
212	конечном счете	5	11
213	есть в	4	11
214	на этот	2	11
215	данном случае	3	10
216	от него	2	10
217	в другом	4	10
218	что ни	2	10
219	не так	3	10
220	том и	2	10
221	отличается от	3	10
222	не является	3	10
223	и их	2	10
224	в их	8	10
225	в данном	6	10
226	должно быть	2	10
227	смысл и	3	10
228	сами по	3	10
229	ее в	2	10
230	тому же	6	10
231	бы не	3	9
232	вопрос о	2	9
233	тем самым	9	9
234	в силу	4	9
235	который не	2	9
236	и та	2	9
237	на его	4	9
238	и по	2	9
239	внимание на	3	9
240	на него	3	9
241	мысль о	2	9
242	и наконец	2	9
243	не есть	8	9
244	должен быть	6	9
245	роль в	3	9
246	в действительности	2	9
247	о чем	3	9
248	в чем	2	9
249	ответ на	3	9
250	что даже	2	9
251	можно сказать	6	9
252	из его	2	9
253	с ее	2	9
254	его и	3	9
255	в отличие	8	9
256	по его	2	9
257	не к	3	9
258	в процессе	2	8
259	и составляет	2	8
260	из того	5	8
261	и другими	2	8
262	что же	3	8
263	и во	3	8
264	одно и	2	8
265	в такой	2	8
266	и тот	2	8
267	искусство в	2	8
268	и более	5	8
269	в сознании	6	8
270	художественного творчества	2	8
271	в собственном	3	8
272	он может	2	8
273	о нем	4	8
274	в произведении	7	8
275	с другом	2	8
276	он в	5	8
277	место в	3	8
278	по преимуществу	4	8
279	в драме	2	8
280	к нему	4	8
281	друг с	2	8
282	будто бы	4	8
283	этом смысле	3	8
284	произведения искусства	3	8
285	здесь совершенно	2	8
286	искусства является	2	7
287	она есть	2	7
288	в полном	2	7
289	не как	2	7
290	и эти	2	7
291	себе не	2	7
292	от себя	4	7
293	для чего	2	7
294	одно из	2	7
295	к самому	2	7
296	здесь в	2	7
297	связи с	2	7
298	того или	3	7
299	себя и	5	7
300	за ним	2	7
301	все что	3	7
302	представляет собой	23	7
303	в нашем	3	7
304	а как	4	7
305	и те	2	7
306	в качестве	38	7
307	имеет место	6	7
308	но при	2	7
309	времени и	7	7
310	совпадает с	6	7
311	взгляд на	2	7
312	в отношении	2	6
313	для нее	2	6
314	отношение к	2	6
315	для художественного	2	6
316	события в	2	6
317	за пределы	6	6
318	того и	5	6
319	не все	3	6
320	тем не	3	6
321	иное как	6	6
322	что как	3	6
323	что иное	6	6
324	в себя	8	6
325	или менее	2	6
326	в сторону	6	6
327	даже в	5	6
328	которые в	3	6
329	нуждается в	9	6
330	не что	5	6
331	каждый из	3	6
332	только с	2	6
333	и просто	2	6
334	и другого	4	6
335	о его	5	6
336	он был	3	6
337	да и	2	6
338	событий и	2	6
339	или иного	3	6
340	то и	2	6
341	независимо от	2	6
342	х годов	2	6
343	всех этих	2	6
344	никто не	3	6
345	в новелле	4	6
346	одного и	2	6
347	мы узнаем	2	6
348	что касается	4	6
349	творческий акт	2	6
350	более или	2	6
351	уже не	6	6
352	к его	3	6
353	приводит к	2	6
354	говорить о	3	6
355	только одно	2	6
356	жизни но	3	6
357	одного из	4	5
358	у читателя	2	5
359	это означает	3	5
360	нас к	2	5
361	все равно	2	5
362	том же	2	5
363	в один	4	5
364	на вопрос	5	5
365	произведении искусства	3	5
366	между собой	2	5
367	в известном	2	5
368	а затем	3	5
369	если в	3	5
370	смысла и	3	5
371	то в	2	5
372	и является	4	5
373	все они	2	5
374	только для	3	5
375	не мог	3	5
376	и наоборот	3	5
377	слов и	2	5
378	таком случае	5	5
379	не следует	6	5
380	не знает	4	5
381	бы то	3	5
382	его к	3	5
383	с двумя	2	5
384	или не	2	5
385	тем как	2	5
386	в романе	2	5
387	нам не	2	5
388	и больше	2	5
389	по выражению	4	5
390	следует понимать	2	5
391	представляют собой	4	5
392	хотя и	4	5
393	себя в	8	5
394	дело не	5	5
395	в словах	2	5
396	произведения с	2	5
397	и сам	4	5
398	она может	3	5
399	нет и	2	5
400	а то	3	5
401	оно может	3	5
402	в эту	3	5
403	однако не	4	5
404	и тогда	3	5
405	отношения к	4	5
406	быть не	3	5
407	и за	3	5
408	вплоть до	2	4
409	к другим	2	4
410	также и	3	4
411	от своего	3	4
412	к своему	2	4
413	на место	3	4
414	может и	2	4
415	должна была	2	4
416	означает что	3	4
417	однако в	4	4
418	ли он	3	4
419	в первом	3	4
420	который в	3	4
421	не с	8	4
422	зависимость от	2	4
423	в речи	3	4
424	строго говоря	3	4
425	если не	2	4
426	и того	5	4
427	но к	3	4
428	случае в	2	4
429	по отношению	10	4
430	говоря о	2	4
431	не остается	2	4
432	эстетический объект	6	4
433	что может	2	4
434	его от	3	4
435	художественного впечатления	24	4
436	борьбу с	2	4
437	не имея	2	4
438	в ритме	2	4
439	в состав	3	4
440	здесь не	2	4
441	может не	2	4
442	с ними	2	4
443	и смерти	4	4
444	в связи	2	4
445	в первой	2	4
446	это еще	2	4
447	произведения как	8	4
448	одной из	2	4
449	в противоположность	4	4
450	он прав	3	4
451	человек и	2	4
452	в пределах	11	4
453	в мире	14	4
454	автора и	4	4
455	стало быть	2	4
456	не могу	2	4
457	же время	7	4
458	основе своей	2	4
459	душевной жизни	3	3
460	не о	3	3
461	ни о	3	3
462	все прочие	3	3
463	одним из	3	3
464	ни было	4	3
465	для себя	3	3
466	вообще и	2	3
467	или ином	4	3
468	ни одно	2	3
469	в полной	3	3
470	же не	3	3
471	между двумя	7	3
472	следует что	2	3
473	в центре	3	3
474	из виду	3	3
475	и состоит	5	3
476	а также	8	3
477	ним и	2	3
478	на котором	3	3
479	какой бы	2	3
480	создания и	2	3
481	бы быть	3	3
482	его как	3	3
483	литературном произведении	2	3
484	творчества и	2	3
485	превращается в	3	3
486	то он	3	3
487	при рассмотрении	4	3
488	одни и	2	3
489	отношения между	2	3
490	личности и	3	3
491	еще в	4	3
492	со своей	2	3
493	теми же	2	3
494	не более	4	3
495	бы с	2	3
496	же мере	2	3
497	вступает в	4	3
498	в ответ	2	3
499	вопроса о	4	3
500	такого рода	6	3
501	даже не	2	3
502	героя в	2	3
503	и восприятия	2	3
504	как известно	4	3
505	к игре	5	3
506	мере в	4	3
507	ко всем	2	3
508	не любит	4	3
509	речи и	2	3
510	не понимаю	2	3
511	всех прочих	2	3
512	определенным образом	2	3
513	нет ничего	2	3
514	быть может	2	3
515	в сюжете	2	3
516	том или	4	3
517	смысл его	3	3
518	тем более	2	3
519	случае не	2	3
520	этом случае	4	3
521	в которую	2	3
522	оно в	2	3
523	а напротив	3	3
524	с другими	4	3
525	в восприятии	2	3
526	бы ни	2	3
527	собой в	2	3
528	перед собой	2	3
529	на которую	2	3
530	эстетическое переживание	4	3
531	не столько	5	3
532	отношению к	9	3
533	ясно говорит	2	3
534	романа в	4	3
535	или иначе	2	3
536	он и	3	3
537	то ни	3	3
538	имеем дело	7	3
539	узнает о	2	3
540	в игре	7	3
541	на основе	3	3
542	с другим	5	2
543	во времени	6	2
544	для человека	2	2
545	и процессы	2	2
546	случае это	2	2
547	другого как	2	2
548	и эстетики	2	2
549	это как	2	2
550	всего в	3	2
551	которое дает	2	2
552	не являются	2	2
553	рассказ о	3	2
554	как уже	5	2
555	на этой	2	2
556	взгляде на	3	2
557	о ком	2	2
558	времени в	4	2
559	которая в	3	2
560	представляет собою	2	2
561	произведение в	2	2
562	тому или	2	2
563	композиции как	2	2
564	в борьбе	2	2
565	быть признано	2	2
566	в данный	2	2
567	из четырех	2	2
568	во внешнем	4	2
569	других людей	2	2
570	эстетического объекта	11	2
571	первом случае	2	2
572	литературного произведения	50	2
573	читателя в	3	2
574	не знаю	2	2
575	деле в	2	2
576	в любом	4	2
577	на каждом	2	2
578	или иному	2	2
579	художественного восприятия	9	2
580	понимать как	3	2
581	по крайней	4	2
582	с целью	2	2
583	вообще не	2	2
584	это была	2	2
585	или иных	3	2
586	не вполне	2	2
587	на которой	2	2
588	автором в	2	2
589	качестве своего	2	2
590	мы вынуждены	2	2
591	остается ничего	2	2
592	или иной	8	2
593	крайней мере	4	2
594	при взгляде	2	2
595	по своей	6	2
596	не был	2	2
597	что из	2	2
598	и т.д	4	2
599	ведь это	2	2
600	со своим	4	2
601	нам представляется	2	2
602	тут же	2	2
603	не всегда	4	2
604	игры и	4	2
605	в свое	3	2
606	истории литературы	4	2
607	как предмет	4	2
608	говоря и	3	2
609	воли и	4	2
610	той или	8	2
611	не приходится	2	2
612	тех или	3	2
613	в литературном	2	2
614	в начале	3	2
615	самого произведения	2	2
616	и представляет	4	2
617	из своих	2	2
618	именно здесь	2	2
619	и одновременно	4	2
620	природе своей	3	2
621	повествования и	3	2
622	о себе	2	2
623	как о	2	2
624	вследствие этого	5	2
625	ведет к	3	2
626	полной мере	3	2
627	не означает	2	2
628	себя к	2	2
629	литературное произведение	12	2
630	на протяжении	2	2
631	ничто не	2	2
632	в литературе	4	2
633	читателя не	4	2
634	об искусстве	2	2
635	более чем	4	2
636	не говорит	2	2
637	данный момент	2	2
638	автора или	2	2
639	и читателя	4	2
640	не оставляет	2	2
641	первой части	2	2
642	как система	6	2
643	и сами	2	2
