N	2gram	Medvedev_U	NovoeSre
1	а не	10	17
2	и в	14	16
3	не может	7	16
4	и не	8	11
5	в том	2	8
6	может быть	6	7
7	как и	3	7
8	в этом	7	7
9	не в	2	6
10	но это	2	6
11	с его	2	6
12	не только	10	5
13	все это	5	5
14	и для	2	4
15	прежде всего	8	4
16	перестает быть	5	4
17	то что	7	4
18	это не	3	4
19	но и	4	3
20	с другой	4	3
21	в россии	4	3
22	что такое	4	3
23	в своей	3	3
24	должна быть	2	3
25	конечно не	4	3
26	не есть	2	3
27	это было	2	3
28	в себе	2	2
29	что она	2	2
30	все они	2	2
31	и с	2	2
32	формы и	2	2
33	для этого	3	2
34	но не	2	2
35	что все	2	2
36	хотя бы	5	2
37	но в	3	2
38	том что	2	2
39	мы не	2	2
40	вот почему	7	2
41	по существу	2	2
42	другой стороны	3	2
43	могут быть	2	2
44	в то	3	2
45	этом смысле	2	2
46	и формы	3	2
