N	2gram	Bakhtin_Fr	Otkroven
1	у него	13	22
2	и в	73	19
3	но и	15	13
4	и не	13	13
5	в этом	21	12
6	не только	11	11
7	человека в	3	11
8	не в	12	11
9	а не	2	11
10	может быть	5	11
11	и все	19	10
12	человека и	3	10
13	в нем	18	10
14	никогда не	6	9
15	к человеку	2	9
16	потому что	9	9
17	в человеке	2	9
18	не было	4	9
19	прежде всего	18	9
20	и он	4	8
21	он был	7	8
22	лишь в	2	7
23	в его	18	7
24	до конца	5	7
25	от него	3	7
26	он не	4	7
27	но он	8	7
28	как и	19	6
29	все это	19	6
30	для него	7	5
31	а в	10	5
32	в том	13	5
33	него в	2	5
34	в самом	9	5
35	то что	12	5
36	в этой	18	5
37	отношение к	3	5
38	и его	18	4
39	что в	14	4
40	он сам	4	4
41	только и	2	4
42	того чтобы	2	4
43	все эти	24	4
44	на земле	5	4
45	него и	2	4
46	не может	4	4
47	с его	5	4
48	в себе	16	3
49	и от	10	3
50	о том	13	3
51	это не	7	3
52	к нему	7	3
53	не могут	3	3
54	что он	8	3
55	и вот	3	3
56	было бы	5	3
57	еще не	3	3
58	и есть	3	3
59	все что	5	3
60	в этих	6	3
61	и ее	2	3
62	никто не	11	3
63	как бы	15	3
64	это было	4	3
65	с ним	6	3
66	мысли и	3	3
67	того что	5	3
68	одно из	2	2
69	и то	3	2
70	сказать что	4	2
71	и на	12	2
72	с тем	2	2
73	уже в	9	2
74	и для	8	2
75	совсем не	3	2
76	у кого	3	2
77	что все	3	2
78	не имеет	4	2
79	ничего не	4	2
80	в человеческом	3	2
81	и с	17	2
82	что и	6	2
83	и потому	6	2
84	в ее	6	2
85	вместо того	2	2
86	в других	2	2
87	в своем	13	2
88	и этим	2	2
89	тем что	8	2
90	но в	12	2
91	том что	8	2
92	природы и	3	2
93	все же	2	2
94	в своей	4	2
95	он в	2	2
96	ведь это	3	2
97	так как	9	2
98	по себе	2	2
99	что у	3	2
100	что они	2	2
101	в истории	3	2
102	так что	2	2
103	легенда о	2	2
104	в глубь	2	2
105	должно быть	4	2
106	и о	2	2
107	не есть	2	2
108	и нет	2	2
109	к этому	5	2
110	и к	6	2
111	так и	13	2
112	и очень	2	2
113	в которой	3	2
114	хотя и	5	2
115	и из	2	2
116	момент в	4	2
117	всего в	5	2
118	учение о	2	2
119	в другом	4	2
120	что есть	2	2
121	движение в	8	2
122	его в	3	2
