N	3gram	Vygotskiy_	DiskursI
1	в том что	21	28
2	в отличие от	4	26
3	с одной стороны	6	14
4	не может быть	14	12
5	то же время	2	10
6	о том что	9	9
7	в то же	2	8
8	в этом отношении	7	8
9	состоит в том	3	8
10	как и в	5	7
11	так и в	2	6
12	в основе своей	2	6
13	с точки зрения	12	6
14	в конечном счете	6	6
15	то же самое	8	5
16	подобно тому как	7	5
17	с другой стороны	7	5
18	в свою очередь	3	5
19	тем не менее	6	4
20	не в том	7	4
21	можно сказать что	2	4
22	и не может	2	4
23	то есть в	2	3
24	и в частности	2	3
25	в том случае	3	3
26	более или менее	3	3
27	во всяком случае	7	3
28	как будто бы	2	3
29	бы то ни	2	2
30	он не может	3	2
31	сами по себе	4	2
32	и той же	5	2
33	все то что	3	2
34	тем или иным	2	2
35	том случае если	2	2
36	заключает в себе	3	2
37	и в том	2	2
38	в том и	4	2
39	одной и той	5	2
40	при этом как	2	2
41	только то что	2	2
42	едва ли не	2	2
43	только в том	4	2
44	то что и	2	2
45	по себе не	3	2
46	в одном из	2	2
47	то есть к	2	2
48	а в том	2	2
49	и то что	3	2
50	в том чтобы	9	2
