N	3gram	Losev_Prob	Marksizm
1	с точки зрения	9	46
2	не может быть	5	25
3	в то же	10	15
4	в связи с	9	14
5	в том что	17	14
6	бы то ни	5	12
7	то ни было	4	12
8	для того чтобы	4	11
9	до сих пор	4	11
10	в отличие от	2	10
11	то же самое	17	8
12	может быть и	3	8
13	в настоящее время	4	8
14	с другой стороны	11	7
15	во всяком случае	8	6
16	на самом деле	5	6
17	если бы он	2	6
18	на то что	2	6
19	с одной стороны	2	6
20	той или иной	16	5
21	как мы видели	2	5
22	и как бы	2	5
23	в таком случае	7	5
24	в этом случае	8	5
25	на самом же	7	5
26	отнюдь не является	3	5
27	самом же деле	7	5
28	и прежде всего	3	4
29	и здесь мы	2	4
30	том что он	2	4
31	можно сказать что	2	4
32	о том что	8	4
33	как мы сказали	2	4
34	у нас не	2	4
35	в зависимости от	3	4
36	и то же	5	3
37	тем не менее	23	3
38	и не в	2	3
39	более или менее	2	3
40	на первый план	3	3
41	в ту или	2	3
42	мы ни взяли	2	3
43	в конце концов	4	3
44	мы не будем	3	3
45	можно было бы	6	3
46	одно и то	4	3
47	вовсе не является	4	3
48	не только в	2	3
49	но и в	2	3
50	хотя бы и	2	3
51	не было бы	3	3
52	и в этом	6	3
53	в той или	7	3
54	по крайней мере	9	2
55	само по себе	5	2
56	же как и	4	2
57	в чем же	2	2
58	так и в	2	2
59	так же как	3	2
60	ничего общего с	2	2
61	и в других	2	2
62	в данном случае	12	2
63	в том или	2	2
64	что он не	2	2
65	как и в	2	2
66	сами по себе	8	2
67	сама по себе	11	2
68	тот или иной	4	2
69	друг от друга	3	2
70	прав в том	2	2
71	если мы скажем	2	2
72	себе отчет в	2	2
73	ту или иную	3	2
74	том или ином	3	2
75	так или иначе	2	2
76	есть прежде всего	3	2
77	в этом смысле	5	2
78	только в пределах	2	2
79	того или иного	5	2
80	это и есть	3	2
81	если мы возьмем	4	2
