N	3gram	Tiupa_Narr	Vvedenie
1	для того чтобы	4	22
2	в том что	11	15
3	о том что	3	13
4	не может быть	6	10
5	тем не менее	6	9
6	до сих пор	3	7
7	в то же	7	6
8	в самом деле	3	6
9	то же время	7	6
10	во всяком случае	2	5
11	и т п	2	5
12	не только в	12	4
13	в данном случае	12	4
14	в этом отношении	5	4
15	с одной стороны	5	4
16	по отношению к	5	4
17	в отличие от	6	4
18	с точки зрения	2	4
19	в известном смысле	4	3
20	то же самое	3	3
21	той или иной	6	3
22	в зависимости от	3	3
23	можно сказать что	5	3
24	дело в том	2	3
25	одно и то	2	2
26	и то же	2	2
27	тем или иным	2	2
28	состоит в том	5	2
29	подобно тому как	4	2
30	в первом случае	3	2
31	в соответствии с	7	2
32	обратим внимание на	2	2
33	и того же	2	2
34	точно так же	2	2
35	одного и того	2	2
36	в центре внимания	2	2
37	в связи с	3	2
38	в свою очередь	2	2
