N	2gram	Vygotskiy_	Sotsiolo
1	все это	5	7
2	в том	38	5
3	в этом	47	5
4	для нас	4	3
5	не только	36	3
6	и только	7	3
7	в его	7	3
8	не в	7	3
9	и в	47	3
10	это и	7	2
11	она может	2	2
12	отношению к	9	2
13	по отношению	10	2
14	еще не	5	2
15	по природе	2	2
16	только в	24	2
17	что в	23	2
18	в частности	4	2
19	том что	28	2
20	было бы	12	2
21	таким образом	38	2
22	в смысле	9	2
23	то же	16	2
24	только как	2	2
25	и что	14	2
26	к которому	3	2
27	нужно было	4	2
28	исторического развития	3	2
29	то что	40	2
30	и заключается	3	2
31	как бы	13	2
32	но и	19	2
33	очевидно что	6	2
34	в конце	5	2
35	за пределы	2	2
36	может быть	20	2
37	по существу	2	2
38	в результате	3	2
39	ведь это	2	2
