N	3gram	Vygotskiy_	EvropaiC
1	в том что	41	16
2	до сих пор	3	15
3	по отношению к	3	11
4	друг с другом	10	9
5	более или менее	3	8
6	с точки зрения	11	8
7	для того чтобы	14	7
8	на то что	5	7
9	друг от друга	2	6
10	мы говорили выше	2	6
11	по сравнению с	4	5
12	в самом деле	4	5
13	том случае если	2	4
14	в своем развитии	3	4
15	в том случае	2	4
16	тем не менее	6	4
17	тот факт что	7	4
18	с другой стороны	5	4
19	в этом случае	4	4
20	в этой области	2	4
21	о том что	3	4
22	совершенно так же	2	4
23	не может быть	5	4
24	вместе с тем	11	3
25	так же как	9	3
26	и того же	5	3
27	одного и того	5	3
28	все же не	2	3
29	в связи с	8	3
30	заключается в том	18	3
31	и то что	3	3
32	таким же образом	2	2
33	ничего общего с	2	2
34	с одной стороны	8	2
35	заключает в себе	3	2
36	во всяком случае	10	2
37	в то время	5	2
38	в том виде	4	2
39	но так как	2	2
40	а с другой	4	2
41	как и в	3	2
42	в высшей степени	11	2
43	принять во внимание	2	2
44	в свою очередь	3	2
45	друг на друга	3	2
