N	3gram	Bakhtin_sl	Morfolog
1	и т д	7	60
2	в этом случае	4	10
3	не может быть	11	9
4	в связи с	2	9
5	по отношению к	2	7
6	с точки зрения	11	6
7	тем не менее	2	6
8	а также и	3	5
9	с другой стороны	5	5
10	в том что	4	4
11	к тому что	2	4
12	не могут быть	3	4
13	о том что	2	3
14	то время как	2	3
15	в то время	2	3
16	как и в	2	3
17	в большинстве случаев	11	3
18	в первом случае	2	3
19	в собственном смысле	2	3
20	это не значит	2	2
21	во всяком случае	7	2
22	в данном случае	3	2
23	более или менее	5	2
24	в этом отношении	2	2
25	тем и другим	2	2
26	может быть и	2	2
27	а вовсе не	4	2
28	можно было бы	2	2
29	с одной стороны	7	2
