N	3gram	Bakhtin_Fr	Narrotol
1	в том что	2	18
2	в данном случае	3	17
3	не только в	3	13
4	по отношению к	2	11
5	в отличие от	3	11
6	о том что	3	9
7	в то же	13	8
8	той или иной	2	8
9	в этом отношении	4	8
10	то же время	13	8
11	не может быть	2	8
12	можно сказать что	2	6
13	с одной стороны	4	6
14	на самом деле	5	5
15	подобно тому как	2	5
16	для того чтобы	5	5
17	но и в	4	5
18	в свою очередь	2	5
19	во всяком случае	2	4
20	в связи с	5	3
21	с точки зрения	4	3
22	как раз в	3	3
23	а также и	4	3
24	до сих пор	6	3
25	дело в том	2	3
26	все то что	2	2
27	но все же	2	2
28	можно было бы	2	2
29	так и по	2	2
30	и в то	2	2
31	в той или	2	2
