N	2gram	Vinokur_Ku	VelikijI
1	и не	23	20
2	и в	44	16
3	так как	16	9
4	то что	14	9
5	еще не	10	8
6	в истории	3	8
7	и потому	6	7
8	что они	5	7
9	а не	17	7
10	не есть	4	6
11	как бы	11	5
12	на себя	3	5
13	но и	13	5
14	все это	10	5
15	по пути	2	5
16	хотя и	7	5
17	того что	11	5
18	что все	6	4
19	в силах	2	4
20	и все	4	4
21	как и	3	4
22	в котором	4	4
23	потому что	40	4
24	в нем	7	4
25	в ней	6	4
26	что не	10	4
27	что мы	6	4
28	в его	16	4
29	говорить о	5	4
30	в этом	31	4
31	что он	7	4
32	и есть	3	4
33	так и	10	4
34	никогда не	2	3
35	превращается в	4	3
36	что в	25	3
37	в том	47	3
38	и для	3	3
39	от этого	4	3
40	не имеет	6	3
41	тому что	3	3
42	но в	11	3
43	к тому	8	3
44	любовь к	2	3
45	ни в	3	3
46	то это	3	3
47	но это	4	3
48	бы и	6	3
49	должно быть	6	3
50	оно не	5	3
51	хотя бы	19	3
52	в своей	4	3
53	в конце	5	3
54	и против	2	3
55	в них	10	3
56	как не	4	3
57	в первый	2	3
58	что и	5	3
59	и мы	2	3
60	не было	6	3
61	лишь в	6	3
62	если не	4	3
63	и что	11	3
64	не в	18	3
65	все эти	17	3
66	в этих	5	3
67	что я	4	3
68	должна быть	6	3
69	в чем	2	3
70	тот же	7	3
71	с его	4	3
72	когда в	4	2
73	под этим	2	2
74	и то	7	2
75	с тем	5	2
76	да и	5	2
77	не так	2	2
78	но не	11	2
79	что их	2	2
80	и это	3	2
81	это не	13	2
82	ее в	2	2
83	не только	29	2
84	не могут	5	2
85	а в	7	2
86	том что	30	2
87	на том	4	2
88	его к	5	2
89	во всяком	8	2
90	и тогда	4	2
91	уже не	13	2
92	материалом для	2	2
93	могут быть	5	2
94	в духе	3	2
95	в последнем	2	2
96	один из	8	2
97	т д	21	2
98	давно уже	2	2
99	для них	2	2
100	что теперь	2	2
101	того чтобы	25	2
102	тем что	9	2
103	конечно не	3	2
104	что было	2	2
105	можно было	14	2
106	уже на	3	2
107	это все	2	2
108	только в	15	2
109	до того	2	2
110	в форме	3	2
111	все равно	4	2
112	для нас	6	2
113	в себя	2	2
114	прежде всего	14	2
115	и т	62	2
116	с ним	5	2
117	всего в	2	2
118	между тем	11	2
119	а с	3	2
120	для него	2	2
121	не с	4	2
