N	4gram	Tiupa_Hudo	TeoriaLi
1	в то же время	7	8
2	присутствия я в мире	5	6
3	состоит в том что	4	5
4	одного и того же	3	4
5	того или иного жанра	3	3
6	не следует смешивать с	3	3
7	имеем в виду не	3	3
8	это отношение знака к	3	3
9	сближение но не слияние	3	3
10	в виду не только	3	3
11	мы имеем в виду	3	3
12	в целую панораму слов	2	2
13	пушкина что в имени	2	2
14	совокупность факторов художественного впечатления	2	2
15	приводит к тому что	2	2
16	даль и сближение но	2	2
17	как совокупность факторов художественного	2	2
18	более не сводится к	2	2
19	случае не следует смешивать	2	2
20	коем случае не следует	2	2
21	стихотворении пушкина что в	2	2
22	что в имени тебе	2	2
23	как элемента эстетической реальности	2	2
24	в коем случае не	2	2
25	объективной предпосылкой эстетического отношения	2	2
26	произведение искусства более не	2	2
27	в войне и мире	2	2
28	во всех подобных случаях	2	2
29	эстетическое отношение представляет собой	2	2
30	и не могло быть	2	2
31	бы то ни было	2	2
32	и сближение но не	2	2
33	в отношении обратного параллелизма	2	2
34	предполагает способность знака к	2	2
35	и позволяет говорить о	2	2
36	и в самом деле	2	2
37	расположилось в порядке образующем	2	2
38	необходимы предпосылки двоякого рода	2	2
39	в силу своей принципиальной	2	2
40	преодолеваемая даль и сближение	2	2
41	слове о полку игореве	2	2
42	он тем не менее	2	2
43	читателя в читателя концепированного	2	2
44	с другими знаками чем	2	2
45	одно и то же	3	2
46	автор относится как к	2	2
47	или иной строй эстетической	2	2
48	то чему нельзя научиться	2	2
49	все расположилось в порядке	2	2
50	тот или иной строй	2	2
51	по отношению к герою	2	2
52	процесс превращения реального читателя	2	2
53	субъект художественной деятельности в	2	2
54	реального читателя в читателя	2	2
55	с этой точки зрения	2	2
56	художественной культуры новейшего времени	2	2
57	в том числе и	2	2
58	искусства более не сводится	2	2
59	текст как совокупность факторов	2	2
60	и в то же	2	2
61	в слове о полку	2	2
62	в том что он	2	2
63	художественной деятельности в рамках	2	2
64	ни в коем случае	2	2
65	превращения реального читателя в	2	2
