N	2gram	Tiupa_Narr	EvropaiC
1	таким образом	5	34
2	в том	20	31
3	и в	22	24
4	том что	15	20
5	все эти	3	19
6	не может	16	18
7	то что	14	18
8	может быть	24	17
9	до сих	3	15
10	все же	10	15
11	сих пор	3	15
12	точки зрения	8	14
13	в этом	23	13
14	в своем	7	12
15	самом деле	4	12
16	между тем	5	12
17	по отношению	5	11
18	но и	39	11
19	отношению к	5	11
20	не только	50	10
21	так и	12	10
22	во всех	2	10
23	как и	15	10
24	все что	4	10
25	как бы	11	10
26	в результате	4	9
27	и не	34	9
28	не в	12	9
29	что в	6	9
30	и все	7	9
31	на то	4	9
32	того же	2	9
33	потому что	7	9
34	при этом	31	9
35	так же	2	8
36	из этих	6	8
37	или менее	2	8
38	если бы	9	8
39	для того	4	8
40	к тому	13	8
41	более или	2	8
42	в самом	8	8
43	того чтобы	7	8
44	с точки	2	8
45	ясно что	2	8
46	в сознании	6	7
47	в силу	5	7
48	по своей	3	7
49	что он	7	7
50	того что	7	7
51	о котором	4	7
52	не менее	6	7
53	о том	5	7
54	что и	3	7
55	в этой	8	7
56	вместе с	3	7
57	в мире	8	6
58	только в	23	6
59	еще не	6	6
60	что касается	3	6
61	в то	9	6
62	должна быть	2	6
63	и для	4	6
64	с другой	6	6
65	и на	5	6
66	мы можем	2	6
67	начало и	3	6
68	тогда как	23	6
69	что с	2	6
70	как на	2	6
71	тому же	9	6
72	с ним	6	6
73	и от	3	5
74	в себе	14	5
75	к этому	2	5
76	в которой	2	5
77	как к	3	5
78	лишь в	3	5
79	из них	4	5
80	что это	4	5
81	по своему	3	5
82	у него	13	5
83	далеко не	6	5
84	но в	10	5
85	столь же	6	5
86	именно в	5	5
87	или иначе	2	5
88	а потому	2	5
89	и с	3	5
90	и к	7	5
91	другой стороны	2	5
92	в целом	5	5
93	не будет	2	5
94	между двумя	6	5
95	в его	12	5
96	как будто	4	5
97	быть и	3	5
98	никогда не	8	4
99	и то	3	4
100	хотя бы	4	4
101	тем не	7	4
102	в конце	4	4
103	отношение к	2	4
104	и у	4	4
105	и т.д	7	4
106	иначе говоря	14	4
107	та же	2	4
108	то же	12	4
109	в области	4	4
110	а с	2	4
111	одним из	2	4
112	в виде	2	4
113	то они	3	4
114	между собой	3	4
115	и конец	3	4
116	что мы	2	4
117	связи с	3	4
118	в таком	4	4
119	он не	8	4
120	хотя и	8	4
121	данном случае	12	3
122	тем самым	9	3
123	это не	6	3
124	и потому	2	3
125	не подлежит	3	3
126	в начале	4	3
127	тем более	2	3
128	каждый из	3	3
129	бы в	2	3
130	даже если	2	3
131	только что	4	3
132	с этой	3	3
133	в этих	3	3
134	в связи	3	3
135	и наконец	2	3
136	одного и	2	3
137	за ними	3	3
138	как у	6	3
139	у нас	4	3
140	прежде всего	7	3
141	отличие от	6	3
142	с одной	5	3
143	как известно	3	3
144	одно из	2	3
145	в жизни	9	3
146	но не	7	3
147	в данном	17	3
148	а в	19	3
149	может служить	5	3
150	не вполне	3	3
151	в нем	9	3
152	освободиться от	2	3
153	в ней	5	3
154	для нас	2	3
155	можно назвать	2	3
156	было бы	2	3
157	и по	3	3
158	если же	2	3
159	в нашем	4	3
160	как для	2	3
161	же как	2	3
162	и того	5	3
163	как мы	3	3
164	двух или	4	3
165	одна из	5	2
166	то в	4	2
167	то и	3	2
168	они могут	2	2
169	в процессе	2	2
170	но как	3	2
171	а к	3	2
172	к двум	2	2
173	к ним	2	2
174	и ее	3	2
175	на одном	2	2
176	что она	3	2
177	от которого	3	2
178	то есть	15	2
179	в другом	5	2
180	свою очередь	2	2
181	на него	4	2
182	для себя	3	2
183	которые могут	2	2
184	друг друга	2	2
185	зависимости от	3	2
186	этих двух	2	2
187	в виду	2	2
188	не было	3	2
189	в частности	23	2
190	по его	3	2
191	на друга	2	2
192	точку зрения	3	2
193	а для	4	2
194	не знает	2	2
195	в глазах	7	2
196	друг на	2	2
197	при отсутствии	2	2
198	для него	8	2
199	на нее	2	2
200	не имеет	3	2
201	также и	4	2
202	что у	6	2
203	тому что	4	2
204	к нему	5	2
205	в точке	2	2
206	она не	2	2
207	со своими	3	2
208	на том	2	2
209	они не	3	2
210	в котором	3	2
211	их в	4	2
212	все его	4	2
213	я в	7	2
214	давно уже	2	2
215	во втором	6	2
216	в своих	2	2
217	в свою	4	2
218	о них	5	2
219	что на	4	2
220	одной стороны	5	2
221	но для	5	2
222	между ними	3	2
223	отнюдь не	6	2
224	только не	2	2
225	представить себе	3	2
226	со своей	3	2
227	всяком случае	2	2
228	жизни и	7	2
229	сводится к	10	2
230	с ними	5	2
231	во всяком	2	2
232	и уже	4	2
233	и его	12	2
234	в сущности	2	2
235	же время	7	2
236	и только	2	2
237	с ее	3	2
238	и сам	4	2
239	не следует	3	2
240	заключает в	2	2
241	и более	2	2
242	в себя	3	2
243	о которой	3	2
244	той же	2	2
245	имеет место	4	2
246	я не	5	2
247	вовсе не	2	2
248	мы и	2	2
249	тем же	3	2
250	и состоит	6	2
