N	3gram	Bakhtin_KF	Psycholo
1	в том что	2	78
2	с точки зрения	10	29
3	не может быть	11	23
4	на самом деле	3	17
5	и в этом	3	13
6	в этом смысле	3	7
7	тем не менее	2	6
8	того или иного	3	6
9	и тот же	3	6
10	и та же	2	6
11	и может быть	2	6
12	ни в каком	2	5
13	не было бы	3	5
14	один и тот	3	5
15	вопрос о том	2	4
16	одна и та	2	4
17	то или иное	2	4
18	во всех этих	2	3
19	бы то ни	2	3
20	он может быть	2	3
21	вовсе не значит	2	3
22	в то же	2	3
23	по отношению к	22	3
24	то же время	2	3
25	той или иной	2	2
26	то что я	2	2
27	для нас важно	2	2
28	то ни было	2	2
29	здесь мы имеем	2	2
30	имеем в виду	2	2
31	может быть в	3	2
32	и только в	3	2
33	между тем как	3	2
34	может быть только	7	2
