N	2gram	Vinokur_St	Russkaja
1	не может	10	22
2	и не	23	19
3	в том	56	17
4	в этом	37	17
5	и в	61	14
6	то что	27	13
7	точки зрения	16	11
8	то же	7	11
9	таким образом	16	11
10	в то	10	10
11	но и	28	10
12	же время	5	10
13	не только	36	9
14	том что	49	9
15	может быть	16	9
16	в себе	3	9
17	с точки	10	9
18	во всяком	8	9
19	того чтобы	15	8
20	как на	10	8
21	прежде всего	11	8
22	и с	6	7
23	к тому	9	7
24	о том	30	7
25	в данном	16	7
26	стремление к	3	7
27	самом деле	14	7
28	с тем	3	6
29	если в	2	6
30	на самом	8	6
31	и для	4	6
32	в своих	2	6
33	в россии	7	6
34	и к	5	6
35	если бы	11	6
36	всяком случае	8	6
37	все это	13	6
38	для того	15	6
39	что он	23	6
40	в своем	8	6
41	для него	10	6
42	вопрос о	9	5
43	а в	18	5
44	на то	5	5
45	было бы	21	5
46	хотя бы	8	5
47	а между	2	5
48	и на	7	5
49	потому что	13	5
50	при этом	4	5
51	в нем	9	5
52	он должен	2	5
53	в своей	12	5
54	конечно не	2	5
55	только в	11	5
56	никогда не	7	5
57	и только	3	5
58	он не	11	5
59	сих пор	12	5
60	между тем	7	5
61	во всех	8	5
62	по существу	3	5
63	до сих	13	5
64	а потому	2	5
65	и то	6	4
66	что в	41	4
67	но не	5	4
68	смотреть на	2	4
69	его в	4	4
70	все же	12	4
71	не могут	2	4
72	не в	15	4
73	как и	11	4
74	более или	2	4
75	как бы	8	4
76	можно было	14	4
77	так как	7	4
78	что же	6	4
79	жизни и	6	4
80	в его	19	4
81	со стороны	7	4
82	в их	3	4
83	то ни	2	4
84	точку зрения	3	4
85	отказаться от	2	4
86	в этой	13	4
87	вместе с	5	4
88	бы то	2	4
89	или менее	2	4
90	одной из	4	3
91	данном случае	7	3
92	да и	4	3
93	то это	3	3
94	для этого	2	3
95	о котором	2	3
96	что все	3	3
97	что это	5	3
98	с нею	3	3
99	о которых	3	3
100	этом случае	3	3
101	что для	4	3
102	в сознании	2	3
103	и сейчас	6	3
104	культуры в	3	3
105	именно в	8	3
106	из этих	7	3
107	только к	2	3
108	всех этих	2	3
109	и потому	3	3
110	что оно	4	3
111	в другом	5	3
112	в значительной	2	3
113	в конце	5	3
114	из них	11	3
115	но если	5	3
116	в самом	14	3
117	и как	2	3
118	можно ли	5	3
119	несмотря на	4	3
120	для них	2	3
121	может не	2	3
122	что и	8	3
123	конце концов	2	3
124	лишь в	3	3
125	вряд ли	8	3
126	и во	3	3
127	говорить о	3	3
128	и по	6	3
129	связи с	3	3
130	еще не	4	3
131	в виде	3	3
132	того что	14	3
133	в качестве	7	3
134	что они	9	3
135	не было	7	3
136	и т	36	3
137	тем что	6	3
138	то в	3	3
139	не о	2	2
140	что только	2	2
141	и о	4	2
142	тот факт	5	2
143	на совершенно	3	2
144	в течение	7	2
145	и от	2	2
146	не так	2	2
147	не к	2	2
148	с этим	6	2
149	тем самым	2	2
150	были бы	2	2
151	или иного	4	2
152	и те	4	2
153	ее в	2	2
154	для себя	3	2
155	тому что	8	2
156	к нему	2	2
157	она не	3	2
158	только с	4	2
159	но в	16	2
160	того или	4	2
161	не подлежит	2	2
162	ни в	5	2
163	в котором	11	2
164	что такое	2	2
165	для русской	2	2
166	так же	7	2
167	их в	2	2
168	на себя	3	2
169	на почве	2	2
170	в начале	5	2
171	это в	4	2
172	в настоящее	2	2
173	даже и	2	2
174	больше чем	3	2
175	в ней	9	2
176	на эту	5	2
177	на которой	2	2
178	на это	2	2
179	этот вопрос	6	2
180	в некоторых	3	2
181	в результате	5	2
182	по отношению	3	2
183	но для	3	2
184	даже не	5	2
185	настоящее время	2	2
186	отношении к	3	2
187	отличается от	2	2
188	если не	4	2
189	естественно что	2	2
190	а во-вторых	2	2
191	этом и	2	2
192	и даже	8	2
193	а не	19	2
194	для нас	7	2
195	по этому	5	2
196	по себе	3	2
197	нисколько не	3	2
198	целый ряд	3	2
199	точно так	2	2
200	речь идет	6	2
201	место в	2	2
202	отметить что	4	2
203	разумеется что	5	2
204	в других	2	2
205	и тем	3	2
206	и что	8	2
207	но это	9	2
208	что с	4	2
209	все эти	7	2
210	том же	3	2
211	совершенно не	7	2
212	бы ни	3	2
213	а с	6	2
214	и тогда	2	2
215	является не	4	2
216	не просто	2	2
217	в этих	5	2
218	в частности	6	2
219	факт что	6	2
220	в таком	4	2
221	так что	8	2
222	во время	5	2
223	как будто	5	2
224	на основании	2	2
225	во многих	3	2
226	должна быть	3	2
227	отношения к	2	2
228	в области	16	2
229	за то	5	2
230	быть и	2	2
231	у него	3	2
232	не должен	2	2
233	и более	4	2
234	ясно что	10	2
