N	2gram	Savitsky_P	VeschiIm
1	т е	3	81
2	и не	12	57
3	не только	17	48
4	то что	4	48
5	не может	4	46
6	и в	14	45
7	и есть	2	40
8	может быть	5	39
9	и т	3	39
10	а не	2	37
11	потому что	3	25
12	было бы	6	24
13	в себе	3	23
14	по себе	4	23
15	только в	7	23
16	в смысле	6	22
17	как бы	4	20
18	но и	6	19
19	в этом	10	18
20	есть не	2	17
21	и это	2	17
22	прежде всего	3	17
23	что мы	3	17
24	того что	2	16
25	как раз	2	16
26	в том	9	15
27	в ней	6	15
28	не в	5	14
29	том что	4	13
30	что в	4	12
31	точки зрения	3	12
32	она есть	3	12
33	и как	3	12
34	то же	9	12
35	и с	2	12
36	есть нечто	2	12
37	в то	7	11
38	не менее	2	11
39	и пр	5	11
40	это не	3	9
41	со стороны	2	9
42	в своем	4	9
43	должно быть	2	9
44	хотя бы	8	9
45	я и	3	9
46	но не	3	9
47	говорить о	2	9
48	в отношении	10	8
49	и потому	4	8
50	но в	9	8
51	в ее	2	8
52	мы не	3	8
53	все это	2	8
54	по сравнению	2	8
55	если бы	4	8
56	с тем	3	8
57	с другой	5	8
58	отнюдь не	2	8
59	и тем	2	7
60	из них	2	7
61	а в	4	7
62	никак не	2	7
63	в нем	3	6
64	одна из	2	6
65	в сфере	2	6
66	с точки	3	6
67	и если	4	5
68	да и	2	5
69	мы должны	4	5
70	и мы	2	5
71	и без	3	5
72	между прочим	2	5
73	в его	2	5
74	хотя и	3	5
75	во всех	2	5
76	в жизни	2	5
77	в силу	2	4
78	только это	2	4
79	в качестве	9	4
80	не было	2	4
81	тот же	3	4
82	с ними	3	4
83	с этим	2	4
84	есть в	2	4
85	и вот	2	4
86	и о	5	4
87	отношении к	5	4
88	в котором	4	4
89	главным образом	2	4
90	еще более	2	4
91	сводится к	3	4
92	же время	7	4
93	что из	2	3
94	в виде	2	3
95	в частности	2	3
96	может и	2	3
97	нужно было	2	3
98	одной стороны	3	3
99	быть может	6	3
100	заключается в	3	3
101	было в	2	3
102	для тех	2	3
103	тем более	2	3
104	не нужно	2	3
105	а я	5	3
106	для того	3	3
107	с одной	3	3
108	сами по	3	3
109	бы ни	2	3
110	отношения к	2	3
111	не к	2	3
112	в а	2	3
113	не о	2	2
114	тем самым	3	2
115	помнить что	2	2
116	в полной	2	2
117	наряду с	3	2
118	является в	2	2
119	тех кто	4	2
120	может ли	2	2
121	в с	4	2
122	е и	3	2
123	реальность и	2	2
124	не столько	2	2
125	знать что	2	2
126	но о	2	2
127	а также	4	2
128	в россии	3	2
129	в начале	2	2
130	переход от	2	2
131	стороны и	2	2
132	именно в	2	2
133	в последние	2	2
134	но к	2	2
135	и к	4	2
136	к чему	2	2
137	образом на	2	2
138	для нас	2	2
139	которую мы	2	2
