N	3gram	Bakhtin_Fr	slovoVRo
1	не может быть	5	19
2	в то же	5	18
3	то же время	5	18
4	той или иной	5	15
5	с точки зрения	6	15
6	в узком смысле	2	14
7	в отличие от	4	14
8	в той или	5	13
9	в большинстве случаев	2	11
10	с одной стороны	2	11
11	во всех его	3	10
12	во всяком случае	2	8
13	но в то	2	7
14	зрения на мир	3	7
15	в значительной степени	4	7
16	в нем в	2	6
17	большей или меньшей	7	6
18	так и в	3	6
19	и в то	2	6
20	но все же	3	6
21	в том что	6	5
22	в этом отношении	5	5
23	не только в	5	5
24	как мы уже	8	5
25	по отношению к	2	5
26	в дальнейшем развитии	2	4
27	в большей или	7	4
28	для того чтобы	2	4
29	или меньшей степени	7	4
30	всегда в той	2	4
31	друг с другом	2	4
32	мы уже сказали	4	4
33	в новое время	4	4
34	и не может	2	4
35	до сих пор	7	4
36	можно сказать что	3	4
37	не могут быть	2	4
38	до известной степени	2	3
39	как мы видели	2	3
40	включает в себя	3	3
41	в собственном смысле	3	3
42	в пределах одной	2	3
43	выходит за пределы	4	3
44	почти вовсе не	3	3
45	в основе его	2	3
46	и в частности	2	2
47	во франции в	2	2
48	во всех этих	2	2
49	но прежде всего	3	2
50	существенную роль в	3	2
51	вовсе не в	2	2
52	то есть для	2	2
53	мы уже говорили	12	2
54	нужно сказать что	7	2
55	о том что	3	2
56	все эти жанры	2	2
57	на протяжении всего	5	2
58	в средние века	12	2
59	и в том	2	2
60	как бы ни	2	2
61	и во всех	2	2
62	но и в	5	2
63	то есть на	2	2
