N	2gram	Bakhtin_Fr	Sovremen
1	не может	9	17
2	точки зрения	7	12
3	может быть	4	12
4	таким образом	20	11
5	мы не	6	9
6	в каждом	3	8
7	и в	67	7
8	в этом	27	7
9	и не	23	6
10	ничего не	5	6
11	как и	19	6
12	в результате	5	6
13	мы можем	5	6
14	с точки	5	5
15	все эти	12	5
16	и наконец	5	5
17	в условиях	3	5
18	прежде всего	19	5
19	нет и	4	4
20	мы видели	11	4
21	это не	5	4
22	не только	23	4
23	в том	16	4
24	как бы	18	4
25	их в	2	4
26	так как	16	4
27	точку зрения	3	4
28	если мы	3	4
29	в дальнейшем	2	4
30	в целом	2	4
31	жизни и	11	4
32	вместе с	5	4
33	а в	4	4
34	из них	5	4
35	с помощью	6	4
36	не подлежит	2	3
37	и т.д	2	3
38	он может	2	3
39	ведь это	3	3
40	видели что	2	3
41	на этой	3	3
42	но в	20	3
43	с самого	3	3
44	при этом	5	3
45	но мы	3	3
46	состоит из	2	3
47	не в	8	3
48	все же	7	3
49	у всех	2	3
50	он в	4	3
51	как он	3	3
52	было бы	5	3
53	в области	2	3
54	в себе	3	3
55	еще не	5	3
56	у нас	3	3
57	и все	18	3
58	все это	15	3
59	в нем	20	3
60	а не	6	3
61	в первом	3	3
62	и к	7	3
63	что она	4	3
64	в этой	13	3
65	то же	18	3
66	в одном	7	3
67	самого начала	3	3
68	в конце	12	3
69	в системе	2	3
70	но все	2	2
71	на его	2	2
72	на этот	4	2
73	и по	3	2
74	же самое	3	2
75	что все	4	2
76	конечно в	4	2
77	роль в	5	2
78	не менее	4	2
79	той же	6	2
80	дает нам	2	2
81	не могут	3	2
82	в третьем	3	2
83	мы видим	6	2
84	в его	17	2
85	он должен	2	2
86	с этим	6	2
87	рот и	3	2
88	и что	3	2
89	и во	4	2
90	с другом	2	2
91	помощью которых	2	2
92	из этих	4	2
93	так сказать	2	2
94	в самом	7	2
95	и есть	5	2
96	что в	14	2
97	времени и	4	2
98	все те	2	2
99	в таком	2	2
100	у него	4	2
101	такой же	5	2
102	самом деле	6	2
103	со всеми	6	2
104	если же	2	2
105	в нашем	3	2
106	не будем	3	2
107	и они	2	2
108	в один	2	2
109	в отличие	3	2
110	отличие от	3	2
111	тот же	4	2
112	с одной	2	2
113	на этом	7	2
114	как мы	16	2
115	говорить о	5	2
116	не дает	2	2
117	что это	4	2
118	на котором	2	2
119	как известно	2	2
120	и даже	6	2
121	друг с	2	2
