N	3gram	Bakhtin_Pr	Problema
1	о том что	5	39
2	в том что	10	37
3	в данном случае	3	28
4	той или иной	3	26
5	по крайней мере	3	26
6	во всяком случае	3	25
7	с точки зрения	21	25
8	с другой стороны	3	25
9	в конце концов	7	23
10	сама по себе	3	21
11	в этом смысле	12	19
12	как раз и	2	18
13	для того чтобы	3	17
14	то есть в	10	17
15	в то же	10	17
16	до сих пор	3	14
17	на самом деле	4	13
18	сами по себе	4	13
19	можно было бы	4	13
20	не может быть	8	12
21	в то время	3	12
22	можно сказать что	3	12
23	и в этом	8	12
24	то время как	2	12
25	бы то ни	3	11
26	только то что	2	10
27	не только в	2	10
28	в той или	2	10
29	может быть только	3	8
30	потому что он	2	8
31	заключается в том	2	8
32	это вовсе не	2	8
33	с самого начала	3	7
34	может быть даже	2	7
35	это и есть	3	7
36	а может быть	2	7
37	то есть не	3	6
38	и в его	3	6
39	само по себе	4	6
40	то ни было	2	6
41	и как бы	3	6
42	то есть он	2	6
43	в самом деле	5	6
44	в этом отношении	7	6
45	потому что они	2	5
46	хотя бы и	3	5
47	имеем в виду	2	5
48	же как и	3	5
49	том что он	4	5
50	в зависимости от	5	5
51	так же как	4	5
52	как мы видели	3	4
53	этой точки зрения	3	4
54	то есть только	2	4
55	не потому что	3	4
56	друг от друга	2	4
57	именно потому что	3	4
58	но все же	3	4
59	друг к другу	4	4
60	в себе все	2	4
61	подобно тому как	5	4
62	как мы уже	2	4
63	в русской литературе	2	3
64	но в то	5	3
65	но это не	3	3
66	и в то	3	3
67	потому что она	3	3
68	а есть только	2	3
69	это не значит	3	3
70	что может быть	2	3
71	как нам кажется	2	3
72	как мы сказали	2	3
73	то есть с	2	3
74	в отличие от	3	3
75	по сравнению с	2	3
76	мы имеем в	2	2
77	он может быть	2	2
78	точка зрения на	2	2
79	а не только	2	2
80	по отношению к	17	2
81	потому что не	2	2
82	перед нами в	3	2
83	является одним из	2	2
84	но с другой	2	2
85	нам кажется что	2	2
86	что он есть	3	2
87	то же что	3	2
88	и в том	2	2
89	и не может	3	2
90	и это не	3	2
91	таким образом уже	2	2
92	не совпадает с	2	2
93	с самим собою	2	2
94	уже не как	2	2
95	таким образом в	2	2
96	в том и	2	2
97	во всей его	2	2
98	выходит за пределы	2	2
99	в нем и	2	2
100	между тем как	4	2
101	в братьях карамазовых	3	2
102	человека но не	2	2
103	то перед нами	2	2
104	в каждом из	2	2
105	но и не	2	2
