N	2gram	Losev_Dial	Freidism
1	и не	51	34
2	таким образом	5	34
3	точки зрения	25	31
4	не может	16	30
5	и пр	7	29
6	– это	14	29
7	может быть	30	28
8	и в	35	28
9	в этом	18	28
10	прежде всего	14	26
11	в его	4	25
12	и его	6	22
13	это –	38	22
14	мы можем	5	20
15	как бы	19	19
16	как мы	5	18
17	– в	11	17
18	то что	25	17
19	вовсе не	19	16
20	так как	24	15
21	точка зрения	3	15
22	с точки	18	15
23	все эти	4	15
24	самом деле	6	14
25	так и	18	14
26	в своей	9	14
27	с ним	9	14
28	во всех	3	13
29	и все	11	13
30	в душе	8	13
31	но в	8	13
32	как и	10	13
33	точку зрения	3	12
34	и потому	6	12
35	том что	18	12
36	– не	17	12
37	то же	21	12
38	что он	16	12
39	ни в	20	12
40	в самом	6	12
41	для него	2	12
42	все это	14	12
43	сказать что	19	11
44	его в	3	11
45	только в	7	11
46	никогда не	18	10
47	и с	10	10
48	за пределы	4	10
49	не только	26	10
50	но и	17	10
51	не в	12	10
52	он не	5	10
53	в том	20	10
54	мы уже	8	10
55	все что	2	10
56	один из	3	10
57	что же	5	10
58	конечно не	9	10
59	мы должны	6	9
60	могут быть	6	9
61	к этому	2	9
62	совершенно не	13	9
63	и др	2	9
64	к нему	12	9
65	в чем	9	9
66	уже не	3	9
67	а не	24	9
68	во всяком	5	9
69	все же	9	8
70	с этим	5	8
71	– все	8	8
72	было бы	14	8
73	и вот	10	8
74	еще не	4	8
75	с другими	2	8
76	а в	8	8
77	знаем что	2	8
78	в ней	4	8
79	на этом	4	8
80	всяком случае	3	8
81	при этом	2	8
82	в каком	10	7
83	не могут	4	7
84	в жизни	3	7
85	в то	10	7
86	в себе	23	7
87	что в	19	7
88	– и	5	7
89	хотя бы	6	7
90	и для	2	7
91	отношение к	5	7
92	быть и	7	7
93	я и	3	7
94	не является	3	7
95	того что	6	7
96	и у	2	7
97	но не	9	7
98	что все	2	7
99	с самого	2	7
100	об этом	7	7
101	в нем	25	7
102	если мы	3	7
103	и к	8	7
104	из них	5	7
105	жизни и	9	7
106	в этой	3	7
107	одно из	2	6
108	на самом	5	6
109	для этого	2	6
110	но мы	3	6
111	мы имеем	4	6
112	из этих	2	6
113	человека и	2	6
114	всех этих	4	6
115	сознания и	8	6
116	не менее	5	6
117	для того	2	6
118	в таком	4	6
119	и только	5	6
120	и о	4	6
121	– как	6	6
122	в корне	2	6
123	она не	10	6
124	к тому	6	6
125	что такое	13	6
126	можно сказать	10	6
127	ни о	5	6
128	здесь в	3	6
129	как раз	7	6
130	и что	17	6
131	же время	9	6
132	во время	2	6
133	учение о	11	6
134	в основе	4	6
135	оно –	4	5
136	он –	22	5
137	что это	21	5
138	ничего не	19	5
139	со стороны	2	5
140	что она	18	5
141	с их	2	5
142	в которой	3	5
143	можем сказать	3	5
144	и по	5	5
145	другими словами	2	5
146	от того	2	5
147	потому и	2	5
148	со всеми	2	5
149	на первый	2	5
150	в этих	6	5
151	чем не	2	5
152	как это	8	5
153	не знает	2	5
154	самого начала	2	5
155	что и	7	5
156	ее в	2	5
157	тому что	4	5
158	в общем	2	5
159	далеко не	2	5
160	только то	7	5
161	это не	18	5
162	отнюдь не	13	5
163	не было	7	5
