N	3gram	Savitsky_E	Narrotol
1	в том что	6	18
2	в данном случае	2	17
3	не только в	4	13
4	в то же	15	8
5	той или иной	4	8
6	в этом отношении	3	8
7	то же время	14	8
8	не может быть	2	8
9	можно сказать что	3	6
10	с одной стороны	8	6
11	в известном смысле	3	6
12	для того чтобы	5	5
13	в свою очередь	2	5
14	во всяком случае	3	4
15	того или иного	4	3
16	с точки зрения	16	3
17	заключает в себе	3	3
18	на то что	2	3
19	тому или иному	2	2
20	можно было бы	3	2
21	так же как	5	2
22	в частности в	2	2
23	и в то	8	2
24	в той или	3	2
