N	2gram	Losev_Prob	EvropaiE
1	и в	48	37
2	в отношении	8	32
3	точки зрения	17	23
4	что в	12	21
5	не только	28	18
6	с точки	13	17
7	в то	6	16
8	хотя бы	11	15
9	то же	6	15
10	в своем	16	14
11	но в	17	14
12	но и	21	14
13	и не	29	14
14	в качестве	9	14
15	в этом	31	12
16	в том	25	11
17	в их	4	11
18	в области	3	11
19	так и	15	10
20	так же	7	9
21	в смысле	8	9
22	не может	6	9
23	отнюдь не	14	9
24	в себе	7	9
25	прежде всего	15	9
26	только в	21	9
27	одной стороны	5	8
28	между тем	2	8
29	в ее	6	8
30	было бы	12	8
31	в своей	29	8
32	с одной	5	8
33	к тому	7	8
34	по своему	3	7
35	также и	21	7
36	с другой	8	7
37	а также	8	7
38	как и	10	7
39	так как	10	7
40	между прочим	2	7
41	того что	8	7
42	том что	29	6
43	вслед за	2	6
44	во всех	2	6
45	то есть	38	6
46	и даже	24	6
47	может быть	11	6
48	и на	9	6
49	с этой	4	6
50	того чтобы	3	6
51	для того	4	6
52	на то	2	6
53	то что	26	6
54	как бы	10	6
55	вовсе не	18	6
56	но не	12	5
57	от этого	4	5
58	тем самым	2	5
59	и по	2	5
60	и потому	4	5
61	в россии	2	5
62	этой точки	2	5
63	в той	5	5
64	как мы	5	5
65	которую мы	2	5
66	не в	16	5
67	в виде	25	5
68	в частности	5	5
69	одной из	5	5
70	даже в	2	4
71	сказать что	13	4
72	вопрос о	2	4
73	и притом	8	4
74	не имеет	3	4
75	или иного	2	4
76	или иной	4	4
77	можно сказать	10	4
78	то в	4	4
79	на путях	2	4
80	именно в	11	4
81	в самом	7	4
82	но даже	6	4
83	мы не	7	4
84	в ней	4	4
85	для нас	14	4
86	по себе	5	4
87	россии в	2	4
88	несмотря на	7	4
89	тем более	2	4
90	мира в	3	4
91	к ней	2	4
92	ни было	2	4
93	той или	5	4
94	как это	5	4
95	то ни	4	4
96	того или	3	4
97	бы то	4	4
98	никогда не	7	3
99	с тем	7	3
100	и от	7	3
101	и для	11	3
102	ни на	2	3
103	и только	4	3
104	из всех	2	3
105	о том	17	3
106	к ним	3	3
107	в данном	6	3
108	того же	7	3
109	время в	2	3
110	когда он	3	3
111	можно было	4	3
112	этом смысле	4	3
113	мира и	5	3
114	в свою	4	3
115	и к	9	3
116	в результате	11	3
117	мы можем	5	3
118	уже и	4	3
119	от них	2	3
120	не будет	4	3
121	из них	4	3
122	и прежде	2	3
123	в известном	2	3
124	во все	3	3
125	в них	5	3
126	можно ли	2	3
127	всяком случае	6	3
128	на себя	2	3
129	мы видели	2	3
130	что и	8	3
131	и тем	4	3
132	тем что	2	3
133	говорит о	9	3
134	этом отношении	4	3
135	не является	2	3
136	жизни в	7	3
137	потому что	21	3
138	она в	2	3
139	в таком	4	3
140	себе в	2	3
141	как в	3	3
142	большинстве случаев	2	3
143	ее в	2	3
144	во всяком	7	3
145	дело в	4	3
146	есть в	6	2
147	на одну	2	2
148	данном случае	5	2
149	и если	2	2
150	представление о	2	2
151	если в	2	2
152	в его	19	2
153	не есть	3	2
154	на месте	2	2
155	что это	4	2
156	при помощи	12	2
157	и то	6	2
158	к нему	3	2
159	не могут	3	2
160	а в	8	2
161	участие в	2	2
162	с этим	3	2
163	и сейчас	2	2
164	в котором	5	2
165	его на	3	2
166	но как	3	2
167	в свои	2	2
168	далеко не	6	2
169	в своих	3	2
170	и поэтому	2	2
171	и с	10	2
172	бы в	2	2
173	во втором	2	2
174	могут быть	2	2
175	по преимуществу	2	2
176	не говоря	2	2
177	дошла до	2	2
178	другой стороны	8	2
179	но еще	2	2
180	в значительной	3	2
181	тогда когда	4	2
182	по своей	3	2
183	в одном	6	2
184	и можно	6	2
185	и как	10	2
186	мог бы	2	2
187	или вернее	4	2
188	если бы	2	2
189	для них	3	2
190	которого мы	2	2
191	в этих	3	2
192	жизни и	7	2
193	в силу	6	2
194	еще более	4	2
195	в других	5	2
196	а не	7	2
197	и тут	4	2
198	океана и	2	2
199	и что	9	2
200	и во	2	2
201	и наконец	4	2
202	свою очередь	2	2
203	же в	4	2
204	но именно	2	2
205	и все	12	2
206	или в	7	2
207	наряду с	2	2
208	таким образом	20	2
209	а именно	12	2
210	это значит	3	2
211	он не	4	2
212	как будто	9	2
213	но по	3	2
214	говоря уже	2	2
215	не к	3	2
216	в этой	14	2
217	и наиболее	3	2
218	хотя и	10	2
219	в какой	5	2
220	вместе с	15	2
221	он сам	3	2
222	и более	3	2
