N	2gram	Tiupa_Vved	Problemy
1	и в	23	106
2	и не	24	90
3	как бы	8	70
4	может быть	25	66
5	в его	9	56
6	в этом	27	52
7	в нем	9	51
8	не может	14	49
9	что он	2	44
10	как и	21	44
11	но и	31	40
12	для него	5	39
13	и его	9	39
14	а не	31	38
15	не только	32	36
16	то же	8	36
17	в пределах	3	35
18	то что	9	33
19	но в	14	33
20	прежде всего	11	32
21	чужого слова	3	29
22	в то	5	29
23	все это	3	29
24	он не	6	29
25	и все	8	28
26	не в	12	27
27	в одном	5	27
28	к себе	2	26
29	же время	4	26
30	к нему	2	25
31	в сущности	3	25
32	в самом	6	25
33	и с	2	25
34	самом деле	6	24
35	не как	2	24
36	с самим	2	24
37	героя и	5	24
38	слова и	3	23
39	и на	5	23
40	таким образом	6	22
41	что я	2	22
42	по себе	2	22
43	как мы	5	21
44	никогда не	6	20
45	все же	10	20
46	потому что	7	20
47	только в	9	20
48	что в	6	19
49	отношению к	11	19
50	слова в	3	19
51	что же	6	19
52	на самом	5	18
53	в себе	15	18
54	по отношению	11	18
55	уже не	7	18
56	еще не	8	18
57	но не	9	18
58	это не	7	17
59	в том	21	17
60	так и	14	17
61	а в	15	17
62	и к	2	17
63	с ним	3	17
64	так же	2	16
65	в другом	2	16
66	если бы	10	16
67	в своей	10	16
68	до конца	5	15
69	и наконец	2	15
70	и для	8	15
71	у него	8	15
72	другого человека	2	14
73	в своем	9	14
74	в конце	3	14
75	лишь в	4	14
76	и сам	2	14
77	он и	2	14
78	как раз	5	14
79	перед нами	13	13
80	героя в	3	13
81	в романе	6	13
82	и это	2	13
83	в целом	4	13
84	в мире	9	13
85	на него	3	13
86	точка зрения	3	13
87	том что	16	12
88	в одной	2	12
89	даже в	3	12
90	ничего не	3	12
91	к тому	9	12
92	между тем	3	12
93	не знает	2	12
94	что и	6	12
95	при этом	43	12
96	было бы	4	12
97	во всяком	3	12
98	так сказать	2	12
99	но это	4	12
100	и даже	3	12
101	и как	2	12
102	как в	8	12
103	в котором	11	12
104	и что	2	12
105	бы и	4	11
106	рассказа в	3	11
107	бы в	4	11
108	тем что	2	11
109	с другой	10	11
110	их в	3	11
111	входит в	2	11
112	как будто	6	11
113	к одному	2	10
114	отношение к	5	10
115	для себя	2	10
116	в него	2	10
117	что не	2	10
118	далеко не	5	10
119	приводит к	2	10
120	той же	3	10
121	в слове	4	10
122	и потому	2	9
123	или в	3	9
124	могут быть	5	9
125	в них	4	9
126	раз и	2	9
127	хотя и	10	9
128	да и	3	9
129	другой стороны	3	9
130	хотя бы	2	9
131	человека в	2	9
132	что у	4	9
133	точек зрения	2	9
134	всяком случае	3	9
135	в той	5	9
136	но он	2	9
137	уже в	2	8
138	никак не	2	8
